,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas', 'jobs in saratoga township arkansas area')",jobs in saratoga township arkansas,jobs in saratoga township arkansas area,1,0,google,2025-11-01 18:18:59.450461,,
1,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas', 'jobs in saratoga township arkansas 2024')",jobs in saratoga township arkansas,jobs in saratoga township arkansas 2024,2,0,google,2025-11-01 18:18:59.450461,,
2,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas', 'jobs in saratoga township arkansas school district')",jobs in saratoga township arkansas,jobs in saratoga township arkansas school district,3,0,google,2025-11-01 18:18:59.450461,,
3,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas', 'jobs in saratoga township arkansas schools')",jobs in saratoga township arkansas,jobs in saratoga township arkansas schools,4,0,google,2025-11-01 18:18:59.450461,,
4,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas', 'jobs in saratoga township arkansas 2023')",jobs in saratoga township arkansas,jobs in saratoga township arkansas 2023,5,0,google,2025-11-01 18:18:59.450461,,
5,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas area', 'jobs in saratoga township arkansas area schools')",jobs in saratoga township arkansas area,jobs in saratoga township arkansas area schools,1,1,google,2025-11-01 18:19:00.283686,,jobs in saratoga township arkansas
6,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas area', 'jobs in saratoga township arkansas area school district')",jobs in saratoga township arkansas area,jobs in saratoga township arkansas area school district,2,1,google,2025-11-01 18:19:00.283686,,jobs in saratoga township arkansas
7,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas area', 'jobs in saratoga township arkansas area area')",jobs in saratoga township arkansas area,jobs in saratoga township arkansas area area,3,1,google,2025-11-01 18:19:00.283686,,jobs in saratoga township arkansas
8,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas area', 'jobs in saratoga township arkansas areas')",jobs in saratoga township arkansas area,jobs in saratoga township arkansas areas,4,1,google,2025-11-01 18:19:00.283686,,jobs in saratoga township arkansas
9,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas area', 'jobs in saratoga township arkansas area 2024')",jobs in saratoga township arkansas area,jobs in saratoga township arkansas area 2024,5,1,google,2025-11-01 18:19:00.283686,,jobs in saratoga township arkansas
10,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas 2024', 'jobs in saratoga township arkansas 2024 jobs')",jobs in saratoga township arkansas 2024,jobs in saratoga township arkansas 2024 jobs,1,1,google,2025-11-01 18:19:01.570456,,jobs in saratoga township arkansas
11,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas 2024', 'jobs in saratoga township arkansas 2024 openings')",jobs in saratoga township arkansas 2024,jobs in saratoga township arkansas 2024 openings,2,1,google,2025-11-01 18:19:01.570456,,jobs in saratoga township arkansas
12,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas 2024', 'jobs in saratoga township arkansas 2024 hiring')",jobs in saratoga township arkansas 2024,jobs in saratoga township arkansas 2024 hiring,3,1,google,2025-11-01 18:19:01.570456,,jobs in saratoga township arkansas
13,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas 2024', 'jobs in saratoga township arkansas 2024-25')",jobs in saratoga township arkansas 2024,jobs in saratoga township arkansas 2024-25,4,1,google,2025-11-01 18:19:01.570456,,jobs in saratoga township arkansas
14,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas 2024', 'jobs in saratoga township arkansas 2024 application')",jobs in saratoga township arkansas 2024,jobs in saratoga township arkansas 2024 application,5,1,google,2025-11-01 18:19:01.570456,,jobs in saratoga township arkansas
15,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas school district', 'jobs in saratoga township arkansas school district arkansas')",jobs in saratoga township arkansas school district,jobs in saratoga township arkansas school district arkansas,1,1,google,2025-11-01 18:19:02.935796,,jobs in saratoga township arkansas
16,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas school district', 'jobs in saratoga township arkansas school district ar')",jobs in saratoga township arkansas school district,jobs in saratoga township arkansas school district ar,2,1,google,2025-11-01 18:19:02.935796,,jobs in saratoga township arkansas
17,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas school district', 'jobs in saratoga township arkansas school district 2024')",jobs in saratoga township arkansas school district,jobs in saratoga township arkansas school district 2024,3,1,google,2025-11-01 18:19:02.935796,,jobs in saratoga township arkansas
18,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas school district', 'jobs in saratoga township arkansas school district jobs')",jobs in saratoga township arkansas school district,jobs in saratoga township arkansas school district jobs,4,1,google,2025-11-01 18:19:02.935796,,jobs in saratoga township arkansas
19,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas school district', 'jobs in saratoga township arkansas school district 2023')",jobs in saratoga township arkansas school district,jobs in saratoga township arkansas school district 2023,5,1,google,2025-11-01 18:19:02.935796,,jobs in saratoga township arkansas
20,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas school district', 'jobs in saratoga township arkansas school district calendar')",jobs in saratoga township arkansas school district,jobs in saratoga township arkansas school district calendar,6,1,google,2025-11-01 18:19:02.935796,,jobs in saratoga township arkansas
21,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas school district', 'jobs in saratoga township arkansas school district teaching')",jobs in saratoga township arkansas school district,jobs in saratoga township arkansas school district teaching,7,1,google,2025-11-01 18:19:02.935796,,jobs in saratoga township arkansas
22,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas school district', 'jobs in saratoga township arkansas school district openings')",jobs in saratoga township arkansas school district,jobs in saratoga township arkansas school district openings,8,1,google,2025-11-01 18:19:02.935796,,jobs in saratoga township arkansas
23,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas school district', 'jobs in saratoga township arkansas school district human resources')",jobs in saratoga township arkansas school district,jobs in saratoga township arkansas school district human resources,9,1,google,2025-11-01 18:19:02.935796,,jobs in saratoga township arkansas
24,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas schools', 'jobs in saratoga township arkansas schools arkansas')",jobs in saratoga township arkansas schools,jobs in saratoga township arkansas schools arkansas,1,1,google,2025-11-01 18:19:04.081254,,jobs in saratoga township arkansas
25,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas schools', 'jobs in saratoga township arkansas schools district')",jobs in saratoga township arkansas schools,jobs in saratoga township arkansas schools district,2,1,google,2025-11-01 18:19:04.081254,,jobs in saratoga township arkansas
26,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas schools', 'jobs in saratoga township arkansas schools 2024')",jobs in saratoga township arkansas schools,jobs in saratoga township arkansas schools 2024,3,1,google,2025-11-01 18:19:04.081254,,jobs in saratoga township arkansas
27,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas schools', 'jobs in saratoga township arkansas schools 2023')",jobs in saratoga township arkansas schools,jobs in saratoga township arkansas schools 2023,4,1,google,2025-11-01 18:19:04.081254,,jobs in saratoga township arkansas
28,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas schools', 'jobs in saratoga township arkansas schools jobs')",jobs in saratoga township arkansas schools,jobs in saratoga township arkansas schools jobs,5,1,google,2025-11-01 18:19:04.081254,,jobs in saratoga township arkansas
29,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas schools', 'jobs in saratoga township arkansas school')",jobs in saratoga township arkansas schools,jobs in saratoga township arkansas school,6,1,google,2025-11-01 18:19:04.081254,,jobs in saratoga township arkansas
30,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas schools', 'jobs in saratoga township arkansas school district teaching')",jobs in saratoga township arkansas schools,jobs in saratoga township arkansas school district teaching,7,1,google,2025-11-01 18:19:04.081254,,jobs in saratoga township arkansas
31,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas schools', 'jobs in saratoga township arkansas school morris il')",jobs in saratoga township arkansas schools,jobs in saratoga township arkansas school morris il,8,1,google,2025-11-01 18:19:04.081254,,jobs in saratoga township arkansas
32,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas schools', 'jobs in saratoga township arkansas school district openings')",jobs in saratoga township arkansas schools,jobs in saratoga township arkansas school district openings,9,1,google,2025-11-01 18:19:04.081254,,jobs in saratoga township arkansas
33,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas 2023', 'jobs in saratoga township arkansas 2023-24')",jobs in saratoga township arkansas 2023,jobs in saratoga township arkansas 2023-24,1,1,google,2025-11-01 18:19:05.381391,,jobs in saratoga township arkansas
34,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas 2023', 'jobs in saratoga township arkansas 2023 jobs')",jobs in saratoga township arkansas 2023,jobs in saratoga township arkansas 2023 jobs,2,1,google,2025-11-01 18:19:05.381391,,jobs in saratoga township arkansas
35,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas 2023', 'jobs in saratoga township arkansas 2023 salary')",jobs in saratoga township arkansas 2023,jobs in saratoga township arkansas 2023 salary,3,1,google,2025-11-01 18:19:05.381391,,jobs in saratoga township arkansas
36,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas 2023', 'jobs in saratoga township arkansas 20234')",jobs in saratoga township arkansas 2023,jobs in saratoga township arkansas 20234,4,1,google,2025-11-01 18:19:05.381391,,jobs in saratoga township arkansas
37,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas 2023', 'jobs in saratoga township arkansas 2023 openings')",jobs in saratoga township arkansas 2023,jobs in saratoga township arkansas 2023 openings,5,1,google,2025-11-01 18:19:05.381391,,jobs in saratoga township arkansas
38,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas area schools', 'jobs in saratoga township arkansas area schools 2024')",jobs in saratoga township arkansas area schools,jobs in saratoga township arkansas area schools 2024,1,2,google,2025-11-01 18:19:06.342722,jobs in saratoga township arkansas,jobs in saratoga township arkansas area
39,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas area schools', 'jobs in saratoga township arkansas area schools district')",jobs in saratoga township arkansas area schools,jobs in saratoga township arkansas area schools district,2,2,google,2025-11-01 18:19:06.342722,jobs in saratoga township arkansas,jobs in saratoga township arkansas area
40,jobs in saratoga township arkansas,"('jobs in saratoga township arkansas area schools', 'jobs in saratoga township arkansas area schools arkansas')",jobs in saratoga township arkansas area schools,jobs in saratoga township arkansas area schools arkansas,3,2,google,2025-11-01 18:19:06.342722,jobs in saratoga township arkansas,jobs in saratoga township arkansas area
