,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in scotland arkansas,"('jobs in scotland arkansas', 'jobs in scotland arkansas area')",jobs in scotland arkansas,jobs in scotland arkansas area,1,0,google,2025-10-31 18:30:21.749477,,
1,jobs in scotland arkansas,"('jobs in scotland arkansas', 'jobs in scotland arkansas hiring')",jobs in scotland arkansas,jobs in scotland arkansas hiring,2,0,google,2025-10-31 18:30:21.749477,,
2,jobs in scotland arkansas,"('jobs in scotland arkansas', 'jobs in scotland arkansas indeed')",jobs in scotland arkansas,jobs in scotland arkansas indeed,3,0,google,2025-10-31 18:30:21.749477,,
3,jobs in scotland arkansas,"('jobs in scotland arkansas', 'jobs in scotland arkansas hiring now')",jobs in scotland arkansas,jobs in scotland arkansas hiring now,4,0,google,2025-10-31 18:30:21.749477,,
4,jobs in scotland arkansas,"('jobs in scotland arkansas', 'jobs in scotland arkansas for 16 year olds')",jobs in scotland arkansas,jobs in scotland arkansas for 16 year olds,5,0,google,2025-10-31 18:30:21.749477,,
5,jobs in scotland arkansas,"('jobs in scotland arkansas', 'jobs in scotland arkansas population')",jobs in scotland arkansas,jobs in scotland arkansas population,6,0,google,2025-10-31 18:30:21.749477,,
6,jobs in scotland arkansas,"('jobs in scotland arkansas', 'jobs in scotland arkansas high school')",jobs in scotland arkansas,jobs in scotland arkansas high school,7,0,google,2025-10-31 18:30:21.749477,,
7,jobs in scotland arkansas,"('jobs in scotland arkansas', 'jobs in scotland arkansas map')",jobs in scotland arkansas,jobs in scotland arkansas map,8,0,google,2025-10-31 18:30:21.749477,,
8,jobs in scotland arkansas,"('jobs in scotland arkansas', 'jobs in scotland arkansas real estate')",jobs in scotland arkansas,jobs in scotland arkansas real estate,9,0,google,2025-10-31 18:30:21.749477,,
9,jobs in scotland arkansas,"('jobs in scotland arkansas area', 'jobs in scotland arkansas area area')",jobs in scotland arkansas area,jobs in scotland arkansas area area,1,1,google,2025-10-31 18:30:22.570701,,jobs in scotland arkansas
10,jobs in scotland arkansas,"('jobs in scotland arkansas area', 'jobs in scotland arkansas area indeed')",jobs in scotland arkansas area,jobs in scotland arkansas area indeed,2,1,google,2025-10-31 18:30:22.570701,,jobs in scotland arkansas
11,jobs in scotland arkansas,"('jobs in scotland arkansas area', 'jobs in scotland arkansas area hiring')",jobs in scotland arkansas area,jobs in scotland arkansas area hiring,3,1,google,2025-10-31 18:30:22.570701,,jobs in scotland arkansas
12,jobs in scotland arkansas,"('jobs in scotland arkansas area', 'jobs in scotland arkansas areas')",jobs in scotland arkansas area,jobs in scotland arkansas areas,4,1,google,2025-10-31 18:30:22.570701,,jobs in scotland arkansas
13,jobs in scotland arkansas,"('jobs in scotland arkansas area', 'jobs in scotland arkansas area for 16 year olds')",jobs in scotland arkansas area,jobs in scotland arkansas area for 16 year olds,5,1,google,2025-10-31 18:30:22.570701,,jobs in scotland arkansas
14,jobs in scotland arkansas,"('jobs in scotland arkansas hiring', 'jobs in scotland arkansas hiring now')",jobs in scotland arkansas hiring,jobs in scotland arkansas hiring now,1,1,google,2025-10-31 18:30:23.965357,,jobs in scotland arkansas
15,jobs in scotland arkansas,"('jobs in scotland arkansas hiring', 'jobs in scotland arkansas hiring immediately')",jobs in scotland arkansas hiring,jobs in scotland arkansas hiring immediately,2,1,google,2025-10-31 18:30:23.965357,,jobs in scotland arkansas
16,jobs in scotland arkansas,"('jobs in scotland arkansas hiring', 'jobs in scotland arkansas hiring right now')",jobs in scotland arkansas hiring,jobs in scotland arkansas hiring right now,3,1,google,2025-10-31 18:30:23.965357,,jobs in scotland arkansas
17,jobs in scotland arkansas,"('jobs in scotland arkansas indeed', 'jobs in scotland arkansas indeed jobs')",jobs in scotland arkansas indeed,jobs in scotland arkansas indeed jobs,1,1,google,2025-10-31 18:30:24.972639,,jobs in scotland arkansas
18,jobs in scotland arkansas,"('jobs in scotland arkansas indeed', 'jobs in scotland arkansas indeed.com')",jobs in scotland arkansas indeed,jobs in scotland arkansas indeed.com,2,1,google,2025-10-31 18:30:24.972639,,jobs in scotland arkansas
19,jobs in scotland arkansas,"('jobs in scotland arkansas indeed', 'jobs in scotland arkansas indeed part time')",jobs in scotland arkansas indeed,jobs in scotland arkansas indeed part time,3,1,google,2025-10-31 18:30:24.972639,,jobs in scotland arkansas
20,jobs in scotland arkansas,"('jobs in scotland arkansas indeed', 'jobs in scotland arkansas indeed full time')",jobs in scotland arkansas indeed,jobs in scotland arkansas indeed full time,4,1,google,2025-10-31 18:30:24.972639,,jobs in scotland arkansas
21,jobs in scotland arkansas,"('jobs in scotland arkansas hiring now', 'jobs in scotland arkansas hiring now part time')",jobs in scotland arkansas hiring now,jobs in scotland arkansas hiring now part time,1,1,google,2025-10-31 18:30:25.737626,,jobs in scotland arkansas
