,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in scottsboro alabama,"('jobs in scottsboro alabama', 'jobs in scottsboro alabama no experience')",jobs in scottsboro alabama,jobs in scottsboro alabama no experience,1,0,google,2025-10-29 01:24:26.915028,,
1,jobs in scottsboro alabama,"('jobs in scottsboro alabama', 'jobs hiring in scottsboro alabama')",jobs in scottsboro alabama,jobs hiring in scottsboro alabama,2,0,google,2025-10-29 01:24:26.915028,,
2,jobs in scottsboro alabama,"('jobs in scottsboro alabama', 'indeed jobs in scottsboro alabama')",jobs in scottsboro alabama,indeed jobs in scottsboro alabama,3,0,google,2025-10-29 01:24:26.915028,,
3,jobs in scottsboro alabama,"('jobs in scottsboro alabama', 'construction jobs in scottsboro alabama')",jobs in scottsboro alabama,construction jobs in scottsboro alabama,4,0,google,2025-10-29 01:24:26.915028,,
4,jobs in scottsboro alabama,"('jobs in scottsboro alabama', 'manufacturing jobs in scottsboro alabama')",jobs in scottsboro alabama,manufacturing jobs in scottsboro alabama,5,0,google,2025-10-29 01:24:26.915028,,
5,jobs in scottsboro alabama,"('jobs in scottsboro alabama', 'job openings in scottsboro alabama')",jobs in scottsboro alabama,job openings in scottsboro alabama,6,0,google,2025-10-29 01:24:26.915028,,
6,jobs in scottsboro alabama,"('jobs in scottsboro alabama', 'part time jobs in scottsboro alabama')",jobs in scottsboro alabama,part time jobs in scottsboro alabama,7,0,google,2025-10-29 01:24:26.915028,,
7,jobs in scottsboro alabama,"('jobs in scottsboro alabama', 'full time jobs in scottsboro alabama')",jobs in scottsboro alabama,full time jobs in scottsboro alabama,8,0,google,2025-10-29 01:24:26.915028,,
8,jobs in scottsboro alabama,"('jobs in scottsboro alabama', 'highest paying jobs in scottsboro alabama')",jobs in scottsboro alabama,highest paying jobs in scottsboro alabama,9,0,google,2025-10-29 01:24:26.915028,,
9,jobs in scottsboro alabama,"('jobs in scottsboro alabama no experience', 'full time jobs in scottsboro al no experience needed')",jobs in scottsboro alabama no experience,full time jobs in scottsboro al no experience needed,1,1,google,2025-10-29 01:24:28.372408,,jobs in scottsboro alabama
10,jobs in scottsboro alabama,"('jobs in scottsboro alabama no experience', 'part time jobs in scottsboro al no experience needed')",jobs in scottsboro alabama no experience,part time jobs in scottsboro al no experience needed,2,1,google,2025-10-29 01:24:28.372408,,jobs in scottsboro alabama
11,jobs in scottsboro alabama,"('jobs in scottsboro alabama no experience', 'jobs hiring scottsboro al no experience needed')",jobs in scottsboro alabama no experience,jobs hiring scottsboro al no experience needed,3,1,google,2025-10-29 01:24:28.372408,,jobs in scottsboro alabama
12,jobs in scottsboro alabama,"('jobs in scottsboro alabama no experience', 'jobs in scottsboro alabama')",jobs in scottsboro alabama no experience,jobs in scottsboro alabama,4,1,google,2025-10-29 01:24:28.372408,,jobs in scottsboro alabama
13,jobs in scottsboro alabama,"('jobs in scottsboro alabama no experience', 'jobs in scottsboro al')",jobs in scottsboro alabama no experience,jobs in scottsboro al,5,1,google,2025-10-29 01:24:28.372408,,jobs in scottsboro alabama
14,jobs in scottsboro alabama,"('jobs hiring in scottsboro alabama', 'job openings in scottsboro alabama')",jobs hiring in scottsboro alabama,job openings in scottsboro alabama,1,1,google,2025-10-29 01:24:29.208087,,jobs in scottsboro alabama
15,jobs in scottsboro alabama,"('jobs hiring in scottsboro alabama', 'jobs near scottsboro alabama')",jobs hiring in scottsboro alabama,jobs near scottsboro alabama,2,1,google,2025-10-29 01:24:29.208087,,jobs in scottsboro alabama
16,jobs in scottsboro alabama,"('jobs hiring in scottsboro alabama', 'jobs hiring scottsboro al no experience needed')",jobs hiring in scottsboro alabama,jobs hiring scottsboro al no experience needed,3,1,google,2025-10-29 01:24:29.208087,,jobs in scottsboro alabama
17,jobs in scottsboro alabama,"('jobs hiring in scottsboro alabama', 'jobs hiring near scottsboro al')",jobs hiring in scottsboro alabama,jobs hiring near scottsboro al,4,1,google,2025-10-29 01:24:29.208087,,jobs in scottsboro alabama
18,jobs in scottsboro alabama,"('jobs hiring in scottsboro alabama', 'jobs hiring immediately scottsboro al')",jobs hiring in scottsboro alabama,jobs hiring immediately scottsboro al,5,1,google,2025-10-29 01:24:29.208087,,jobs in scottsboro alabama
19,jobs in scottsboro alabama,"('jobs hiring in scottsboro alabama', 'scottsboro al jobs')",jobs hiring in scottsboro alabama,scottsboro al jobs,6,1,google,2025-10-29 01:24:29.208087,,jobs in scottsboro alabama
20,jobs in scottsboro alabama,"('indeed jobs in scottsboro alabama', 'indeed jobs scottsboro al full time')",indeed jobs in scottsboro alabama,indeed jobs scottsboro al full time,1,1,google,2025-10-29 01:24:29.998042,,jobs in scottsboro alabama
21,jobs in scottsboro alabama,"('indeed jobs in scottsboro alabama', 'indeed jobs in scottsboro al')",indeed jobs in scottsboro alabama,indeed jobs in scottsboro al,2,1,google,2025-10-29 01:24:29.998042,,jobs in scottsboro alabama
22,jobs in scottsboro alabama,"('construction jobs in scottsboro alabama', 'construction companies in scottsboro al')",construction jobs in scottsboro alabama,construction companies in scottsboro al,1,1,google,2025-10-29 01:24:31.258534,,jobs in scottsboro alabama
23,jobs in scottsboro alabama,"('construction jobs in scottsboro alabama', 'construction scottsboro al')",construction jobs in scottsboro alabama,construction scottsboro al,2,1,google,2025-10-29 01:24:31.258534,,jobs in scottsboro alabama
24,jobs in scottsboro alabama,"('construction jobs in scottsboro alabama', 'contractors in scottsboro al')",construction jobs in scottsboro alabama,contractors in scottsboro al,3,1,google,2025-10-29 01:24:31.258534,,jobs in scottsboro alabama
25,jobs in scottsboro alabama,"('construction jobs in scottsboro alabama', 'scottsboro alabama jobs')",construction jobs in scottsboro alabama,scottsboro alabama jobs,4,1,google,2025-10-29 01:24:31.258534,,jobs in scottsboro alabama
26,jobs in scottsboro alabama,"('manufacturing jobs in scottsboro alabama', 'manufacturing jobs in scottsboro al')",manufacturing jobs in scottsboro alabama,manufacturing jobs in scottsboro al,1,1,google,2025-10-29 01:24:32.453215,,jobs in scottsboro alabama
27,jobs in scottsboro alabama,"('manufacturing jobs in scottsboro alabama', 'factory jobs in scottsboro al')",manufacturing jobs in scottsboro alabama,factory jobs in scottsboro al,2,1,google,2025-10-29 01:24:32.453215,,jobs in scottsboro alabama
28,jobs in scottsboro alabama,"('manufacturing jobs in scottsboro alabama', 'manufacturing scottsboro al')",manufacturing jobs in scottsboro alabama,manufacturing scottsboro al,3,1,google,2025-10-29 01:24:32.453215,,jobs in scottsboro alabama
29,jobs in scottsboro alabama,"('job openings in scottsboro alabama', 'jobs hiring in scottsboro alabama')",job openings in scottsboro alabama,jobs hiring in scottsboro alabama,1,1,google,2025-10-29 01:24:33.650084,,jobs in scottsboro alabama
30,jobs in scottsboro alabama,"('job openings in scottsboro alabama', 'job openings in scottsboro al')",job openings in scottsboro alabama,job openings in scottsboro al,2,1,google,2025-10-29 01:24:33.650084,,jobs in scottsboro alabama
31,jobs in scottsboro alabama,"('job openings in scottsboro alabama', 'scottsboro alabama jobs')",job openings in scottsboro alabama,scottsboro alabama jobs,3,1,google,2025-10-29 01:24:33.650084,,jobs in scottsboro alabama
32,jobs in scottsboro alabama,"('job openings in scottsboro alabama', 'scottsboro al jobs')",job openings in scottsboro alabama,scottsboro al jobs,4,1,google,2025-10-29 01:24:33.650084,,jobs in scottsboro alabama
33,jobs in scottsboro alabama,"('part time jobs in scottsboro alabama', 'full time jobs in scottsboro alabama')",part time jobs in scottsboro alabama,full time jobs in scottsboro alabama,1,1,google,2025-10-29 01:24:35.063518,,jobs in scottsboro alabama
34,jobs in scottsboro alabama,"('part time jobs in scottsboro alabama', 'part time jobs in scottsboro al no experience needed')",part time jobs in scottsboro alabama,part time jobs in scottsboro al no experience needed,2,1,google,2025-10-29 01:24:35.063518,,jobs in scottsboro alabama
35,jobs in scottsboro alabama,"('part time jobs in scottsboro alabama', 'full time jobs in scottsboro al no experience needed')",part time jobs in scottsboro alabama,full time jobs in scottsboro al no experience needed,3,1,google,2025-10-29 01:24:35.063518,,jobs in scottsboro alabama
