,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in searcy arkansas,"('jobs in searcy arkansas', 'hiring in searcy arkansas')",jobs in searcy arkansas,hiring in searcy arkansas,1,0,google,2025-10-31 18:36:01.296757,,
1,jobs in searcy arkansas,"('jobs in searcy arkansas', 'jobs in searcy ar part time')",jobs in searcy arkansas,jobs in searcy ar part time,2,0,google,2025-10-31 18:36:01.296757,,
2,jobs in searcy arkansas,"('jobs in searcy arkansas', 'jobs in searcy ar no degree')",jobs in searcy arkansas,jobs in searcy ar no degree,3,0,google,2025-10-31 18:36:01.296757,,
3,jobs in searcy arkansas,"('jobs in searcy arkansas', 'jobs in searcy ar no experience')",jobs in searcy arkansas,jobs in searcy ar no experience,4,0,google,2025-10-31 18:36:01.296757,,
4,jobs in searcy arkansas,"('jobs in searcy arkansas', 'jobs in searcy ar remote')",jobs in searcy arkansas,jobs in searcy ar remote,5,0,google,2025-10-31 18:36:01.296757,,
5,jobs in searcy arkansas,"('jobs in searcy arkansas', 'jobs in searcy ar no experience needed')",jobs in searcy arkansas,jobs in searcy ar no experience needed,6,0,google,2025-10-31 18:36:01.296757,,
6,jobs in searcy arkansas,"('jobs in searcy arkansas', 'jobs in searcy ar since yesterday')",jobs in searcy arkansas,jobs in searcy ar since yesterday,7,0,google,2025-10-31 18:36:01.296757,,
7,jobs in searcy arkansas,"('jobs in searcy arkansas', 'jobs in searcy ar full time')",jobs in searcy arkansas,jobs in searcy ar full time,8,0,google,2025-10-31 18:36:01.296757,,
8,jobs in searcy arkansas,"('jobs in searcy arkansas', 'jobs hiring in searcy arkansas')",jobs in searcy arkansas,jobs hiring in searcy arkansas,9,0,google,2025-10-31 18:36:01.296757,,
9,jobs in searcy arkansas,"('hiring in searcy arkansas', 'jobs in searcy arkansas')",hiring in searcy arkansas,jobs in searcy arkansas,1,1,google,2025-10-31 18:36:02.218182,,jobs in searcy arkansas
10,jobs in searcy arkansas,"('hiring in searcy arkansas', 'employment in searcy arkansas')",hiring in searcy arkansas,employment in searcy arkansas,2,1,google,2025-10-31 18:36:02.218182,,jobs in searcy arkansas
11,jobs in searcy arkansas,"('hiring in searcy arkansas', 'jobs hiring in searcy arkansas')",hiring in searcy arkansas,jobs hiring in searcy arkansas,3,1,google,2025-10-31 18:36:02.218182,,jobs in searcy arkansas
12,jobs in searcy arkansas,"('hiring in searcy arkansas', 'places hiring in searcy arkansas')",hiring in searcy arkansas,places hiring in searcy arkansas,4,1,google,2025-10-31 18:36:02.218182,,jobs in searcy arkansas
13,jobs in searcy arkansas,"('hiring in searcy arkansas', 'now hiring in searcy arkansas')",hiring in searcy arkansas,now hiring in searcy arkansas,5,1,google,2025-10-31 18:36:02.218182,,jobs in searcy arkansas
14,jobs in searcy arkansas,"('hiring in searcy arkansas', 'factory jobs hiring in searcy arkansas')",hiring in searcy arkansas,factory jobs hiring in searcy arkansas,6,1,google,2025-10-31 18:36:02.218182,,jobs in searcy arkansas
15,jobs in searcy arkansas,"('hiring in searcy arkansas', 'jobs in searcy county arkansas')",hiring in searcy arkansas,jobs in searcy county arkansas,7,1,google,2025-10-31 18:36:02.218182,,jobs in searcy arkansas
16,jobs in searcy arkansas,"('hiring in searcy arkansas', 'job openings in searcy arkansas')",hiring in searcy arkansas,job openings in searcy arkansas,8,1,google,2025-10-31 18:36:02.218182,,jobs in searcy arkansas
17,jobs in searcy arkansas,"('hiring in searcy arkansas', 'factory jobs in searcy arkansas')",hiring in searcy arkansas,factory jobs in searcy arkansas,9,1,google,2025-10-31 18:36:02.218182,,jobs in searcy arkansas
18,jobs in searcy arkansas,"('jobs in searcy ar part time', 'jobs in searcy ar full time')",jobs in searcy ar part time,jobs in searcy ar full time,1,1,google,2025-10-31 18:36:03.269781,,jobs in searcy arkansas
19,jobs in searcy arkansas,"('jobs in searcy ar part time', 'indeed jobs searcy ar full time')",jobs in searcy ar part time,indeed jobs searcy ar full time,2,1,google,2025-10-31 18:36:03.269781,,jobs in searcy arkansas
20,jobs in searcy arkansas,"('jobs in searcy ar part time', 'part time jobs in searcy ar for students')",jobs in searcy ar part time,part time jobs in searcy ar for students,3,1,google,2025-10-31 18:36:03.269781,,jobs in searcy arkansas
