,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in selma alabama,"('jobs in selma alabama', 'jobs in selma al')",jobs in selma alabama,jobs in selma al,1,0,google,2025-10-29 01:26:47.307610,,
1,jobs in selma alabama,"('jobs in selma alabama', 'jobs in selma al no experience')",jobs in selma alabama,jobs in selma al no experience,2,0,google,2025-10-29 01:26:47.307610,,
2,jobs in selma alabama,"('jobs in selma alabama', 'jobs in selma al remote')",jobs in selma alabama,jobs in selma al remote,3,0,google,2025-10-29 01:26:47.307610,,
3,jobs in selma alabama,"('jobs in selma alabama', 'jobs hiring in selma alabama')",jobs in selma alabama,jobs hiring in selma alabama,4,0,google,2025-10-29 01:26:47.307610,,
4,jobs in selma alabama,"('jobs in selma alabama', 'welding jobs in selma alabama')",jobs in selma alabama,welding jobs in selma alabama,5,0,google,2025-10-29 01:26:47.307610,,
5,jobs in selma alabama,"('jobs in selma alabama', 'state jobs in selma alabama')",jobs in selma alabama,state jobs in selma alabama,6,0,google,2025-10-29 01:26:47.307610,,
6,jobs in selma alabama,"('jobs in selma alabama', 'jobs available in selma alabama')",jobs in selma alabama,jobs available in selma alabama,7,0,google,2025-10-29 01:26:47.307610,,
7,jobs in selma alabama,"('jobs in selma alabama', 'cna jobs in selma alabama')",jobs in selma alabama,cna jobs in selma alabama,8,0,google,2025-10-29 01:26:47.307610,,
8,jobs in selma alabama,"('jobs in selma alabama', 'full time jobs in selma alabama')",jobs in selma alabama,full time jobs in selma alabama,9,0,google,2025-10-29 01:26:47.307610,,
9,jobs in selma alabama,"('jobs in selma al', 'jobs in selma alabama')",jobs in selma al,jobs in selma alabama,1,1,google,2025-10-29 01:26:48.638616,,jobs in selma alabama
10,jobs in selma alabama,"('jobs in selma al', 'jobs in selma al no experience')",jobs in selma al,jobs in selma al no experience,2,1,google,2025-10-29 01:26:48.638616,,jobs in selma alabama
11,jobs in selma alabama,"('jobs in selma al', 'jobs in selma al remote')",jobs in selma al,jobs in selma al remote,3,1,google,2025-10-29 01:26:48.638616,,jobs in selma alabama
