,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in semmes alabama,"('jobs in semmes alabama', 'jobs hiring in semmes alabama')",jobs in semmes alabama,jobs hiring in semmes alabama,1,0,google,2025-10-29 01:29:49.716265,,
1,jobs in semmes alabama,"('jobs in semmes alabama', 'jobs in semmes')",jobs in semmes alabama,jobs in semmes,2,0,google,2025-10-29 01:29:49.716265,,
2,jobs in semmes alabama,"('jobs in semmes alabama', 'jobs in semmes al')",jobs in semmes alabama,jobs in semmes al,3,0,google,2025-10-29 01:29:49.716265,,
3,jobs in semmes alabama,"('jobs hiring in semmes alabama', 'jobs hiring near semmes al')",jobs hiring in semmes alabama,jobs hiring near semmes al,1,1,google,2025-10-29 01:29:51.008764,,jobs in semmes alabama
4,jobs in semmes alabama,"('jobs hiring in semmes alabama', 'jobs hiring in semmes')",jobs hiring in semmes alabama,jobs hiring in semmes,2,1,google,2025-10-29 01:29:51.008764,,jobs in semmes alabama
5,jobs in semmes alabama,"('jobs hiring in semmes alabama', 'semmes alabama jobs')",jobs hiring in semmes alabama,semmes alabama jobs,3,1,google,2025-10-29 01:29:51.008764,,jobs in semmes alabama
6,jobs in semmes alabama,"('jobs in semmes', 'jobs in semmes al')",jobs in semmes,jobs in semmes al,1,1,google,2025-10-29 01:29:52.238659,,jobs in semmes alabama
7,jobs in semmes alabama,"('jobs in semmes', 'jobs hiring in semmes al')",jobs in semmes,jobs hiring in semmes al,2,1,google,2025-10-29 01:29:52.238659,,jobs in semmes alabama
8,jobs in semmes alabama,"('jobs in semmes', 'jobs hiring in semmes')",jobs in semmes,jobs hiring in semmes,3,1,google,2025-10-29 01:29:52.238659,,jobs in semmes alabama
9,jobs in semmes alabama,"('jobs in semmes', 'part time jobs in semmes al')",jobs in semmes,part time jobs in semmes al,4,1,google,2025-10-29 01:29:52.238659,,jobs in semmes alabama
10,jobs in semmes alabama,"('jobs in semmes', 'part time jobs in semmes')",jobs in semmes,part time jobs in semmes,5,1,google,2025-10-29 01:29:52.238659,,jobs in semmes alabama
11,jobs in semmes alabama,"('jobs in semmes', 'full time jobs in semmes al')",jobs in semmes,full time jobs in semmes al,6,1,google,2025-10-29 01:29:52.238659,,jobs in semmes alabama
12,jobs in semmes alabama,"('jobs in semmes', 'jobs in semmes alabama')",jobs in semmes,jobs in semmes alabama,7,1,google,2025-10-29 01:29:52.238659,,jobs in semmes alabama
13,jobs in semmes alabama,"('jobs in semmes', 'jobs in seminole')",jobs in semmes,jobs in seminole,8,1,google,2025-10-29 01:29:52.238659,,jobs in semmes alabama
14,jobs in semmes alabama,"('jobs in semmes', 'jobs in seminole texas')",jobs in semmes,jobs in seminole texas,9,1,google,2025-10-29 01:29:52.238659,,jobs in semmes alabama
15,jobs in semmes alabama,"('jobs in semmes al', 'hiring in semmes al')",jobs in semmes al,hiring in semmes al,1,1,google,2025-10-29 01:29:53.318818,,jobs in semmes alabama
16,jobs in semmes alabama,"('jobs in semmes al', 'jobs hiring in semmes al')",jobs in semmes al,jobs hiring in semmes al,2,1,google,2025-10-29 01:29:53.318818,,jobs in semmes alabama
17,jobs in semmes alabama,"('jobs in semmes al', 'part time jobs in semmes al')",jobs in semmes al,part time jobs in semmes al,3,1,google,2025-10-29 01:29:53.318818,,jobs in semmes alabama
18,jobs in semmes alabama,"('jobs in semmes al', 'full time jobs in semmes al')",jobs in semmes al,full time jobs in semmes al,4,1,google,2025-10-29 01:29:53.318818,,jobs in semmes alabama
19,jobs in semmes alabama,"('jobs in semmes al', 'places hiring in semmes al')",jobs in semmes al,places hiring in semmes al,5,1,google,2025-10-29 01:29:53.318818,,jobs in semmes alabama
20,jobs in semmes alabama,"('jobs in semmes al', 'jobs in semmes alabama')",jobs in semmes al,jobs in semmes alabama,6,1,google,2025-10-29 01:29:53.318818,,jobs in semmes alabama
21,jobs in semmes alabama,"('jobs in semmes al', 'jobs in semmes')",jobs in semmes al,jobs in semmes,7,1,google,2025-10-29 01:29:53.318818,,jobs in semmes alabama
22,jobs in semmes alabama,"('jobs hiring near semmes al', 'jobs hiring in semmes alabama')",jobs hiring near semmes al,jobs hiring in semmes alabama,1,2,google,2025-10-29 01:29:54.149350,jobs in semmes alabama,jobs hiring in semmes alabama
23,jobs in semmes alabama,"('jobs hiring near semmes al', 'jobs near semmes al')",jobs hiring near semmes al,jobs near semmes al,2,2,google,2025-10-29 01:29:54.149350,jobs in semmes alabama,jobs hiring in semmes alabama
24,jobs in semmes alabama,"('jobs hiring in semmes', 'jobs hiring in semmes al')",jobs hiring in semmes,jobs hiring in semmes al,1,2,google,2025-10-29 01:29:55.399392,jobs in semmes alabama jobs in semmes alabama,jobs hiring in semmes alabama jobs in semmes
25,jobs in semmes alabama,"('jobs hiring in semmes', 'jobs near semmes al')",jobs hiring in semmes,jobs near semmes al,2,2,google,2025-10-29 01:29:55.399392,jobs in semmes alabama jobs in semmes alabama,jobs hiring in semmes alabama jobs in semmes
26,jobs in semmes alabama,"('jobs hiring in semmes', 'jobs near semmes')",jobs hiring in semmes,jobs near semmes,3,2,google,2025-10-29 01:29:55.399392,jobs in semmes alabama jobs in semmes alabama,jobs hiring in semmes alabama jobs in semmes
27,jobs in semmes alabama,"('jobs hiring in semmes', 'jobs hiring in semmes alabama')",jobs hiring in semmes,jobs hiring in semmes alabama,4,2,google,2025-10-29 01:29:55.399392,jobs in semmes alabama jobs in semmes alabama,jobs hiring in semmes alabama jobs in semmes
28,jobs in semmes alabama,"('jobs hiring in semmes', 'jobs hiring in seminole tx')",jobs hiring in semmes,jobs hiring in seminole tx,5,2,google,2025-10-29 01:29:55.399392,jobs in semmes alabama jobs in semmes alabama,jobs hiring in semmes alabama jobs in semmes
29,jobs in semmes alabama,"('jobs hiring in semmes', 'jobs hiring in seminary ms')",jobs hiring in semmes,jobs hiring in seminary ms,6,2,google,2025-10-29 01:29:55.399392,jobs in semmes alabama jobs in semmes alabama,jobs hiring in semmes alabama jobs in semmes
30,jobs in semmes alabama,"('semmes alabama jobs', 'publix semmes al jobs')",semmes alabama jobs,publix semmes al jobs,1,2,google,2025-10-29 01:29:56.663965,jobs in semmes alabama,jobs hiring in semmes alabama
31,jobs in semmes alabama,"('semmes alabama jobs', 'aldi semmes al jobs')",semmes alabama jobs,aldi semmes al jobs,2,2,google,2025-10-29 01:29:56.663965,jobs in semmes alabama,jobs hiring in semmes alabama
32,jobs in semmes alabama,"('semmes alabama jobs', 'wawa semmes al jobs')",semmes alabama jobs,wawa semmes al jobs,3,2,google,2025-10-29 01:29:56.663965,jobs in semmes alabama,jobs hiring in semmes alabama
33,jobs in semmes alabama,"('semmes alabama jobs', 'semmes al jobs')",semmes alabama jobs,semmes al jobs,4,2,google,2025-10-29 01:29:56.663965,jobs in semmes alabama,jobs hiring in semmes alabama
34,jobs in semmes alabama,"('semmes alabama jobs', 'semmes city jobs')",semmes alabama jobs,semmes city jobs,5,2,google,2025-10-29 01:29:56.663965,jobs in semmes alabama,jobs hiring in semmes alabama
35,jobs in semmes alabama,"('semmes alabama jobs', 'semmes jobs')",semmes alabama jobs,semmes jobs,6,2,google,2025-10-29 01:29:56.663965,jobs in semmes alabama,jobs hiring in semmes alabama
36,jobs in semmes alabama,"('jobs hiring in semmes al', 'jobs near semmes al')",jobs hiring in semmes al,jobs near semmes al,1,2,google,2025-10-29 01:29:57.962368,jobs in semmes alabama jobs in semmes alabama,jobs in semmes jobs in semmes al
37,jobs in semmes alabama,"('jobs hiring in semmes al', 'jobs hiring in semmes alabama')",jobs hiring in semmes al,jobs hiring in semmes alabama,2,2,google,2025-10-29 01:29:57.962368,jobs in semmes alabama jobs in semmes alabama,jobs in semmes jobs in semmes al
38,jobs in semmes alabama,"('jobs hiring in semmes al', 'jobs hiring in semmes')",jobs hiring in semmes al,jobs hiring in semmes,3,2,google,2025-10-29 01:29:57.962368,jobs in semmes alabama jobs in semmes alabama,jobs in semmes jobs in semmes al
39,jobs in semmes alabama,"('jobs hiring in semmes al', 'jobs in semmes alabama')",jobs hiring in semmes al,jobs in semmes alabama,4,2,google,2025-10-29 01:29:57.962368,jobs in semmes alabama jobs in semmes alabama,jobs in semmes jobs in semmes al
40,jobs in semmes alabama,"('part time jobs in semmes al', 'full time jobs in semmes al')",part time jobs in semmes al,full time jobs in semmes al,1,2,google,2025-10-29 01:29:59.196360,jobs in semmes alabama jobs in semmes alabama,jobs in semmes jobs in semmes al
41,jobs in semmes alabama,"('part time jobs in semmes al', 'part time jobs hiring semmes al')",part time jobs in semmes al,part time jobs hiring semmes al,2,2,google,2025-10-29 01:29:59.196360,jobs in semmes alabama jobs in semmes alabama,jobs in semmes jobs in semmes al
42,jobs in semmes alabama,"('part time jobs in semmes al', 'part time jobs in selma al')",part time jobs in semmes al,part time jobs in selma al,3,2,google,2025-10-29 01:29:59.196360,jobs in semmes alabama jobs in semmes alabama,jobs in semmes jobs in semmes al
43,jobs in semmes alabama,"('part time jobs in semmes al', 'part-time jobs in selma alabama')",part time jobs in semmes al,part-time jobs in selma alabama,4,2,google,2025-10-29 01:29:59.196360,jobs in semmes alabama jobs in semmes alabama,jobs in semmes jobs in semmes al
44,jobs in semmes alabama,"('part time jobs in semmes al', 'part time jobs in seminole tx')",part time jobs in semmes al,part time jobs in seminole tx,5,2,google,2025-10-29 01:29:59.196360,jobs in semmes alabama jobs in semmes alabama,jobs in semmes jobs in semmes al
45,jobs in semmes alabama,"('part time jobs in semmes al', 'part time jobs in seminole fl')",part time jobs in semmes al,part time jobs in seminole fl,6,2,google,2025-10-29 01:29:59.196360,jobs in semmes alabama jobs in semmes alabama,jobs in semmes jobs in semmes al
46,jobs in semmes alabama,"('part time jobs in semmes', 'part time jobs in semmes al')",part time jobs in semmes,part time jobs in semmes al,1,2,google,2025-10-29 01:30:00.625604,jobs in semmes alabama,jobs in semmes
47,jobs in semmes alabama,"('part time jobs in semmes', 'full time jobs in semmes al')",part time jobs in semmes,full time jobs in semmes al,2,2,google,2025-10-29 01:30:00.625604,jobs in semmes alabama,jobs in semmes
48,jobs in semmes alabama,"('part time jobs in semmes', 'part time jobs hiring semmes al')",part time jobs in semmes,part time jobs hiring semmes al,3,2,google,2025-10-29 01:30:00.625604,jobs in semmes alabama,jobs in semmes
49,jobs in semmes alabama,"('part time jobs in semmes', 'part time jobs in seminole tx')",part time jobs in semmes,part time jobs in seminole tx,4,2,google,2025-10-29 01:30:00.625604,jobs in semmes alabama,jobs in semmes
