,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in shannon alabama,"('jobs in shannon alabama', 'jobs in shannon alabama hiring')",jobs in shannon alabama,jobs in shannon alabama hiring,1,0,google,2025-10-29 01:30:55.443494,,
1,jobs in shannon alabama,"('jobs in shannon alabama', 'jobs in shannon alabama part time')",jobs in shannon alabama,jobs in shannon alabama part time,2,0,google,2025-10-29 01:30:55.443494,,
2,jobs in shannon alabama,"('jobs in shannon alabama', 'jobs in shannon alabama hiring now')",jobs in shannon alabama,jobs in shannon alabama hiring now,3,0,google,2025-10-29 01:30:55.443494,,
3,jobs in shannon alabama,"('jobs in shannon alabama', 'jobs in shannon alabama for 16 year olds')",jobs in shannon alabama,jobs in shannon alabama for 16 year olds,4,0,google,2025-10-29 01:30:55.443494,,
4,jobs in shannon alabama,"('jobs in shannon alabama', 'jobs in shannon alabama for 17 year olds')",jobs in shannon alabama,jobs in shannon alabama for 17 year olds,5,0,google,2025-10-29 01:30:55.443494,,
5,jobs in shannon alabama,"('jobs in shannon alabama', 'jobs in shannon alabama artist')",jobs in shannon alabama,jobs in shannon alabama artist,6,0,google,2025-10-29 01:30:55.443494,,
6,jobs in shannon alabama,"('jobs in shannon alabama hiring', 'jobs in shannon alabama hiring now')",jobs in shannon alabama hiring,jobs in shannon alabama hiring now,1,1,google,2025-10-29 01:30:56.539154,,jobs in shannon alabama
7,jobs in shannon alabama,"('jobs in shannon alabama hiring', 'jobs in shannon alabama hiring immediately')",jobs in shannon alabama hiring,jobs in shannon alabama hiring immediately,2,1,google,2025-10-29 01:30:56.539154,,jobs in shannon alabama
8,jobs in shannon alabama,"('jobs in shannon alabama hiring', 'jobs in shannon alabama hiring 16 year olds')",jobs in shannon alabama hiring,jobs in shannon alabama hiring 16 year olds,3,1,google,2025-10-29 01:30:56.539154,,jobs in shannon alabama
9,jobs in shannon alabama,"('jobs in shannon alabama hiring', 'jobs in shannon alabama hiring right now')",jobs in shannon alabama hiring,jobs in shannon alabama hiring right now,4,1,google,2025-10-29 01:30:56.539154,,jobs in shannon alabama
10,jobs in shannon alabama,"('jobs in shannon alabama hiring', 'jobs in shannon alabama hiring 15 year olds')",jobs in shannon alabama hiring,jobs in shannon alabama hiring 15 year olds,5,1,google,2025-10-29 01:30:56.539154,,jobs in shannon alabama
