,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in sheffield alabama,"('jobs in sheffield alabama', 'jobs in tuscumbia alabama')",jobs in sheffield alabama,jobs in tuscumbia alabama,1,0,google,2025-10-29 01:34:24.640116,,
1,jobs in sheffield alabama,"('jobs in sheffield alabama', 'jobs hiring in sheffield al')",jobs in sheffield alabama,jobs hiring in sheffield al,2,0,google,2025-10-29 01:34:24.640116,,
2,jobs in sheffield alabama,"('jobs in sheffield alabama', 'jobs in sheffield al')",jobs in sheffield alabama,jobs in sheffield al,3,0,google,2025-10-29 01:34:24.640116,,
3,jobs in sheffield alabama,"('jobs in tuscumbia alabama', 'jobs hiring in tuscumbia al')",jobs in tuscumbia alabama,jobs hiring in tuscumbia al,1,1,google,2025-10-29 01:34:25.547421,,jobs in sheffield alabama
4,jobs in sheffield alabama,"('jobs in tuscumbia alabama', 'jobs in tuscumbia al')",jobs in tuscumbia alabama,jobs in tuscumbia al,2,1,google,2025-10-29 01:34:25.547421,,jobs in sheffield alabama
5,jobs in sheffield alabama,"('jobs hiring in sheffield al', 'jobs hiring in florence al')",jobs hiring in sheffield al,jobs hiring in florence al,1,1,google,2025-10-29 01:34:26.504704,,jobs in sheffield alabama
6,jobs in sheffield alabama,"('jobs hiring in sheffield al', 'jobs hiring in florence al full time')",jobs hiring in sheffield al,jobs hiring in florence al full time,2,1,google,2025-10-29 01:34:26.504704,,jobs in sheffield alabama
7,jobs in sheffield alabama,"('jobs hiring in sheffield al', 'jobs hiring in tuscumbia al')",jobs hiring in sheffield al,jobs hiring in tuscumbia al,3,1,google,2025-10-29 01:34:26.504704,,jobs in sheffield alabama
8,jobs in sheffield alabama,"('jobs hiring in sheffield al', 'jobs available in florence al')",jobs hiring in sheffield al,jobs available in florence al,4,1,google,2025-10-29 01:34:26.504704,,jobs in sheffield alabama
9,jobs in sheffield alabama,"('jobs hiring in sheffield al', 'jobs hiring in florence al in the last 3 days')",jobs hiring in sheffield al,jobs hiring in florence al in the last 3 days,5,1,google,2025-10-29 01:34:26.504704,,jobs in sheffield alabama
10,jobs in sheffield alabama,"('jobs hiring in sheffield al', 'jobs near sheffield al')",jobs hiring in sheffield al,jobs near sheffield al,6,1,google,2025-10-29 01:34:26.504704,,jobs in sheffield alabama
11,jobs in sheffield alabama,"('jobs hiring in sheffield al', 'jobs hiring florence al part time')",jobs hiring in sheffield al,jobs hiring florence al part time,7,1,google,2025-10-29 01:34:26.504704,,jobs in sheffield alabama
12,jobs in sheffield alabama,"('jobs hiring in sheffield al', 'jobs hiring florence al remote')",jobs hiring in sheffield al,jobs hiring florence al remote,8,1,google,2025-10-29 01:34:26.504704,,jobs in sheffield alabama
