,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in shelby alabama,"('jobs in shelby alabama', 'jobs in shelby county alabama')",jobs in shelby alabama,jobs in shelby county alabama,1,0,google,2025-10-29 01:35:54.009990,,
1,jobs in shelby alabama,"('jobs in shelby alabama', 'jobs in shelby county schools alabama')",jobs in shelby alabama,jobs in shelby county schools alabama,2,0,google,2025-10-29 01:35:54.009990,,
2,jobs in shelby alabama,"('jobs in shelby alabama', 'jobs in shelby co al')",jobs in shelby alabama,jobs in shelby co al,3,0,google,2025-10-29 01:35:54.009990,,
3,jobs in shelby alabama,"('jobs in shelby alabama', 'jobs hiring in shelby county alabama')",jobs in shelby alabama,jobs hiring in shelby county alabama,4,0,google,2025-10-29 01:35:54.009990,,
4,jobs in shelby alabama,"('jobs in shelby alabama', 'teaching jobs in shelby county alabama')",jobs in shelby alabama,teaching jobs in shelby county alabama,5,0,google,2025-10-29 01:35:54.009990,,
5,jobs in shelby alabama,"('jobs in shelby alabama', 'government jobs in shelby county alabama')",jobs in shelby alabama,government jobs in shelby county alabama,6,0,google,2025-10-29 01:35:54.009990,,
6,jobs in shelby alabama,"('jobs in shelby alabama', 'part time jobs in shelby county alabama')",jobs in shelby alabama,part time jobs in shelby county alabama,7,0,google,2025-10-29 01:35:54.009990,,
7,jobs in shelby alabama,"('jobs in shelby alabama', 'full time jobs in shelby county alabama')",jobs in shelby alabama,full time jobs in shelby county alabama,8,0,google,2025-10-29 01:35:54.009990,,
8,jobs in shelby alabama,"('jobs in shelby alabama', 'shelby american jobs')",jobs in shelby alabama,shelby american jobs,9,0,google,2025-10-29 01:35:54.009990,,
9,jobs in shelby alabama,"('jobs in shelby county alabama', 'jobs hiring in shelby county alabama')",jobs in shelby county alabama,jobs hiring in shelby county alabama,1,1,google,2025-10-29 01:35:55.107130,,jobs in shelby alabama
10,jobs in shelby alabama,"('jobs in shelby county alabama', 'teaching jobs in shelby county alabama')",jobs in shelby county alabama,teaching jobs in shelby county alabama,2,1,google,2025-10-29 01:35:55.107130,,jobs in shelby alabama
11,jobs in shelby alabama,"('jobs in shelby county alabama', 'jobs in shelby county schools alabama')",jobs in shelby county alabama,jobs in shelby county schools alabama,3,1,google,2025-10-29 01:35:55.107130,,jobs in shelby alabama
12,jobs in shelby alabama,"('jobs in shelby county alabama', 'government jobs in shelby county alabama')",jobs in shelby county alabama,government jobs in shelby county alabama,4,1,google,2025-10-29 01:35:55.107130,,jobs in shelby alabama
13,jobs in shelby alabama,"('jobs in shelby county alabama', 'job openings in shelby county alabama')",jobs in shelby county alabama,job openings in shelby county alabama,5,1,google,2025-10-29 01:35:55.107130,,jobs in shelby alabama
14,jobs in shelby alabama,"('jobs in shelby county alabama', 'part time jobs in shelby county alabama')",jobs in shelby county alabama,part time jobs in shelby county alabama,6,1,google,2025-10-29 01:35:55.107130,,jobs in shelby alabama
15,jobs in shelby alabama,"('jobs in shelby county alabama', 'full time jobs in shelby county alabama')",jobs in shelby county alabama,full time jobs in shelby county alabama,7,1,google,2025-10-29 01:35:55.107130,,jobs in shelby alabama
16,jobs in shelby alabama,"('jobs in shelby county alabama', 'indeed jobs shelby county alabama')",jobs in shelby county alabama,indeed jobs shelby county alabama,8,1,google,2025-10-29 01:35:55.107130,,jobs in shelby alabama
17,jobs in shelby alabama,"('jobs in shelby county alabama', 'jobs near shelby county al')",jobs in shelby county alabama,jobs near shelby county al,9,1,google,2025-10-29 01:35:55.107130,,jobs in shelby alabama
18,jobs in shelby alabama,"('jobs in shelby county schools alabama', 'jobs at shelby county schools al')",jobs in shelby county schools alabama,jobs at shelby county schools al,1,1,google,2025-10-29 01:35:56.118723,,jobs in shelby alabama
19,jobs in shelby alabama,"('jobs in shelby county schools alabama', 'shelby county schools alabama job openings')",jobs in shelby county schools alabama,shelby county schools alabama job openings,2,1,google,2025-10-29 01:35:56.118723,,jobs in shelby alabama
20,jobs in shelby alabama,"('jobs in shelby county schools alabama', 'jobs in shelby county alabama')",jobs in shelby county schools alabama,jobs in shelby county alabama,3,1,google,2025-10-29 01:35:56.118723,,jobs in shelby alabama
21,jobs in shelby alabama,"('jobs in shelby county schools alabama', 'jobs in shelby county al')",jobs in shelby county schools alabama,jobs in shelby county al,4,1,google,2025-10-29 01:35:56.118723,,jobs in shelby alabama
22,jobs in shelby alabama,"('jobs in shelby co al', 'jobs in shelby county alabama')",jobs in shelby co al,jobs in shelby county alabama,1,1,google,2025-10-29 01:35:57.477219,,jobs in shelby alabama
23,jobs in shelby alabama,"('jobs in shelby co al', 'jobs hiring in shelby county alabama')",jobs in shelby co al,jobs hiring in shelby county alabama,2,1,google,2025-10-29 01:35:57.477219,,jobs in shelby alabama
24,jobs in shelby alabama,"('jobs in shelby co al', 'teaching jobs in shelby county alabama')",jobs in shelby co al,teaching jobs in shelby county alabama,3,1,google,2025-10-29 01:35:57.477219,,jobs in shelby alabama
25,jobs in shelby alabama,"('jobs in shelby co al', 'jobs in shelby county schools alabama')",jobs in shelby co al,jobs in shelby county schools alabama,4,1,google,2025-10-29 01:35:57.477219,,jobs in shelby alabama
26,jobs in shelby alabama,"('jobs in shelby co al', 'government jobs in shelby county alabama')",jobs in shelby co al,government jobs in shelby county alabama,5,1,google,2025-10-29 01:35:57.477219,,jobs in shelby alabama
27,jobs in shelby alabama,"('jobs in shelby co al', 'job openings in shelby county alabama')",jobs in shelby co al,job openings in shelby county alabama,6,1,google,2025-10-29 01:35:57.477219,,jobs in shelby alabama
28,jobs in shelby alabama,"('jobs in shelby co al', 'part time jobs in shelby county al')",jobs in shelby co al,part time jobs in shelby county al,7,1,google,2025-10-29 01:35:57.477219,,jobs in shelby alabama
29,jobs in shelby alabama,"('jobs in shelby co al', 'full time jobs in shelby county alabama')",jobs in shelby co al,full time jobs in shelby county alabama,8,1,google,2025-10-29 01:35:57.477219,,jobs in shelby alabama
30,jobs in shelby alabama,"('jobs in shelby co al', 'jobs near shelby county al')",jobs in shelby co al,jobs near shelby county al,9,1,google,2025-10-29 01:35:57.477219,,jobs in shelby alabama
31,jobs in shelby alabama,"('jobs hiring in shelby county alabama', 'job openings in shelby county alabama')",jobs hiring in shelby county alabama,job openings in shelby county alabama,1,1,google,2025-10-29 01:35:58.719019,,jobs in shelby alabama
