,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in sheridan arkansas,"('jobs in sheridan arkansas', 'jobs hiring in sheridan arkansas')",jobs in sheridan arkansas,jobs hiring in sheridan arkansas,1,0,google,2025-10-30 18:53:10.533159,,
1,jobs in sheridan arkansas,"('jobs in sheridan arkansas', 'kohler jobs in sheridan arkansas')",jobs in sheridan arkansas,kohler jobs in sheridan arkansas,2,0,google,2025-10-30 18:53:10.533159,,
2,jobs in sheridan arkansas,"('jobs in sheridan arkansas', 'indeed jobs in sheridan arkansas')",jobs in sheridan arkansas,indeed jobs in sheridan arkansas,3,0,google,2025-10-30 18:53:10.533159,,
3,jobs in sheridan arkansas,"('jobs in sheridan arkansas', 'job openings in sheridan arkansas')",jobs in sheridan arkansas,job openings in sheridan arkansas,4,0,google,2025-10-30 18:53:10.533159,,
4,jobs in sheridan arkansas,"('jobs in sheridan arkansas', 'part time jobs in sheridan arkansas')",jobs in sheridan arkansas,part time jobs in sheridan arkansas,5,0,google,2025-10-30 18:53:10.533159,,
5,jobs in sheridan arkansas,"('jobs in sheridan arkansas', 'places hiring in sheridan arkansas')",jobs in sheridan arkansas,places hiring in sheridan arkansas,6,0,google,2025-10-30 18:53:10.533159,,
6,jobs in sheridan arkansas,"('jobs in sheridan arkansas', 'warehouse jobs in sheridan ar')",jobs in sheridan arkansas,warehouse jobs in sheridan ar,7,0,google,2025-10-30 18:53:10.533159,,
7,jobs in sheridan arkansas,"('jobs in sheridan arkansas', 'jobs in sheridan ar')",jobs in sheridan arkansas,jobs in sheridan ar,8,0,google,2025-10-30 18:53:10.533159,,
8,jobs in sheridan arkansas,"('jobs hiring in sheridan arkansas', 'job openings in sheridan arkansas')",jobs hiring in sheridan arkansas,job openings in sheridan arkansas,1,1,google,2025-10-30 18:53:11.520983,,jobs in sheridan arkansas
9,jobs in sheridan arkansas,"('jobs hiring in sheridan arkansas', 'jobs near sheridan arkansas')",jobs hiring in sheridan arkansas,jobs near sheridan arkansas,2,1,google,2025-10-30 18:53:11.520983,,jobs in sheridan arkansas
10,jobs in sheridan arkansas,"('jobs hiring in sheridan arkansas', 'jobs hiring near sheridan ar')",jobs hiring in sheridan arkansas,jobs hiring near sheridan ar,3,1,google,2025-10-30 18:53:11.520983,,jobs in sheridan arkansas
11,jobs in sheridan arkansas,"('jobs hiring in sheridan arkansas', 'jobs hiring in sheridan')",jobs hiring in sheridan arkansas,jobs hiring in sheridan,4,1,google,2025-10-30 18:53:11.520983,,jobs in sheridan arkansas
12,jobs in sheridan arkansas,"('kohler jobs in sheridan arkansas', 'kohler jobs in sheridan ar')",kohler jobs in sheridan arkansas,kohler jobs in sheridan ar,1,1,google,2025-10-30 18:53:12.614903,,jobs in sheridan arkansas
13,jobs in sheridan arkansas,"('kohler jobs in sheridan arkansas', 'kohler sheridan ar careers')",kohler jobs in sheridan arkansas,kohler sheridan ar careers,2,1,google,2025-10-30 18:53:12.614903,,jobs in sheridan arkansas
14,jobs in sheridan arkansas,"('indeed jobs in sheridan arkansas', 'indeed jobs sheridan ar')",indeed jobs in sheridan arkansas,indeed jobs sheridan ar,1,1,google,2025-10-30 18:53:13.530333,,jobs in sheridan arkansas
15,jobs in sheridan arkansas,"('indeed jobs in sheridan arkansas', 'sheridan arkansas jobs')",indeed jobs in sheridan arkansas,sheridan arkansas jobs,2,1,google,2025-10-30 18:53:13.530333,,jobs in sheridan arkansas
16,jobs in sheridan arkansas,"('indeed jobs in sheridan arkansas', 'sheridan ar jobs')",indeed jobs in sheridan arkansas,sheridan ar jobs,3,1,google,2025-10-30 18:53:13.530333,,jobs in sheridan arkansas
17,jobs in sheridan arkansas,"('indeed jobs in sheridan arkansas', 'jobs hiring in sheridan arkansas')",indeed jobs in sheridan arkansas,jobs hiring in sheridan arkansas,4,1,google,2025-10-30 18:53:13.530333,,jobs in sheridan arkansas
18,jobs in sheridan arkansas,"('indeed jobs in sheridan arkansas', 'indeed jobs in sheridan wyoming')",indeed jobs in sheridan arkansas,indeed jobs in sheridan wyoming,5,1,google,2025-10-30 18:53:13.530333,,jobs in sheridan arkansas
19,jobs in sheridan arkansas,"('job openings in sheridan arkansas', 'jobs hiring in sheridan arkansas')",job openings in sheridan arkansas,jobs hiring in sheridan arkansas,1,1,google,2025-10-30 18:53:14.502774,,jobs in sheridan arkansas
20,jobs in sheridan arkansas,"('job openings in sheridan arkansas', 'job openings in sheridan ar')",job openings in sheridan arkansas,job openings in sheridan ar,2,1,google,2025-10-30 18:53:14.502774,,jobs in sheridan arkansas
21,jobs in sheridan arkansas,"('job openings in sheridan arkansas', 'sheridan arkansas jobs')",job openings in sheridan arkansas,sheridan arkansas jobs,3,1,google,2025-10-30 18:53:14.502774,,jobs in sheridan arkansas
