,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in springdale arkansas,"('jobs in springdale arkansas', 'jobs in springdale arkansas part time')",jobs in springdale arkansas,jobs in springdale arkansas part time,1,0,google,2025-10-31 18:46:52.212280,,
1,jobs in springdale arkansas,"('jobs in springdale arkansas', 'hiring in springdale arkansas')",jobs in springdale arkansas,hiring in springdale arkansas,2,0,google,2025-10-31 18:46:52.212280,,
2,jobs in springdale arkansas,"('jobs in springdale arkansas', 'work in springdale arkansas')",jobs in springdale arkansas,work in springdale arkansas,3,0,google,2025-10-31 18:46:52.212280,,
3,jobs in springdale arkansas,"('jobs in springdale arkansas', 'jobs in springdale ar')",jobs in springdale arkansas,jobs in springdale ar,4,0,google,2025-10-31 18:46:52.212280,,
4,jobs in springdale arkansas,"('jobs in springdale arkansas', 'jobs in springdale ar no degree')",jobs in springdale arkansas,jobs in springdale ar no degree,5,0,google,2025-10-31 18:46:52.212280,,
5,jobs in springdale arkansas,"('jobs in springdale arkansas', 'jobs in springdale ar full time')",jobs in springdale arkansas,jobs in springdale ar full time,6,0,google,2025-10-31 18:46:52.212280,,
6,jobs in springdale arkansas,"('jobs in springdale arkansas', 'jobs hiring in springdale arkansas')",jobs in springdale arkansas,jobs hiring in springdale arkansas,7,0,google,2025-10-31 18:46:52.212280,,
7,jobs in springdale arkansas,"('jobs in springdale arkansas', 'tyson jobs in springdale arkansas')",jobs in springdale arkansas,tyson jobs in springdale arkansas,8,0,google,2025-10-31 18:46:52.212280,,
8,jobs in springdale arkansas,"('jobs in springdale arkansas', 'receptionist jobs in springdale arkansas')",jobs in springdale arkansas,receptionist jobs in springdale arkansas,9,0,google,2025-10-31 18:46:52.212280,,
9,jobs in springdale arkansas,"('jobs in springdale arkansas part time', 'jobs in springdale ar full time')",jobs in springdale arkansas part time,jobs in springdale ar full time,1,1,google,2025-10-31 18:46:53.161191,,jobs in springdale arkansas
10,jobs in springdale arkansas,"('jobs in springdale arkansas part time', 'indeed jobs springdale ar part time')",jobs in springdale arkansas part time,indeed jobs springdale ar part time,2,1,google,2025-10-31 18:46:53.161191,,jobs in springdale arkansas
11,jobs in springdale arkansas,"('jobs in springdale arkansas part time', 'receptionist jobs springdale ar part time')",jobs in springdale arkansas part time,receptionist jobs springdale ar part time,3,1,google,2025-10-31 18:46:53.161191,,jobs in springdale arkansas
12,jobs in springdale arkansas,"('jobs in springdale arkansas part time', 'walmart jobs springdale ar part time')",jobs in springdale arkansas part time,walmart jobs springdale ar part time,4,1,google,2025-10-31 18:46:53.161191,,jobs in springdale arkansas
13,jobs in springdale arkansas,"('jobs in springdale arkansas part time', 'indeed jobs springdale ar full time')",jobs in springdale arkansas part time,indeed jobs springdale ar full time,5,1,google,2025-10-31 18:46:53.161191,,jobs in springdale arkansas
14,jobs in springdale arkansas,"('jobs in springdale arkansas part time', 'part time jobs in springdale')",jobs in springdale arkansas part time,part time jobs in springdale,6,1,google,2025-10-31 18:46:53.161191,,jobs in springdale arkansas
15,jobs in springdale arkansas,"('jobs in springdale arkansas part time', 'what is considered part time in arkansas')",jobs in springdale arkansas part time,what is considered part time in arkansas,7,1,google,2025-10-31 18:46:53.161191,,jobs in springdale arkansas
16,jobs in springdale arkansas,"('jobs in springdale arkansas part time', 'what jobs are in arkansas')",jobs in springdale arkansas part time,what jobs are in arkansas,8,1,google,2025-10-31 18:46:53.161191,,jobs in springdale arkansas
17,jobs in springdale arkansas,"('jobs in springdale arkansas part time', 'jobs in springdale')",jobs in springdale arkansas part time,jobs in springdale,9,1,google,2025-10-31 18:46:53.161191,,jobs in springdale arkansas
18,jobs in springdale arkansas,"('hiring in springdale arkansas', 'jobs in springdale arkansas')",hiring in springdale arkansas,jobs in springdale arkansas,1,1,google,2025-10-31 18:46:54.344612,,jobs in springdale arkansas
19,jobs in springdale arkansas,"('hiring in springdale arkansas', 'careers in springdale arkansas')",hiring in springdale arkansas,careers in springdale arkansas,2,1,google,2025-10-31 18:46:54.344612,,jobs in springdale arkansas
20,jobs in springdale arkansas,"('hiring in springdale arkansas', 'jobs in springdale arkansas part time')",hiring in springdale arkansas,jobs in springdale arkansas part time,3,1,google,2025-10-31 18:46:54.344612,,jobs in springdale arkansas
21,jobs in springdale arkansas,"('hiring in springdale arkansas', 'jobs hiring in springdale arkansas')",hiring in springdale arkansas,jobs hiring in springdale arkansas,4,1,google,2025-10-31 18:46:54.344612,,jobs in springdale arkansas
22,jobs in springdale arkansas,"('hiring in springdale arkansas', 'urgently hiring in springdale arkansas')",hiring in springdale arkansas,urgently hiring in springdale arkansas,5,1,google,2025-10-31 18:46:54.344612,,jobs in springdale arkansas
23,jobs in springdale arkansas,"('hiring in springdale arkansas', 'restaurants hiring in springdale arkansas')",hiring in springdale arkansas,restaurants hiring in springdale arkansas,6,1,google,2025-10-31 18:46:54.344612,,jobs in springdale arkansas
24,jobs in springdale arkansas,"('hiring in springdale arkansas', 'job opening in springdale arkansas')",hiring in springdale arkansas,job opening in springdale arkansas,7,1,google,2025-10-31 18:46:54.344612,,jobs in springdale arkansas
25,jobs in springdale arkansas,"('hiring in springdale arkansas', 'tyson jobs in springdale arkansas')",hiring in springdale arkansas,tyson jobs in springdale arkansas,8,1,google,2025-10-31 18:46:54.344612,,jobs in springdale arkansas
26,jobs in springdale arkansas,"('hiring in springdale arkansas', 'first employment in springdale arkansas')",hiring in springdale arkansas,first employment in springdale arkansas,9,1,google,2025-10-31 18:46:54.344612,,jobs in springdale arkansas
27,jobs in springdale arkansas,"('work in springdale arkansas', 'jobs in springdale arkansas')",work in springdale arkansas,jobs in springdale arkansas,1,1,google,2025-10-31 18:46:55.724447,,jobs in springdale arkansas
28,jobs in springdale arkansas,"('work in springdale arkansas', 'jobs in springdale arkansas part time')",work in springdale arkansas,jobs in springdale arkansas part time,2,1,google,2025-10-31 18:46:55.724447,,jobs in springdale arkansas
29,jobs in springdale arkansas,"('work in springdale arkansas', 'work release in springdale arkansas')",work in springdale arkansas,work release in springdale arkansas,3,1,google,2025-10-31 18:46:55.724447,,jobs in springdale arkansas
30,jobs in springdale arkansas,"('work in springdale arkansas', 'jobs hiring in springdale arkansas')",work in springdale arkansas,jobs hiring in springdale arkansas,4,1,google,2025-10-31 18:46:55.724447,,jobs in springdale arkansas
31,jobs in springdale arkansas,"('work in springdale arkansas', 'job opening in springdale arkansas')",work in springdale arkansas,job opening in springdale arkansas,5,1,google,2025-10-31 18:46:55.724447,,jobs in springdale arkansas
32,jobs in springdale arkansas,"('work in springdale arkansas', 'tyson jobs in springdale arkansas')",work in springdale arkansas,tyson jobs in springdale arkansas,6,1,google,2025-10-31 18:46:55.724447,,jobs in springdale arkansas
33,jobs in springdale arkansas,"('work in springdale arkansas', 'first employment in springdale arkansas')",work in springdale arkansas,first employment in springdale arkansas,7,1,google,2025-10-31 18:46:55.724447,,jobs in springdale arkansas
34,jobs in springdale arkansas,"('work in springdale arkansas', 'receptionist jobs in springdale arkansas')",work in springdale arkansas,receptionist jobs in springdale arkansas,8,1,google,2025-10-31 18:46:55.724447,,jobs in springdale arkansas
35,jobs in springdale arkansas,"('work in springdale arkansas', 'amazon jobs in springdale arkansas')",work in springdale arkansas,amazon jobs in springdale arkansas,9,1,google,2025-10-31 18:46:55.724447,,jobs in springdale arkansas
36,jobs in springdale arkansas,"('jobs in springdale ar', 'jobs in springdale arkansas')",jobs in springdale ar,jobs in springdale arkansas,1,1,google,2025-10-31 18:46:56.547041,,jobs in springdale arkansas
37,jobs in springdale arkansas,"('jobs in springdale ar', 'jobs in springdale ar no degree')",jobs in springdale ar,jobs in springdale ar no degree,2,1,google,2025-10-31 18:46:56.547041,,jobs in springdale arkansas
38,jobs in springdale arkansas,"('jobs in springdale ar', 'jobs in springdale ar full time')",jobs in springdale ar,jobs in springdale ar full time,3,1,google,2025-10-31 18:46:56.547041,,jobs in springdale arkansas
39,jobs in springdale arkansas,"('jobs in springdale ar', 'jobs in springdale ar part time')",jobs in springdale ar,jobs in springdale ar part time,4,1,google,2025-10-31 18:46:56.547041,,jobs in springdale arkansas
40,jobs in springdale arkansas,"('jobs in springdale ar', 'hiring in springdale ar')",jobs in springdale ar,hiring in springdale ar,5,1,google,2025-10-31 18:46:56.547041,,jobs in springdale arkansas
41,jobs in springdale arkansas,"('jobs in springdale ar', 'work in springdale arkansas')",jobs in springdale ar,work in springdale arkansas,6,1,google,2025-10-31 18:46:56.547041,,jobs in springdale arkansas
42,jobs in springdale arkansas,"('jobs in springdale ar', 'jobs hiring in springdale ar')",jobs in springdale ar,jobs hiring in springdale ar,7,1,google,2025-10-31 18:46:56.547041,,jobs in springdale arkansas
