,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in talladega alabama,"('jobs in talladega alabama', 'jobs hiring in talladega alabama')",jobs in talladega alabama,jobs hiring in talladega alabama,1,0,google,2025-10-29 01:54:28.371564,,
1,jobs in talladega alabama,"('jobs in talladega alabama', 'jobs in talladega county alabama')",jobs in talladega alabama,jobs in talladega county alabama,2,0,google,2025-10-29 01:54:28.371564,,
2,jobs in talladega alabama,"('jobs in talladega alabama', 'manufacturing jobs in talladega alabama')",jobs in talladega alabama,manufacturing jobs in talladega alabama,3,0,google,2025-10-29 01:54:28.371564,,
3,jobs in talladega alabama,"('jobs in talladega alabama', 'part time jobs in talladega alabama')",jobs in talladega alabama,part time jobs in talladega alabama,4,0,google,2025-10-29 01:54:28.371564,,
4,jobs in talladega alabama,"('jobs in talladega alabama', 'full time jobs in talladega alabama')",jobs in talladega alabama,full time jobs in talladega alabama,5,0,google,2025-10-29 01:54:28.371564,,
5,jobs in talladega alabama,"('jobs in talladega alabama', 'jobs in talladega al in the last 3 days')",jobs in talladega alabama,jobs in talladega al in the last 3 days,6,0,google,2025-10-29 01:54:28.371564,,
6,jobs in talladega alabama,"('jobs in talladega alabama', 'indeed jobs in talladega al')",jobs in talladega alabama,indeed jobs in talladega al,7,0,google,2025-10-29 01:54:28.371564,,
7,jobs in talladega alabama,"('jobs in talladega alabama', 'warehouse jobs in talladega al')",jobs in talladega alabama,warehouse jobs in talladega al,8,0,google,2025-10-29 01:54:28.371564,,
8,jobs in talladega alabama,"('jobs in talladega alabama', 'jobs in talladega county')",jobs in talladega alabama,jobs in talladega county,9,0,google,2025-10-29 01:54:28.371564,,
9,jobs in talladega alabama,"('jobs hiring in talladega alabama', 'job openings in talladega al')",jobs hiring in talladega alabama,job openings in talladega al,1,1,google,2025-10-29 01:54:29.318717,,jobs in talladega alabama
10,jobs in talladega alabama,"('jobs hiring in talladega alabama', 'jobs near talladega alabama')",jobs hiring in talladega alabama,jobs near talladega alabama,2,1,google,2025-10-29 01:54:29.318717,,jobs in talladega alabama
11,jobs in talladega alabama,"('jobs hiring in talladega alabama', 'jobs hiring near talladega al')",jobs hiring in talladega alabama,jobs hiring near talladega al,3,1,google,2025-10-29 01:54:29.318717,,jobs in talladega alabama
12,jobs in talladega alabama,"('jobs in talladega county alabama', 'jobs in talladega county')",jobs in talladega county alabama,jobs in talladega county,1,1,google,2025-10-29 01:54:30.227047,,jobs in talladega alabama
13,jobs in talladega alabama,"('jobs in talladega county alabama', 'jobs in talladega alabama')",jobs in talladega county alabama,jobs in talladega alabama,2,1,google,2025-10-29 01:54:30.227047,,jobs in talladega alabama
14,jobs in talladega alabama,"('manufacturing jobs in talladega alabama', 'manufacturing jobs in tallahassee fl')",manufacturing jobs in talladega alabama,manufacturing jobs in tallahassee fl,1,1,google,2025-10-29 01:54:31.305810,,jobs in talladega alabama
15,jobs in talladega alabama,"('manufacturing jobs in talladega alabama', 'talladega jobs hiring')",manufacturing jobs in talladega alabama,talladega jobs hiring,2,1,google,2025-10-29 01:54:31.305810,,jobs in talladega alabama
16,jobs in talladega alabama,"('manufacturing jobs in talladega alabama', 'manufacturing plants in tallassee al')",manufacturing jobs in talladega alabama,manufacturing plants in tallassee al,3,1,google,2025-10-29 01:54:31.305810,,jobs in talladega alabama
17,jobs in talladega alabama,"('manufacturing jobs in talladega alabama', 'talladega alabama jobs')",manufacturing jobs in talladega alabama,talladega alabama jobs,4,1,google,2025-10-29 01:54:31.305810,,jobs in talladega alabama
18,jobs in talladega alabama,"('manufacturing jobs in talladega alabama', 'talladega job openings')",manufacturing jobs in talladega alabama,talladega job openings,5,1,google,2025-10-29 01:54:31.305810,,jobs in talladega alabama
19,jobs in talladega alabama,"('part time jobs in talladega alabama', 'full time jobs in talladega alabama')",part time jobs in talladega alabama,full time jobs in talladega alabama,1,1,google,2025-10-29 01:54:32.391939,,jobs in talladega alabama
20,jobs in talladega alabama,"('part time jobs in talladega alabama', 'part time jobs near talladega al')",part time jobs in talladega alabama,part time jobs near talladega al,2,1,google,2025-10-29 01:54:32.391939,,jobs in talladega alabama
21,jobs in talladega alabama,"('part time jobs in talladega alabama', 'full time jobs near talladega al')",part time jobs in talladega alabama,full time jobs near talladega al,3,1,google,2025-10-29 01:54:32.391939,,jobs in talladega alabama
22,jobs in talladega alabama,"('part time jobs in talladega alabama', 'talladega alabama jobs')",part time jobs in talladega alabama,talladega alabama jobs,4,1,google,2025-10-29 01:54:32.391939,,jobs in talladega alabama
23,jobs in talladega alabama,"('part time jobs in talladega alabama', 'part time jobs in tallassee al')",part time jobs in talladega alabama,part time jobs in tallassee al,5,1,google,2025-10-29 01:54:32.391939,,jobs in talladega alabama
24,jobs in talladega alabama,"('full time jobs in talladega alabama', 'part time jobs in talladega alabama')",full time jobs in talladega alabama,part time jobs in talladega alabama,1,1,google,2025-10-29 01:54:33.199782,,jobs in talladega alabama
25,jobs in talladega alabama,"('full time jobs in talladega alabama', 'full time jobs near talladega al')",full time jobs in talladega alabama,full time jobs near talladega al,2,1,google,2025-10-29 01:54:33.199782,,jobs in talladega alabama
26,jobs in talladega alabama,"('full time jobs in talladega alabama', 'part time jobs near talladega al')",full time jobs in talladega alabama,part time jobs near talladega al,3,1,google,2025-10-29 01:54:33.199782,,jobs in talladega alabama
27,jobs in talladega alabama,"('full time jobs in talladega alabama', 'talladega alabama jobs')",full time jobs in talladega alabama,talladega alabama jobs,4,1,google,2025-10-29 01:54:33.199782,,jobs in talladega alabama
28,jobs in talladega alabama,"('full time jobs in talladega alabama', 'talladega jobs hiring')",full time jobs in talladega alabama,talladega jobs hiring,5,1,google,2025-10-29 01:54:33.199782,,jobs in talladega alabama
29,jobs in talladega alabama,"('full time jobs in talladega alabama', 'talladega jobs')",full time jobs in talladega alabama,talladega jobs,6,1,google,2025-10-29 01:54:33.199782,,jobs in talladega alabama
