,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in tallassee alabama,"('jobs in tallassee alabama', 'jobs hiring in tallassee alabama')",jobs in tallassee alabama,jobs hiring in tallassee alabama,1,0,google,2025-10-29 14:47:40.392728,,
1,jobs in tallassee alabama,"('jobs in tallassee alabama', 'warehouse jobs in tallassee al')",jobs in tallassee alabama,warehouse jobs in tallassee al,2,0,google,2025-10-29 14:47:40.392728,,
2,jobs in tallassee alabama,"('jobs in tallassee alabama', 'office jobs in tallassee al')",jobs in tallassee alabama,office jobs in tallassee al,3,0,google,2025-10-29 14:47:40.392728,,
3,jobs in tallassee alabama,"('jobs in tallassee alabama', 'plant jobs in tallassee al')",jobs in tallassee alabama,plant jobs in tallassee al,4,0,google,2025-10-29 14:47:40.392728,,
4,jobs in tallassee alabama,"('jobs in tallassee alabama', 'jobs in tallassee al')",jobs in tallassee alabama,jobs in tallassee al,5,0,google,2025-10-29 14:47:40.392728,,
5,jobs in tallassee alabama,"('jobs hiring in tallassee alabama', 'jobs near tallassee alabama')",jobs hiring in tallassee alabama,jobs near tallassee alabama,1,1,google,2025-10-29 14:47:41.346583,,jobs in tallassee alabama
6,jobs in tallassee alabama,"('jobs hiring in tallassee alabama', 'jobs hiring tallassee al')",jobs hiring in tallassee alabama,jobs hiring tallassee al,2,1,google,2025-10-29 14:47:41.346583,,jobs in tallassee alabama
7,jobs in tallassee alabama,"('jobs hiring in tallassee alabama', 'jobs in tallassee al')",jobs hiring in tallassee alabama,jobs in tallassee al,3,1,google,2025-10-29 14:47:41.346583,,jobs in tallassee alabama
8,jobs in tallassee alabama,"('warehouse jobs in tallassee al', 'warehouse jobs in tallahassee fl')",warehouse jobs in tallassee al,warehouse jobs in tallahassee fl,1,1,google,2025-10-29 14:47:42.660388,,jobs in tallassee alabama
9,jobs in tallassee alabama,"('warehouse jobs in tallassee al', 'warehouse jobs in tallahassee florida')",warehouse jobs in tallassee al,warehouse jobs in tallahassee florida,2,1,google,2025-10-29 14:47:42.660388,,jobs in tallassee alabama
10,jobs in tallassee alabama,"('warehouse jobs in tallassee al', 'warehouse jobs in tallahassee')",warehouse jobs in tallassee al,warehouse jobs in tallahassee,3,1,google,2025-10-29 14:47:42.660388,,jobs in tallassee alabama
11,jobs in tallassee alabama,"('warehouse jobs in tallassee al', 'warehouse jobs in tarrant alabama')",warehouse jobs in tallassee al,warehouse jobs in tarrant alabama,4,1,google,2025-10-29 14:47:42.660388,,jobs in tallassee alabama
12,jobs in tallassee alabama,"('office jobs in tallassee al', 'office jobs in tallahassee fl')",office jobs in tallassee al,office jobs in tallahassee fl,1,1,google,2025-10-29 14:47:43.687697,,jobs in tallassee alabama
13,jobs in tallassee alabama,"('office jobs in tallassee al', 'office jobs in tallahassee')",office jobs in tallassee al,office jobs in tallahassee,2,1,google,2025-10-29 14:47:43.687697,,jobs in tallassee alabama
14,jobs in tallassee alabama,"('office jobs in tallassee al', 'jobs in tallassee alabama')",office jobs in tallassee al,jobs in tallassee alabama,3,1,google,2025-10-29 14:47:43.687697,,jobs in tallassee alabama
15,jobs in tallassee alabama,"('office jobs in tallassee al', 'jobs in tallassee al')",office jobs in tallassee al,jobs in tallassee al,4,1,google,2025-10-29 14:47:43.687697,,jobs in tallassee alabama
16,jobs in tallassee alabama,"('plant jobs in tallassee al', 'manufacturing jobs tallassee al')",plant jobs in tallassee al,manufacturing jobs tallassee al,1,1,google,2025-10-29 14:47:44.602185,,jobs in tallassee alabama
17,jobs in tallassee alabama,"('plant jobs in tallassee al', 'plants to work at')",plant jobs in tallassee al,plants to work at,2,1,google,2025-10-29 14:47:44.602185,,jobs in tallassee alabama
18,jobs in tallassee alabama,"('plant jobs in tallassee al', 'plants in tallassee al')",plant jobs in tallassee al,plants in tallassee al,3,1,google,2025-10-29 14:47:44.602185,,jobs in tallassee alabama
19,jobs in tallassee alabama,"('plant jobs in tallassee al', 'plant jobs in tuscaloosa al')",plant jobs in tallassee al,plant jobs in tuscaloosa al,4,1,google,2025-10-29 14:47:44.602185,,jobs in tallassee alabama
20,jobs in tallassee alabama,"('plant jobs in tallassee al', 'tallassee al jobs')",plant jobs in tallassee al,tallassee al jobs,5,1,google,2025-10-29 14:47:44.602185,,jobs in tallassee alabama
21,jobs in tallassee alabama,"('plant jobs in tallassee al', 'tallassee alabama jobs')",plant jobs in tallassee al,tallassee alabama jobs,6,1,google,2025-10-29 14:47:44.602185,,jobs in tallassee alabama
22,jobs in tallassee alabama,"('jobs in tallassee al', 'hiring in tallassee al')",jobs in tallassee al,hiring in tallassee al,1,1,google,2025-10-29 14:47:45.853208,,jobs in tallassee alabama
23,jobs in tallassee alabama,"('jobs in tallassee al', 'jobs hiring in tallassee al')",jobs in tallassee al,jobs hiring in tallassee al,2,1,google,2025-10-29 14:47:45.853208,,jobs in tallassee alabama
24,jobs in tallassee alabama,"('jobs in tallassee al', 'warehouse jobs in tallassee al')",jobs in tallassee al,warehouse jobs in tallassee al,3,1,google,2025-10-29 14:47:45.853208,,jobs in tallassee alabama
25,jobs in tallassee alabama,"('jobs in tallassee al', 'office jobs in tallassee al')",jobs in tallassee al,office jobs in tallassee al,4,1,google,2025-10-29 14:47:45.853208,,jobs in tallassee alabama
26,jobs in tallassee alabama,"('jobs in tallassee al', 'plant jobs in tallassee al')",jobs in tallassee al,plant jobs in tallassee al,5,1,google,2025-10-29 14:47:45.853208,,jobs in tallassee alabama
27,jobs in tallassee alabama,"('jobs in tallassee al', 'part time jobs in tallassee al')",jobs in tallassee al,part time jobs in tallassee al,6,1,google,2025-10-29 14:47:45.853208,,jobs in tallassee alabama
28,jobs in tallassee alabama,"('jobs in tallassee al', 'full time jobs in tallassee al')",jobs in tallassee al,full time jobs in tallassee al,7,1,google,2025-10-29 14:47:45.853208,,jobs in tallassee alabama
29,jobs in tallassee alabama,"('jobs in tallassee al', 'jobs in tallassee alabama')",jobs in tallassee al,jobs in tallassee alabama,8,1,google,2025-10-29 14:47:45.853208,,jobs in tallassee alabama
30,jobs in tallassee alabama,"('jobs near tallassee alabama', 'jobs hiring near tallassee al')",jobs near tallassee alabama,jobs hiring near tallassee al,1,2,google,2025-10-29 14:47:46.618928,jobs in tallassee alabama,jobs hiring in tallassee alabama
31,jobs in tallassee alabama,"('jobs near tallassee alabama', 'jobs near tallassee al')",jobs near tallassee alabama,jobs near tallassee al,2,2,google,2025-10-29 14:47:46.618928,jobs in tallassee alabama,jobs hiring in tallassee alabama
32,jobs in tallassee alabama,"('jobs hiring tallassee al', 'jobs in tallassee al')",jobs hiring tallassee al,jobs in tallassee al,1,2,google,2025-10-29 14:47:47.437830,jobs in tallassee alabama,jobs hiring in tallassee alabama
