,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in tanacross alaska,"('jobs in tanacross alaska', 'jobs in tanacross alaska area')",jobs in tanacross alaska,jobs in tanacross alaska area,1,0,google,2025-10-28 16:57:10.825515,,
1,jobs in tanacross alaska,"('jobs in tanacross alaska', 'jobs in tanacross alaska 2024')",jobs in tanacross alaska,jobs in tanacross alaska 2024,2,0,google,2025-10-28 16:57:10.825515,,
2,jobs in tanacross alaska,"('jobs in tanacross alaska', 'jobs in tanacross alaska full time')",jobs in tanacross alaska,jobs in tanacross alaska full time,3,0,google,2025-10-28 16:57:10.825515,,
3,jobs in tanacross alaska,"('jobs in tanacross alaska', 'jobs in tanacross alaska hiring')",jobs in tanacross alaska,jobs in tanacross alaska hiring,4,0,google,2025-10-28 16:57:10.825515,,
4,jobs in tanacross alaska,"('jobs in tanacross alaska', 'jobs in tanacross alaska 2023')",jobs in tanacross alaska,jobs in tanacross alaska 2023,5,0,google,2025-10-28 16:57:10.825515,,
5,jobs in tanacross alaska,"('jobs in tanacross alaska', 'jobs in tanacross alaska race track')",jobs in tanacross alaska,jobs in tanacross alaska race track,6,0,google,2025-10-28 16:57:10.825515,,
6,jobs in tanacross alaska,"('jobs in tanacross alaska area', 'jobs in tanacross alaska area alaska')",jobs in tanacross alaska area,jobs in tanacross alaska area alaska,1,1,google,2025-10-28 16:57:11.725183,,jobs in tanacross alaska
7,jobs in tanacross alaska,"('jobs in tanacross alaska area', 'jobs in tanacross alaska area 2024')",jobs in tanacross alaska area,jobs in tanacross alaska area 2024,2,1,google,2025-10-28 16:57:11.725183,,jobs in tanacross alaska
8,jobs in tanacross alaska,"('jobs in tanacross alaska area', 'jobs in tanacross alaska areas')",jobs in tanacross alaska area,jobs in tanacross alaska areas,3,1,google,2025-10-28 16:57:11.725183,,jobs in tanacross alaska
9,jobs in tanacross alaska,"('jobs in tanacross alaska area', 'jobs in tanacross alaska area hiring')",jobs in tanacross alaska area,jobs in tanacross alaska area hiring,4,1,google,2025-10-28 16:57:11.725183,,jobs in tanacross alaska
10,jobs in tanacross alaska,"('jobs in tanacross alaska area', 'jobs in tanacross alaska area 2023')",jobs in tanacross alaska area,jobs in tanacross alaska area 2023,5,1,google,2025-10-28 16:57:11.725183,,jobs in tanacross alaska
