,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in theodore alabama,"('jobs in theodore alabama', 'jobs hiring in theodore alabama')",jobs in theodore alabama,jobs hiring in theodore alabama,1,0,google,2025-10-29 14:49:24.428421,,
1,jobs in theodore alabama,"('jobs in theodore alabama', 'amazon jobs in theodore alabama')",jobs in theodore alabama,amazon jobs in theodore alabama,2,0,google,2025-10-29 14:49:24.428421,,
2,jobs in theodore alabama,"('jobs in theodore alabama', 'warehouse jobs in theodore al')",jobs in theodore alabama,warehouse jobs in theodore al,3,0,google,2025-10-29 14:49:24.428421,,
3,jobs in theodore alabama,"('jobs in theodore alabama', 'jobs in theodore al')",jobs in theodore alabama,jobs in theodore al,4,0,google,2025-10-29 14:49:24.428421,,
4,jobs in theodore alabama,"('jobs hiring in theodore alabama', 'jobs near theodore alabama')",jobs hiring in theodore alabama,jobs near theodore alabama,1,1,google,2025-10-29 14:49:25.858556,,jobs in theodore alabama
5,jobs in theodore alabama,"('jobs hiring in theodore alabama', 'jobs hiring near theodore al')",jobs hiring in theodore alabama,jobs hiring near theodore al,2,1,google,2025-10-29 14:49:25.858556,,jobs in theodore alabama
6,jobs in theodore alabama,"('jobs hiring in theodore alabama', 'jobs in theodore al')",jobs hiring in theodore alabama,jobs in theodore al,3,1,google,2025-10-29 14:49:25.858556,,jobs in theodore alabama
7,jobs in theodore alabama,"('amazon jobs in theodore alabama', 'amazon warehouse jobs theodore alabama')",amazon jobs in theodore alabama,amazon warehouse jobs theodore alabama,1,1,google,2025-10-29 14:49:26.789309,,jobs in theodore alabama
8,jobs in theodore alabama,"('amazon jobs in theodore alabama', 'amazon jobs near theodore al')",amazon jobs in theodore alabama,amazon jobs near theodore al,2,1,google,2025-10-29 14:49:26.789309,,jobs in theodore alabama
9,jobs in theodore alabama,"('warehouse jobs in theodore al', 'warehouse jobs in mobile al')",warehouse jobs in theodore al,warehouse jobs in mobile al,1,1,google,2025-10-29 14:49:27.701332,,jobs in theodore alabama
10,jobs in theodore alabama,"('warehouse jobs in theodore al', 'warehouse jobs theodore al no experience')",warehouse jobs in theodore al,warehouse jobs theodore al no experience,2,1,google,2025-10-29 14:49:27.701332,,jobs in theodore alabama
11,jobs in theodore alabama,"('warehouse jobs in theodore al', 'warehouse jobs hiring in mobile alabama')",warehouse jobs in theodore al,warehouse jobs hiring in mobile alabama,3,1,google,2025-10-29 14:49:27.701332,,jobs in theodore alabama
12,jobs in theodore alabama,"('warehouse jobs in theodore al', 'amazon warehouse jobs in mobile al')",warehouse jobs in theodore al,amazon warehouse jobs in mobile al,4,1,google,2025-10-29 14:49:27.701332,,jobs in theodore alabama
13,jobs in theodore alabama,"('warehouse jobs in theodore al', 'warehouse jobs mobile al no experience')",warehouse jobs in theodore al,warehouse jobs mobile al no experience,5,1,google,2025-10-29 14:49:27.701332,,jobs in theodore alabama
14,jobs in theodore alabama,"('warehouse jobs in theodore al', 'amazon warehouse jobs theodore al')",warehouse jobs in theodore al,amazon warehouse jobs theodore al,6,1,google,2025-10-29 14:49:27.701332,,jobs in theodore alabama
15,jobs in theodore alabama,"('warehouse jobs in theodore al', 'amazon warehouse jobs theodore alabama')",warehouse jobs in theodore al,amazon warehouse jobs theodore alabama,7,1,google,2025-10-29 14:49:27.701332,,jobs in theodore alabama
16,jobs in theodore alabama,"('warehouse jobs in theodore al', 'distribution center jobs mobile al')",warehouse jobs in theodore al,distribution center jobs mobile al,8,1,google,2025-10-29 14:49:27.701332,,jobs in theodore alabama
17,jobs in theodore alabama,"('warehouse jobs in theodore al', 'warehouse in theodore al')",warehouse jobs in theodore al,warehouse in theodore al,9,1,google,2025-10-29 14:49:27.701332,,jobs in theodore alabama
18,jobs in theodore alabama,"('jobs in theodore al', 'jobs in theodore alabama')",jobs in theodore al,jobs in theodore alabama,1,1,google,2025-10-29 14:49:28.848715,,jobs in theodore alabama
19,jobs in theodore alabama,"('jobs in theodore al', 'jobs in mobile al')",jobs in theodore al,jobs in mobile al,2,1,google,2025-10-29 14:49:28.848715,,jobs in theodore alabama
