,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in thomasville alabama,"('jobs in thomasville alabama', 'jobs in thomasville al no degree')",jobs in thomasville alabama,jobs in thomasville al no degree,1,0,google,2025-10-29 14:51:42.762576,,
1,jobs in thomasville alabama,"('jobs in thomasville alabama', 'jobs hiring in thomasville alabama')",jobs in thomasville alabama,jobs hiring in thomasville alabama,2,0,google,2025-10-29 14:51:42.762576,,
2,jobs in thomasville alabama,"('jobs in thomasville alabama', 'jobs in thomasville al in the last 3 days')",jobs in thomasville alabama,jobs in thomasville al in the last 3 days,3,0,google,2025-10-29 14:51:42.762576,,
3,jobs in thomasville alabama,"('jobs in thomasville alabama', 'indeed jobs in thomasville al')",jobs in thomasville alabama,indeed jobs in thomasville al,4,0,google,2025-10-29 14:51:42.762576,,
4,jobs in thomasville alabama,"('jobs in thomasville alabama', 'jobs in thomasville al')",jobs in thomasville alabama,jobs in thomasville al,5,0,google,2025-10-29 14:51:42.762576,,
5,jobs in thomasville alabama,"('jobs in thomasville al no degree', 'jobs in thomasville alabama')",jobs in thomasville al no degree,jobs in thomasville alabama,1,1,google,2025-10-29 14:51:43.986581,,jobs in thomasville alabama
6,jobs in thomasville alabama,"('jobs in thomasville al no degree', 'jobs in thomasville al')",jobs in thomasville al no degree,jobs in thomasville al,2,1,google,2025-10-29 14:51:43.986581,,jobs in thomasville alabama
7,jobs in thomasville alabama,"('jobs in thomasville al no degree', 'thomasville al jobs hiring')",jobs in thomasville al no degree,thomasville al jobs hiring,3,1,google,2025-10-29 14:51:43.986581,,jobs in thomasville alabama
8,jobs in thomasville alabama,"('jobs hiring in thomasville alabama', 'jobs available in thomasville al')",jobs hiring in thomasville alabama,jobs available in thomasville al,1,1,google,2025-10-29 14:51:45.373151,,jobs in thomasville alabama
9,jobs in thomasville alabama,"('jobs hiring in thomasville alabama', 'job openings in thomasville al')",jobs hiring in thomasville alabama,job openings in thomasville al,2,1,google,2025-10-29 14:51:45.373151,,jobs in thomasville alabama
10,jobs in thomasville alabama,"('jobs hiring in thomasville alabama', 'jobs near thomasville alabama')",jobs hiring in thomasville alabama,jobs near thomasville alabama,3,1,google,2025-10-29 14:51:45.373151,,jobs in thomasville alabama
11,jobs in thomasville alabama,"('jobs hiring in thomasville alabama', 'jobs hiring near thomasville al')",jobs hiring in thomasville alabama,jobs hiring near thomasville al,4,1,google,2025-10-29 14:51:45.373151,,jobs in thomasville alabama
12,jobs in thomasville alabama,"('jobs hiring in thomasville alabama', 'jobs hiring in thomasville ga')",jobs hiring in thomasville alabama,jobs hiring in thomasville ga,5,1,google,2025-10-29 14:51:45.373151,,jobs in thomasville alabama
13,jobs in thomasville alabama,"('jobs in thomasville al in the last 3 days', 'thomasville al jobs')",jobs in thomasville al in the last 3 days,thomasville al jobs,1,1,google,2025-10-29 14:51:46.830787,,jobs in thomasville alabama
14,jobs in thomasville alabama,"('jobs in thomasville al in the last 3 days', 'thomasville al jobs hiring')",jobs in thomasville al in the last 3 days,thomasville al jobs hiring,2,1,google,2025-10-29 14:51:46.830787,,jobs in thomasville alabama
15,jobs in thomasville alabama,"('jobs in thomasville al in the last 3 days', 'jobs in thomasville alabama')",jobs in thomasville al in the last 3 days,jobs in thomasville alabama,3,1,google,2025-10-29 14:51:46.830787,,jobs in thomasville alabama
16,jobs in thomasville alabama,"('indeed jobs in thomasville al', 'indeed jobs thomasville al full time')",indeed jobs in thomasville al,indeed jobs thomasville al full time,1,1,google,2025-10-29 14:51:47.874633,,jobs in thomasville alabama
17,jobs in thomasville alabama,"('indeed jobs in thomasville al', 'indeed thomasville al')",indeed jobs in thomasville al,indeed thomasville al,2,1,google,2025-10-29 14:51:47.874633,,jobs in thomasville alabama
18,jobs in thomasville alabama,"('indeed jobs in thomasville al', 'indeed jobs in thomasville ga')",indeed jobs in thomasville al,indeed jobs in thomasville ga,3,1,google,2025-10-29 14:51:47.874633,,jobs in thomasville alabama
19,jobs in thomasville alabama,"('indeed jobs in thomasville al', 'indeed jobs thomasville georgia')",indeed jobs in thomasville al,indeed jobs thomasville georgia,4,1,google,2025-10-29 14:51:47.874633,,jobs in thomasville alabama
20,jobs in thomasville alabama,"('jobs in thomasville al', 'jobs in thomasville alabama')",jobs in thomasville al,jobs in thomasville alabama,1,1,google,2025-10-29 14:51:48.684639,,jobs in thomasville alabama
21,jobs in thomasville alabama,"('jobs in thomasville al', 'jobs in thomasville al no degree')",jobs in thomasville al,jobs in thomasville al no degree,2,1,google,2025-10-29 14:51:48.684639,,jobs in thomasville alabama
22,jobs in thomasville alabama,"('jobs in thomasville al', 'hiring in thomasville al')",jobs in thomasville al,hiring in thomasville al,3,1,google,2025-10-29 14:51:48.684639,,jobs in thomasville alabama
23,jobs in thomasville alabama,"('jobs in thomasville al', 'jobs hiring in thomasville al')",jobs in thomasville al,jobs hiring in thomasville al,4,1,google,2025-10-29 14:51:48.684639,,jobs in thomasville alabama
