,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in toney alabama,"('jobs in toney alabama', 'jobs in harvest alabama')",jobs in toney alabama,jobs in harvest alabama,1,0,google,2025-10-29 14:52:53.933809,,
1,jobs in toney alabama,"('jobs in toney alabama', 'jobs hiring in toney al')",jobs in toney alabama,jobs hiring in toney al,2,0,google,2025-10-29 14:52:53.933809,,
2,jobs in toney alabama,"('jobs in toney alabama', 'jobs in toney al')",jobs in toney alabama,jobs in toney al,3,0,google,2025-10-29 14:52:53.933809,,
3,jobs in toney alabama,"('jobs in toney alabama', 'directions to toney alabama')",jobs in toney alabama,directions to toney alabama,4,0,google,2025-10-29 14:52:53.933809,,
4,jobs in toney alabama,"('jobs in toney alabama', 'where is toney alabama')",jobs in toney alabama,where is toney alabama,5,0,google,2025-10-29 14:52:53.933809,,
5,jobs in toney alabama,"('jobs in toney alabama', 'jobs in town creek alabama')",jobs in toney alabama,jobs in town creek alabama,6,0,google,2025-10-29 14:52:53.933809,,
6,jobs in toney alabama,"('jobs in toney alabama', 'jobs in troy alabama')",jobs in toney alabama,jobs in troy alabama,7,0,google,2025-10-29 14:52:53.933809,,
7,jobs in toney alabama,"('jobs in harvest alabama', 'jobs hiring in harvest al')",jobs in harvest alabama,jobs hiring in harvest al,1,1,google,2025-10-29 14:52:55.246534,,jobs in toney alabama
8,jobs in toney alabama,"('jobs in harvest alabama', 'fruit harvest jobs')",jobs in harvest alabama,fruit harvest jobs,2,1,google,2025-10-29 14:52:55.246534,,jobs in toney alabama
9,jobs in toney alabama,"('jobs in harvest alabama', 'jobs in harvest al')",jobs in harvest alabama,jobs in harvest al,3,1,google,2025-10-29 14:52:55.246534,,jobs in toney alabama
10,jobs in toney alabama,"('jobs hiring in toney al', 'jobs near toney al')",jobs hiring in toney al,jobs near toney al,1,1,google,2025-10-29 14:52:56.504086,,jobs in toney alabama
11,jobs in toney alabama,"('jobs hiring in toney al', 'jobs in toney alabama')",jobs hiring in toney al,jobs in toney alabama,2,1,google,2025-10-29 14:52:56.504086,,jobs in toney alabama
12,jobs in toney alabama,"('jobs hiring in toney al', 'jobs hiring in townsend tn')",jobs hiring in toney al,jobs hiring in townsend tn,3,1,google,2025-10-29 14:52:56.504086,,jobs in toney alabama
13,jobs in toney alabama,"('jobs hiring in toney al', 'jobs hiring in alliance town center')",jobs hiring in toney al,jobs hiring in alliance town center,4,1,google,2025-10-29 14:52:56.504086,,jobs in toney alabama
14,jobs in toney alabama,"('jobs hiring in toney al', 'jobs hiring in troy alabama')",jobs hiring in toney al,jobs hiring in troy alabama,5,1,google,2025-10-29 14:52:56.504086,,jobs in toney alabama
15,jobs in toney alabama,"('jobs in toney al', 'jobs in toney alabama')",jobs in toney al,jobs in toney alabama,1,1,google,2025-10-29 14:52:57.387798,,jobs in toney alabama
16,jobs in toney alabama,"('jobs in toney al', 'jobs hiring in toney al')",jobs in toney al,jobs hiring in toney al,2,1,google,2025-10-29 14:52:57.387798,,jobs in toney alabama
17,jobs in toney alabama,"('jobs in toney al', 'jobs near toney al')",jobs in toney al,jobs near toney al,3,1,google,2025-10-29 14:52:57.387798,,jobs in toney alabama
18,jobs in toney alabama,"('jobs in toney al', 'jobs in toone tn')",jobs in toney al,jobs in toone tn,4,1,google,2025-10-29 14:52:57.387798,,jobs in toney alabama
19,jobs in toney alabama,"('jobs in toney al', 'jobs in alliance town center')",jobs in toney al,jobs in alliance town center,5,1,google,2025-10-29 14:52:57.387798,,jobs in toney alabama
20,jobs in toney alabama,"('jobs in toney al', 'jobs in tontitown ar')",jobs in toney al,jobs in tontitown ar,6,1,google,2025-10-29 14:52:57.387798,,jobs in toney alabama
21,jobs in toney alabama,"('directions to toney alabama', 'directions to toney alabama from my location')",directions to toney alabama,directions to toney alabama from my location,1,1,google,2025-10-29 14:52:58.310320,,jobs in toney alabama
22,jobs in toney alabama,"('directions to toney alabama', 'directions to harvest alabama')",directions to toney alabama,directions to harvest alabama,2,1,google,2025-10-29 14:52:58.310320,,jobs in toney alabama
23,jobs in toney alabama,"('directions to toney alabama', 'directions to harvest alabama from my location')",directions to toney alabama,directions to harvest alabama from my location,3,1,google,2025-10-29 14:52:58.310320,,jobs in toney alabama
24,jobs in toney alabama,"('directions to toney alabama', 'driving directions to toney alabama')",directions to toney alabama,driving directions to toney alabama,4,1,google,2025-10-29 14:52:58.310320,,jobs in toney alabama
25,jobs in toney alabama,"('directions to toney alabama', 'driving directions to harvest alabama')",directions to toney alabama,driving directions to harvest alabama,5,1,google,2025-10-29 14:52:58.310320,,jobs in toney alabama
