,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in tontitown arkansas,"('jobs in tontitown arkansas', 'jobs in tontitown ar')",jobs in tontitown arkansas,jobs in tontitown ar,1,0,google,2025-11-01 19:18:13.278430,,
1,jobs in tontitown arkansas,"('jobs in tontitown arkansas', 'tontitown jobs')",jobs in tontitown arkansas,tontitown jobs,2,0,google,2025-11-01 19:18:13.278430,,
2,jobs in tontitown arkansas,"('jobs in tontitown ar', 'jobs in springdale ar')",jobs in tontitown ar,jobs in springdale ar,1,1,google,2025-11-01 19:18:14.676829,,jobs in tontitown arkansas
3,jobs in tontitown arkansas,"('jobs in tontitown ar', 'jobs in springdale ar no degree')",jobs in tontitown ar,jobs in springdale ar no degree,2,1,google,2025-11-01 19:18:14.676829,,jobs in tontitown arkansas
4,jobs in tontitown arkansas,"('jobs in tontitown ar', 'jobs in springdale ar full time')",jobs in tontitown ar,jobs in springdale ar full time,3,1,google,2025-11-01 19:18:14.676829,,jobs in tontitown arkansas
5,jobs in tontitown arkansas,"('jobs in tontitown ar', 'jobs in springdale ar part time')",jobs in tontitown ar,jobs in springdale ar part time,4,1,google,2025-11-01 19:18:14.676829,,jobs in tontitown arkansas
6,jobs in tontitown arkansas,"('jobs in tontitown ar', 'jobs hiring in springdale ar')",jobs in tontitown ar,jobs hiring in springdale ar,5,1,google,2025-11-01 19:18:14.676829,,jobs in tontitown arkansas
7,jobs in tontitown arkansas,"('jobs in tontitown ar', 'welding jobs in springdale ar')",jobs in tontitown ar,welding jobs in springdale ar,6,1,google,2025-11-01 19:18:14.676829,,jobs in tontitown arkansas
8,jobs in tontitown arkansas,"('jobs in tontitown ar', 'warehouse jobs in springdale ar')",jobs in tontitown ar,warehouse jobs in springdale ar,7,1,google,2025-11-01 19:18:14.676829,,jobs in tontitown arkansas
9,jobs in tontitown arkansas,"('jobs in tontitown ar', 'indeed jobs in springdale ar')",jobs in tontitown ar,indeed jobs in springdale ar,8,1,google,2025-11-01 19:18:14.676829,,jobs in tontitown arkansas
10,jobs in tontitown arkansas,"('jobs in tontitown ar', 'jobs available in springdale ar')",jobs in tontitown ar,jobs available in springdale ar,9,1,google,2025-11-01 19:18:14.676829,,jobs in tontitown arkansas
11,jobs in tontitown arkansas,"('tontitown jobs', 'jobs tontitown ar')",tontitown jobs,jobs tontitown ar,1,1,google,2025-11-01 19:18:15.692467,,jobs in tontitown arkansas
12,jobs in tontitown arkansas,"('tontitown jobs', 'tontitown city jobs')",tontitown jobs,tontitown city jobs,2,1,google,2025-11-01 19:18:15.692467,,jobs in tontitown arkansas
13,jobs in tontitown arkansas,"('tontitown jobs', 'tonti jobs')",tontitown jobs,tonti jobs,3,1,google,2025-11-01 19:18:15.692467,,jobs in tontitown arkansas
14,jobs in tontitown arkansas,"('jobs in springdale ar', 'jobs in springdale arkansas')",jobs in springdale ar,jobs in springdale arkansas,1,2,google,2025-11-01 19:18:16.659359,jobs in tontitown arkansas,jobs in tontitown ar
