,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in troy alabama,"('jobs in troy alabama', 'jobs in troy alabama part time')",jobs in troy alabama,jobs in troy alabama part time,1,0,google,2025-10-29 14:56:55.369631,,
1,jobs in troy alabama,"('jobs in troy alabama', 'jobs in troy alabama full time')",jobs in troy alabama,jobs in troy alabama full time,2,0,google,2025-10-29 14:56:55.369631,,
2,jobs in troy alabama,"('jobs in troy alabama', 'jobs in troy alabama no degree')",jobs in troy alabama,jobs in troy alabama no degree,3,0,google,2025-10-29 14:56:55.369631,,
3,jobs in troy alabama,"('jobs in troy alabama', 'jobs in troy alabama remote')",jobs in troy alabama,jobs in troy alabama remote,4,0,google,2025-10-29 14:56:55.369631,,
4,jobs in troy alabama,"('jobs in troy alabama', 'hiring in troy alabama')",jobs in troy alabama,hiring in troy alabama,5,0,google,2025-10-29 14:56:55.369631,,
5,jobs in troy alabama,"('jobs in troy alabama', 'jobs in troy al for college students')",jobs in troy alabama,jobs in troy al for college students,6,0,google,2025-10-29 14:56:55.369631,,
6,jobs in troy alabama,"('jobs in troy alabama', 'jobs in troy al part time')",jobs in troy alabama,jobs in troy al part time,7,0,google,2025-10-29 14:56:55.369631,,
7,jobs in troy alabama,"('jobs in troy alabama', 'jobs hiring in troy alabama')",jobs in troy alabama,jobs hiring in troy alabama,8,0,google,2025-10-29 14:56:55.369631,,
8,jobs in troy alabama,"('jobs in troy alabama', 'jobs in troy alabama in the last 3 days')",jobs in troy alabama,jobs in troy alabama in the last 3 days,9,0,google,2025-10-29 14:56:55.369631,,
9,jobs in troy alabama,"('jobs in troy alabama part time', 'jobs in troy al part time')",jobs in troy alabama part time,jobs in troy al part time,1,1,google,2025-10-29 14:56:56.830595,,jobs in troy alabama
10,jobs in troy alabama,"('jobs in troy alabama part time', 'jobs in troy alabama full time')",jobs in troy alabama part time,jobs in troy alabama full time,2,1,google,2025-10-29 14:56:56.830595,,jobs in troy alabama
11,jobs in troy alabama,"('jobs in troy alabama part time', 'jobs hiring in troy al part time')",jobs in troy alabama part time,jobs hiring in troy al part time,3,1,google,2025-10-29 14:56:56.830595,,jobs in troy alabama
12,jobs in troy alabama,"('jobs in troy alabama part time', 'jobs hiring troy al full time')",jobs in troy alabama part time,jobs hiring troy al full time,4,1,google,2025-10-29 14:56:56.830595,,jobs in troy alabama
13,jobs in troy alabama,"('jobs in troy alabama part time', 'indeed jobs troy al full time')",jobs in troy alabama part time,indeed jobs troy al full time,5,1,google,2025-10-29 14:56:56.830595,,jobs in troy alabama
14,jobs in troy alabama,"('jobs in troy alabama part time', 'jobs in troy al hiring')",jobs in troy alabama part time,jobs in troy al hiring,6,1,google,2025-10-29 14:56:56.830595,,jobs in troy alabama
15,jobs in troy alabama,"('jobs in troy alabama part time', 'troy alabama jobs')",jobs in troy alabama part time,troy alabama jobs,7,1,google,2025-10-29 14:56:56.830595,,jobs in troy alabama
