,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in trumann arkansas,"('jobs in trumann arkansas', 'jobs hiring in trumann arkansas')",jobs in trumann arkansas,jobs hiring in trumann arkansas,1,0,google,2025-10-30 01:14:26.261533,,
1,jobs in trumann arkansas,"('jobs in trumann arkansas', 'factory jobs in trumann arkansas')",jobs in trumann arkansas,factory jobs in trumann arkansas,2,0,google,2025-10-30 01:14:26.261533,,
2,jobs in trumann arkansas,"('jobs in trumann arkansas', 'part time jobs in trumann arkansas')",jobs in trumann arkansas,part time jobs in trumann arkansas,3,0,google,2025-10-30 01:14:26.261533,,
3,jobs in trumann arkansas,"('jobs in trumann arkansas', 'places hiring in trumann arkansas')",jobs in trumann arkansas,places hiring in trumann arkansas,4,0,google,2025-10-30 01:14:26.261533,,
4,jobs in trumann arkansas,"('jobs in trumann arkansas', 'jobs in trumann ar')",jobs in trumann arkansas,jobs in trumann ar,5,0,google,2025-10-30 01:14:26.261533,,
5,jobs in trumann arkansas,"('jobs in trumann arkansas', 'jobs in trumann')",jobs in trumann arkansas,jobs in trumann,6,0,google,2025-10-30 01:14:26.261533,,
6,jobs in trumann arkansas,"('jobs hiring in trumann arkansas', 'jobs near trumann arkansas')",jobs hiring in trumann arkansas,jobs near trumann arkansas,1,1,google,2025-10-30 01:14:27.394881,,jobs in trumann arkansas
7,jobs in trumann arkansas,"('jobs hiring in trumann arkansas', 'jobs hiring near trumann ar')",jobs hiring in trumann arkansas,jobs hiring near trumann ar,2,1,google,2025-10-30 01:14:27.394881,,jobs in trumann arkansas
8,jobs in trumann arkansas,"('jobs hiring in trumann arkansas', 'jobs in trumann ar')",jobs hiring in trumann arkansas,jobs in trumann ar,3,1,google,2025-10-30 01:14:27.394881,,jobs in trumann arkansas
9,jobs in trumann arkansas,"('jobs hiring in trumann arkansas', 'jobs in trumann')",jobs hiring in trumann arkansas,jobs in trumann,4,1,google,2025-10-30 01:14:27.394881,,jobs in trumann arkansas
