,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in tuscumbia alabama,"('jobs in tuscumbia alabama', 'jobs hiring in tuscumbia al')",jobs in tuscumbia alabama,jobs hiring in tuscumbia al,1,0,google,2025-10-29 15:05:35.796019,,
1,jobs in tuscumbia alabama,"('jobs in tuscumbia alabama', 'jobs in tuscumbia al')",jobs in tuscumbia alabama,jobs in tuscumbia al,2,0,google,2025-10-29 15:05:35.796019,,
2,jobs in tuscumbia alabama,"('jobs hiring in tuscumbia al', 'jobs hiring in sheffield al')",jobs hiring in tuscumbia al,jobs hiring in sheffield al,1,1,google,2025-10-29 15:05:37.024460,,jobs in tuscumbia alabama
3,jobs in tuscumbia alabama,"('jobs hiring in tuscumbia al', 'jobs near tuscumbia al')",jobs hiring in tuscumbia al,jobs near tuscumbia al,2,1,google,2025-10-29 15:05:37.024460,,jobs in tuscumbia alabama
4,jobs in tuscumbia alabama,"('jobs hiring in tuscumbia al', 'jobs near tuscumbia al since yesterday')",jobs hiring in tuscumbia al,jobs near tuscumbia al since yesterday,3,1,google,2025-10-29 15:05:37.024460,,jobs in tuscumbia alabama
5,jobs in tuscumbia alabama,"('jobs hiring in tuscumbia al', 'jobs near sheffield al')",jobs hiring in tuscumbia al,jobs near sheffield al,4,1,google,2025-10-29 15:05:37.024460,,jobs in tuscumbia alabama
6,jobs in tuscumbia alabama,"('jobs hiring in tuscumbia al', 'jobs hiring in tuscaloosa alabama')",jobs hiring in tuscumbia al,jobs hiring in tuscaloosa alabama,5,1,google,2025-10-29 15:05:37.024460,,jobs in tuscumbia alabama
7,jobs in tuscumbia alabama,"('jobs hiring in tuscumbia al', 'jobs hiring in tuscaloosa al')",jobs hiring in tuscumbia al,jobs hiring in tuscaloosa al,6,1,google,2025-10-29 15:05:37.024460,,jobs in tuscumbia alabama
8,jobs in tuscumbia alabama,"('jobs hiring in tuscumbia al', 'jobs in tuscumbia alabama')",jobs hiring in tuscumbia al,jobs in tuscumbia alabama,7,1,google,2025-10-29 15:05:37.024460,,jobs in tuscumbia alabama
9,jobs in tuscumbia alabama,"('jobs in tuscumbia al', 'jobs in sheffield al')",jobs in tuscumbia al,jobs in sheffield al,1,1,google,2025-10-29 15:05:38.469918,,jobs in tuscumbia alabama
10,jobs in tuscumbia alabama,"('jobs in tuscumbia al', 'jobs in sheffield aldi')",jobs in tuscumbia al,jobs in sheffield aldi,2,1,google,2025-10-29 15:05:38.469918,,jobs in tuscumbia alabama
