,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in vernon alabama,"('jobs in vernon alabama', 'jobs hiring vernon alabama')",jobs in vernon alabama,jobs hiring vernon alabama,1,0,google,2025-10-29 15:15:44.423449,,
1,jobs in vernon alabama,"('jobs in vernon alabama', 'jobs in mount vernon al')",jobs in vernon alabama,jobs in mount vernon al,2,0,google,2025-10-29 15:15:44.423449,,
2,jobs in vernon alabama,"('jobs in vernon alabama', 'jobs hiring in vernon al')",jobs in vernon alabama,jobs hiring in vernon al,3,0,google,2025-10-29 15:15:44.423449,,
3,jobs in vernon alabama,"('jobs in vernon alabama', 'jobs in vernon al')",jobs in vernon alabama,jobs in vernon al,4,0,google,2025-10-29 15:15:44.423449,,
4,jobs in vernon alabama,"('jobs hiring vernon alabama', 'jobs in vernon alabama')",jobs hiring vernon alabama,jobs in vernon alabama,1,1,google,2025-10-29 15:15:45.456988,,jobs in vernon alabama
5,jobs in vernon alabama,"('jobs hiring vernon alabama', 'jobs hiring in vernon al')",jobs hiring vernon alabama,jobs hiring in vernon al,2,1,google,2025-10-29 15:15:45.456988,,jobs in vernon alabama
6,jobs in vernon alabama,"('jobs hiring vernon alabama', 'jobs vernon al')",jobs hiring vernon alabama,jobs vernon al,3,1,google,2025-10-29 15:15:45.456988,,jobs in vernon alabama
7,jobs in vernon alabama,"('jobs in mount vernon al', 'jobs in mount vernon kentucky')",jobs in mount vernon al,jobs in mount vernon kentucky,1,1,google,2025-10-29 15:15:46.378555,,jobs in vernon alabama
8,jobs in vernon alabama,"('jobs in mount vernon al', 'jobs in mount vernon ga')",jobs in mount vernon al,jobs in mount vernon ga,2,1,google,2025-10-29 15:15:46.378555,,jobs in vernon alabama
9,jobs in vernon alabama,"('jobs in mount vernon al', 'jobs in mount vernon ky')",jobs in mount vernon al,jobs in mount vernon ky,3,1,google,2025-10-29 15:15:46.378555,,jobs in vernon alabama
10,jobs in vernon alabama,"('jobs in mount vernon al', 'jobs in mount vernon tx')",jobs in mount vernon al,jobs in mount vernon tx,4,1,google,2025-10-29 15:15:46.378555,,jobs in vernon alabama
11,jobs in vernon alabama,"('jobs hiring in vernon al', 'jobs hiring vernon alabama')",jobs hiring in vernon al,jobs hiring vernon alabama,1,1,google,2025-10-29 15:15:47.287443,,jobs in vernon alabama
12,jobs in vernon alabama,"('jobs hiring in vernon al', 'jobs near vernon al')",jobs hiring in vernon al,jobs near vernon al,2,1,google,2025-10-29 15:15:47.287443,,jobs in vernon alabama
13,jobs in vernon alabama,"('jobs hiring in vernon al', 'jobs in vernon alabama')",jobs hiring in vernon al,jobs in vernon alabama,3,1,google,2025-10-29 15:15:47.287443,,jobs in vernon alabama
14,jobs in vernon alabama,"('jobs hiring in vernon al', 'jobs hiring in vernon texas')",jobs hiring in vernon al,jobs hiring in vernon texas,4,1,google,2025-10-29 15:15:47.287443,,jobs in vernon alabama
