,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in vilonia arkansas,"('jobs in vilonia arkansas', 'jobs hiring in vilonia arkansas')",jobs in vilonia arkansas,jobs hiring in vilonia arkansas,1,0,google,2025-11-01 19:25:29.203987,,
1,jobs in vilonia arkansas,"('jobs in vilonia arkansas', 'jobs in vilonia ar')",jobs in vilonia arkansas,jobs in vilonia ar,2,0,google,2025-11-01 19:25:29.203987,,
2,jobs in vilonia arkansas,"('jobs in vilonia arkansas', 'jobs in vilonia')",jobs in vilonia arkansas,jobs in vilonia,3,0,google,2025-11-01 19:25:29.203987,,
3,jobs in vilonia arkansas,"('jobs hiring in vilonia arkansas', 'jobs in vilonia arkansas')",jobs hiring in vilonia arkansas,jobs in vilonia arkansas,1,1,google,2025-11-01 19:25:30.577418,,jobs in vilonia arkansas
4,jobs in vilonia arkansas,"('jobs hiring in vilonia arkansas', 'jobs in vilonia ar')",jobs hiring in vilonia arkansas,jobs in vilonia ar,2,1,google,2025-11-01 19:25:30.577418,,jobs in vilonia arkansas
5,jobs in vilonia arkansas,"('jobs hiring in vilonia arkansas', 'jobs in vilonia')",jobs hiring in vilonia arkansas,jobs in vilonia,3,1,google,2025-11-01 19:25:30.577418,,jobs in vilonia arkansas
6,jobs in vilonia arkansas,"('jobs in vilonia ar', 'jobs hiring in vilonia arkansas')",jobs in vilonia ar,jobs hiring in vilonia arkansas,1,1,google,2025-11-01 19:25:31.603333,,jobs in vilonia arkansas
7,jobs in vilonia arkansas,"('jobs in vilonia ar', 'jobs in vilonia')",jobs in vilonia ar,jobs in vilonia,2,1,google,2025-11-01 19:25:31.603333,,jobs in vilonia arkansas
8,jobs in vilonia arkansas,"('jobs in vilonia ar', 'jobs in vilonia arkansas')",jobs in vilonia ar,jobs in vilonia arkansas,3,1,google,2025-11-01 19:25:31.603333,,jobs in vilonia arkansas
9,jobs in vilonia arkansas,"('jobs in vilonia', 'jobs in vilonia ar')",jobs in vilonia,jobs in vilonia ar,1,1,google,2025-11-01 19:25:32.873550,,jobs in vilonia arkansas
10,jobs in vilonia arkansas,"('jobs in vilonia', 'jobs hiring in vilonia arkansas')",jobs in vilonia,jobs hiring in vilonia arkansas,2,1,google,2025-11-01 19:25:32.873550,,jobs in vilonia arkansas
11,jobs in vilonia arkansas,"('jobs in vilonia', 'jobs hiring in vilonia')",jobs in vilonia,jobs hiring in vilonia,3,1,google,2025-11-01 19:25:32.873550,,jobs in vilonia arkansas
12,jobs in vilonia arkansas,"('jobs in vilonia', 'jobs in vilonia arkansas')",jobs in vilonia,jobs in vilonia arkansas,4,1,google,2025-11-01 19:25:32.873550,,jobs in vilonia arkansas
13,jobs in vilonia arkansas,"('jobs in vilonia', 'jobs in volo')",jobs in vilonia,jobs in volo,5,1,google,2025-11-01 19:25:32.873550,,jobs in vilonia arkansas
14,jobs in vilonia arkansas,"('jobs hiring in vilonia', 'jobs hiring in vilonia arkansas')",jobs hiring in vilonia,jobs hiring in vilonia arkansas,1,2,google,2025-11-01 19:25:33.859877,jobs in vilonia arkansas,jobs in vilonia
15,jobs in vilonia arkansas,"('jobs hiring in vilonia', 'jobs near vilonia ar')",jobs hiring in vilonia,jobs near vilonia ar,2,2,google,2025-11-01 19:25:33.859877,jobs in vilonia arkansas,jobs in vilonia
16,jobs in vilonia arkansas,"('jobs hiring in vilonia', 'jobs hiring in villa park')",jobs hiring in vilonia,jobs hiring in villa park,3,2,google,2025-11-01 19:25:33.859877,jobs in vilonia arkansas,jobs in vilonia
17,jobs in vilonia arkansas,"('jobs hiring in vilonia', 'jobs in vilonia arkansas')",jobs hiring in vilonia,jobs in vilonia arkansas,4,2,google,2025-11-01 19:25:33.859877,jobs in vilonia arkansas,jobs in vilonia
18,jobs in vilonia arkansas,"('jobs hiring in vilonia', 'jobs hiring in vinings ga')",jobs hiring in vilonia,jobs hiring in vinings ga,5,2,google,2025-11-01 19:25:33.859877,jobs in vilonia arkansas,jobs in vilonia
