,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in vinemont alabama,"('jobs in vinemont alabama', 'jobs in cullman alabama')",jobs in vinemont alabama,jobs in cullman alabama,1,0,google,2025-10-29 15:17:04.878724,,
1,jobs in vinemont alabama,"('jobs in vinemont alabama', 'jobs in vinemont al')",jobs in vinemont alabama,jobs in vinemont al,2,0,google,2025-10-29 15:17:04.878724,,
2,jobs in vinemont alabama,"('jobs in vinemont alabama', 'jobs hiring in cullman alabama')",jobs in vinemont alabama,jobs hiring in cullman alabama,3,0,google,2025-10-29 15:17:04.878724,,
3,jobs in vinemont alabama,"('jobs in vinemont alabama', 'jobs available in cullman alabama')",jobs in vinemont alabama,jobs available in cullman alabama,4,0,google,2025-10-29 15:17:04.878724,,
4,jobs in vinemont alabama,"('jobs in vinemont alabama', 'welding jobs in cullman alabama')",jobs in vinemont alabama,welding jobs in cullman alabama,5,0,google,2025-10-29 15:17:04.878724,,
5,jobs in vinemont alabama,"('jobs in vinemont alabama', 'jobs in cullman county alabama')",jobs in vinemont alabama,jobs in cullman county alabama,6,0,google,2025-10-29 15:17:04.878724,,
6,jobs in vinemont alabama,"('jobs in vinemont alabama', 'security jobs in cullman alabama')",jobs in vinemont alabama,security jobs in cullman alabama,7,0,google,2025-10-29 15:17:04.878724,,
7,jobs in vinemont alabama,"('jobs in vinemont alabama', 'manufacturing jobs in cullman alabama')",jobs in vinemont alabama,manufacturing jobs in cullman alabama,8,0,google,2025-10-29 15:17:04.878724,,
8,jobs in vinemont alabama,"('jobs in vinemont alabama', 'factory jobs in cullman alabama')",jobs in vinemont alabama,factory jobs in cullman alabama,9,0,google,2025-10-29 15:17:04.878724,,
9,jobs in vinemont alabama,"('jobs in vinemont alabama', 'office jobs in cullman alabama')",jobs in vinemont alabama,office jobs in cullman alabama,10,0,google,2025-10-29 15:17:04.878724,,
10,jobs in vinemont alabama,"('jobs in cullman alabama', 'hiring in cullman alabama')",jobs in cullman alabama,hiring in cullman alabama,1,1,google,2025-10-29 15:17:06.006196,,jobs in vinemont alabama
11,jobs in vinemont alabama,"('jobs in cullman alabama', 'jobs in cullman al full time')",jobs in cullman alabama,jobs in cullman al full time,2,1,google,2025-10-29 15:17:06.006196,,jobs in vinemont alabama
12,jobs in vinemont alabama,"('jobs in cullman alabama', 'jobs in cullman al part time')",jobs in cullman alabama,jobs in cullman al part time,3,1,google,2025-10-29 15:17:06.006196,,jobs in vinemont alabama
13,jobs in vinemont alabama,"('jobs in cullman alabama', 'jobs in cullman al for 16 year olds')",jobs in cullman alabama,jobs in cullman al for 16 year olds,4,1,google,2025-10-29 15:17:06.006196,,jobs in vinemont alabama
14,jobs in vinemont alabama,"('jobs in cullman alabama', 'jobs in cullman al no degree')",jobs in cullman alabama,jobs in cullman al no degree,5,1,google,2025-10-29 15:17:06.006196,,jobs in vinemont alabama
15,jobs in vinemont alabama,"('jobs in cullman alabama', 'jobs in cullman al remote')",jobs in cullman alabama,jobs in cullman al remote,6,1,google,2025-10-29 15:17:06.006196,,jobs in vinemont alabama
16,jobs in vinemont alabama,"('jobs in cullman alabama', 'jobs in cullman al for 17 year olds')",jobs in cullman alabama,jobs in cullman al for 17 year olds,7,1,google,2025-10-29 15:17:06.006196,,jobs in vinemont alabama
17,jobs in vinemont alabama,"('jobs in cullman alabama', 'jobs hiring in cullman alabama')",jobs in cullman alabama,jobs hiring in cullman alabama,8,1,google,2025-10-29 15:17:06.006196,,jobs in vinemont alabama
18,jobs in vinemont alabama,"('jobs in cullman alabama', 'jobs available in cullman alabama')",jobs in cullman alabama,jobs available in cullman alabama,9,1,google,2025-10-29 15:17:06.006196,,jobs in vinemont alabama
19,jobs in vinemont alabama,"('jobs in vinemont al', 'jobs in cullman al')",jobs in vinemont al,jobs in cullman al,1,1,google,2025-10-29 15:17:07.185342,,jobs in vinemont alabama
20,jobs in vinemont alabama,"('jobs in vinemont al', 'jobs in cullman al full time')",jobs in vinemont al,jobs in cullman al full time,2,1,google,2025-10-29 15:17:07.185342,,jobs in vinemont alabama
21,jobs in vinemont alabama,"('jobs in vinemont al', 'jobs in cullman al part time')",jobs in vinemont al,jobs in cullman al part time,3,1,google,2025-10-29 15:17:07.185342,,jobs in vinemont alabama
22,jobs in vinemont alabama,"('jobs in vinemont al', 'jobs in cullman al for 16 year olds')",jobs in vinemont al,jobs in cullman al for 16 year olds,4,1,google,2025-10-29 15:17:07.185342,,jobs in vinemont alabama
23,jobs in vinemont alabama,"('jobs in vinemont al', 'jobs in cullman al no degree')",jobs in vinemont al,jobs in cullman al no degree,5,1,google,2025-10-29 15:17:07.185342,,jobs in vinemont alabama
24,jobs in vinemont alabama,"('jobs in vinemont al', 'jobs in cullman al remote')",jobs in vinemont al,jobs in cullman al remote,6,1,google,2025-10-29 15:17:07.185342,,jobs in vinemont alabama
25,jobs in vinemont alabama,"('jobs in vinemont al', 'jobs in cullman al for 17 year olds')",jobs in vinemont al,jobs in cullman al for 17 year olds,7,1,google,2025-10-29 15:17:07.185342,,jobs in vinemont alabama
26,jobs in vinemont alabama,"('jobs in vinemont al', 'jobs hiring in cullman al')",jobs in vinemont al,jobs hiring in cullman al,8,1,google,2025-10-29 15:17:07.185342,,jobs in vinemont alabama
27,jobs in vinemont alabama,"('jobs in vinemont al', 'office jobs in cullman al')",jobs in vinemont al,office jobs in cullman al,9,1,google,2025-10-29 15:17:07.185342,,jobs in vinemont alabama
28,jobs in vinemont alabama,"('jobs hiring in cullman alabama', 'jobs available in cullman alabama')",jobs hiring in cullman alabama,jobs available in cullman alabama,1,1,google,2025-10-29 15:17:08.287726,,jobs in vinemont alabama
29,jobs in vinemont alabama,"('jobs hiring in cullman alabama', 'jobs near cullman alabama')",jobs hiring in cullman alabama,jobs near cullman alabama,2,1,google,2025-10-29 15:17:08.287726,,jobs in vinemont alabama
30,jobs in vinemont alabama,"('jobs hiring in cullman alabama', 'jobs hiring cullman al full time')",jobs hiring in cullman alabama,jobs hiring cullman al full time,3,1,google,2025-10-29 15:17:08.287726,,jobs in vinemont alabama
31,jobs in vinemont alabama,"('jobs hiring in cullman alabama', 'part time jobs hiring in cullman al')",jobs hiring in cullman alabama,part time jobs hiring in cullman al,4,1,google,2025-10-29 15:17:08.287726,,jobs in vinemont alabama
32,jobs in vinemont alabama,"('jobs hiring in cullman alabama', 'jobs hiring near cullman al')",jobs hiring in cullman alabama,jobs hiring near cullman al,5,1,google,2025-10-29 15:17:08.287726,,jobs in vinemont alabama
33,jobs in vinemont alabama,"('jobs hiring in cullman alabama', 'jobs hiring immediately cullman al')",jobs hiring in cullman alabama,jobs hiring immediately cullman al,6,1,google,2025-10-29 15:17:08.287726,,jobs in vinemont alabama
34,jobs in vinemont alabama,"('jobs available in cullman alabama', 'jobs hiring in cullman alabama')",jobs available in cullman alabama,jobs hiring in cullman alabama,1,1,google,2025-10-29 15:17:09.390700,,jobs in vinemont alabama
35,jobs in vinemont alabama,"('jobs available in cullman alabama', 'jobs in cullman alabama')",jobs available in cullman alabama,jobs in cullman alabama,2,1,google,2025-10-29 15:17:09.390700,,jobs in vinemont alabama
36,jobs in vinemont alabama,"('jobs available in cullman alabama', 'what kind of jobs are in alabama')",jobs available in cullman alabama,what kind of jobs are in alabama,3,1,google,2025-10-29 15:17:09.390700,,jobs in vinemont alabama
37,jobs in vinemont alabama,"('jobs available in cullman alabama', 'jobs available in cullman al')",jobs available in cullman alabama,jobs available in cullman al,4,1,google,2025-10-29 15:17:09.390700,,jobs in vinemont alabama
38,jobs in vinemont alabama,"('jobs available in cullman alabama', 'jobs in cullman county')",jobs available in cullman alabama,jobs in cullman county,5,1,google,2025-10-29 15:17:09.390700,,jobs in vinemont alabama
39,jobs in vinemont alabama,"('welding jobs in cullman alabama', 'welding jobs in alabama')",welding jobs in cullman alabama,welding jobs in alabama,1,1,google,2025-10-29 15:17:10.352091,,jobs in vinemont alabama
40,jobs in vinemont alabama,"('welding jobs in cullman alabama', 'welding jobs in cullman al')",welding jobs in cullman alabama,welding jobs in cullman al,2,1,google,2025-10-29 15:17:10.352091,,jobs in vinemont alabama
41,jobs in vinemont alabama,"('welding jobs in cullman alabama', 'welding cullman al')",welding jobs in cullman alabama,welding cullman al,3,1,google,2025-10-29 15:17:10.352091,,jobs in vinemont alabama
