,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in waldron arkansas,"('jobs in waldron arkansas', 'jobs hiring in waldron arkansas')",jobs in waldron arkansas,jobs hiring in waldron arkansas,1,0,google,2025-10-30 01:23:10.834133,,
1,jobs in waldron arkansas,"('jobs in waldron arkansas', 'part time jobs in waldron arkansas')",jobs in waldron arkansas,part time jobs in waldron arkansas,2,0,google,2025-10-30 01:23:10.834133,,
2,jobs in waldron arkansas,"('jobs in waldron arkansas', 'jobs in waldron ar')",jobs in waldron arkansas,jobs in waldron ar,3,0,google,2025-10-30 01:23:10.834133,,
3,jobs in waldron arkansas,"('jobs in waldron arkansas', 'jobs in waldron')",jobs in waldron arkansas,jobs in waldron,4,0,google,2025-10-30 01:23:10.834133,,
4,jobs in waldron arkansas,"('jobs hiring in waldron arkansas', 'jobs available in waldron arkansas')",jobs hiring in waldron arkansas,jobs available in waldron arkansas,1,1,google,2025-10-30 01:23:11.742183,,jobs in waldron arkansas
5,jobs in waldron arkansas,"('jobs hiring in waldron arkansas', 'jobs near waldron arkansas')",jobs hiring in waldron arkansas,jobs near waldron arkansas,2,1,google,2025-10-30 01:23:11.742183,,jobs in waldron arkansas
6,jobs in waldron arkansas,"('jobs hiring in waldron arkansas', 'jobs hiring near waldron ar')",jobs hiring in waldron arkansas,jobs hiring near waldron ar,3,1,google,2025-10-30 01:23:11.742183,,jobs in waldron arkansas
7,jobs in waldron arkansas,"('jobs hiring in waldron arkansas', 'jobs waldron ar')",jobs hiring in waldron arkansas,jobs waldron ar,4,1,google,2025-10-30 01:23:11.742183,,jobs in waldron arkansas
8,jobs in waldron arkansas,"('part time jobs in waldron arkansas', 'waldron arkansas jobs')",part time jobs in waldron arkansas,waldron arkansas jobs,1,1,google,2025-10-30 01:23:12.630039,,jobs in waldron arkansas
9,jobs in waldron arkansas,"('part time jobs in waldron arkansas', 'part time jobs in warren arkansas')",part time jobs in waldron arkansas,part time jobs in warren arkansas,2,1,google,2025-10-30 01:23:12.630039,,jobs in waldron arkansas
10,jobs in waldron arkansas,"('part time jobs in waldron arkansas', 'jobs waldron ar')",part time jobs in waldron arkansas,jobs waldron ar,3,1,google,2025-10-30 01:23:12.630039,,jobs in waldron arkansas
11,jobs in waldron arkansas,"('jobs in waldron ar', 'jobs in waldron arkansas')",jobs in waldron ar,jobs in waldron arkansas,1,1,google,2025-10-30 01:23:13.878331,,jobs in waldron arkansas
12,jobs in waldron arkansas,"('jobs in waldron ar', 'hiring in waldron ar')",jobs in waldron ar,hiring in waldron ar,2,1,google,2025-10-30 01:23:13.878331,,jobs in waldron arkansas
13,jobs in waldron arkansas,"('jobs in waldron ar', 'jobs hiring in waldron arkansas')",jobs in waldron ar,jobs hiring in waldron arkansas,3,1,google,2025-10-30 01:23:13.878331,,jobs in waldron arkansas
14,jobs in waldron arkansas,"('jobs in waldron ar', 'part time jobs in waldron ar')",jobs in waldron ar,part time jobs in waldron ar,4,1,google,2025-10-30 01:23:13.878331,,jobs in waldron arkansas
15,jobs in waldron arkansas,"('jobs in waldron ar', 'jobs near waldron ar')",jobs in waldron ar,jobs near waldron ar,5,1,google,2025-10-30 01:23:13.878331,,jobs in waldron arkansas
16,jobs in waldron arkansas,"('jobs in waldron ar', 'jobs in waldron')",jobs in waldron ar,jobs in waldron,6,1,google,2025-10-30 01:23:13.878331,,jobs in waldron arkansas
17,jobs in waldron arkansas,"('jobs in waldron', 'jobs in waldron arkansas')",jobs in waldron,jobs in waldron arkansas,1,1,google,2025-10-30 01:23:14.772880,,jobs in waldron arkansas
18,jobs in waldron arkansas,"('jobs in waldron', 'jobs in waldron indiana')",jobs in waldron,jobs in waldron indiana,2,1,google,2025-10-30 01:23:14.772880,,jobs in waldron arkansas
19,jobs in waldron arkansas,"('jobs in waldron', 'jobs hiring in waldron arkansas')",jobs in waldron,jobs hiring in waldron arkansas,3,1,google,2025-10-30 01:23:14.772880,,jobs in waldron arkansas
20,jobs in waldron arkansas,"('jobs in waldron', 'part time jobs in waldron ar')",jobs in waldron,part time jobs in waldron ar,4,1,google,2025-10-30 01:23:14.772880,,jobs in waldron arkansas
21,jobs in waldron arkansas,"('jobs in waldron', 'part time jobs in waldron')",jobs in waldron,part time jobs in waldron,5,1,google,2025-10-30 01:23:14.772880,,jobs in waldron arkansas
22,jobs in waldron arkansas,"('jobs in waldron', 'jobs in waldron ar')",jobs in waldron,jobs in waldron ar,6,1,google,2025-10-30 01:23:14.772880,,jobs in waldron arkansas
23,jobs in waldron arkansas,"('jobs in waldron', 'jobs in walden colorado')",jobs in waldron,jobs in walden colorado,7,1,google,2025-10-30 01:23:14.772880,,jobs in waldron arkansas
24,jobs in waldron arkansas,"('jobs in waldron', 'jobs in waldorf maryland')",jobs in waldron,jobs in waldorf maryland,8,1,google,2025-10-30 01:23:14.772880,,jobs in waldron arkansas
25,jobs in waldron arkansas,"('jobs available in waldron arkansas', 'jobs hiring in waldron arkansas')",jobs available in waldron arkansas,jobs hiring in waldron arkansas,1,2,google,2025-10-30 01:23:16.087699,jobs in waldron arkansas,jobs hiring in waldron arkansas
26,jobs in waldron arkansas,"('jobs available in waldron arkansas', 'jobs waldron arkansas')",jobs available in waldron arkansas,jobs waldron arkansas,2,2,google,2025-10-30 01:23:16.087699,jobs in waldron arkansas,jobs hiring in waldron arkansas
27,jobs in waldron arkansas,"('jobs available in waldron arkansas', 'jobs waldron ar')",jobs available in waldron arkansas,jobs waldron ar,3,2,google,2025-10-30 01:23:16.087699,jobs in waldron arkansas,jobs hiring in waldron arkansas
28,jobs in waldron arkansas,"('jobs near waldron arkansas', 'jobs hiring near waldron ar')",jobs near waldron arkansas,jobs hiring near waldron ar,1,2,google,2025-10-30 01:23:16.958624,jobs in waldron arkansas,jobs hiring in waldron arkansas
29,jobs in waldron arkansas,"('jobs near waldron arkansas', 'jobs near me waldron ar')",jobs near waldron arkansas,jobs near me waldron ar,2,2,google,2025-10-30 01:23:16.958624,jobs in waldron arkansas,jobs hiring in waldron arkansas
30,jobs in waldron arkansas,"('jobs hiring near waldron ar', 'jobs hiring in waldron arkansas')",jobs hiring near waldron ar,jobs hiring in waldron arkansas,1,2,google,2025-10-30 01:23:18.278561,jobs in waldron arkansas,jobs hiring in waldron arkansas
31,jobs in waldron arkansas,"('jobs hiring near waldron ar', 'jobs near waldron ar')",jobs hiring near waldron ar,jobs near waldron ar,2,2,google,2025-10-30 01:23:18.278561,jobs in waldron arkansas,jobs hiring in waldron arkansas
32,jobs in waldron arkansas,"('jobs hiring near waldron ar', 'jobs near waldron arkansas')",jobs hiring near waldron ar,jobs near waldron arkansas,3,2,google,2025-10-30 01:23:18.278561,jobs in waldron arkansas,jobs hiring in waldron arkansas
33,jobs in waldron arkansas,"('jobs waldron ar', 'hiring waldron ar')",jobs waldron ar,hiring waldron ar,1,2,google,2025-10-30 01:23:19.442913,jobs in waldron arkansas jobs in waldron arkansas,jobs hiring in waldron arkansas part time jobs in waldron arkansas
34,jobs in waldron arkansas,"('jobs waldron ar', 'indeed jobs waldron ar')",jobs waldron ar,indeed jobs waldron ar,2,2,google,2025-10-30 01:23:19.442913,jobs in waldron arkansas jobs in waldron arkansas,jobs hiring in waldron arkansas part time jobs in waldron arkansas
35,jobs in waldron arkansas,"('jobs waldron ar', 'jobs hiring waldron ar')",jobs waldron ar,jobs hiring waldron ar,3,2,google,2025-10-30 01:23:19.442913,jobs in waldron arkansas jobs in waldron arkansas,jobs hiring in waldron arkansas part time jobs in waldron arkansas
36,jobs in waldron arkansas,"('jobs waldron ar', 'tyson jobs waldron ar')",jobs waldron ar,tyson jobs waldron ar,4,2,google,2025-10-30 01:23:19.442913,jobs in waldron arkansas jobs in waldron arkansas,jobs hiring in waldron arkansas part time jobs in waldron arkansas
37,jobs in waldron arkansas,"('jobs waldron ar', 'rn jobs waldron ar')",jobs waldron ar,rn jobs waldron ar,5,2,google,2025-10-30 01:23:19.442913,jobs in waldron arkansas jobs in waldron arkansas,jobs hiring in waldron arkansas part time jobs in waldron arkansas
38,jobs in waldron arkansas,"('jobs waldron ar', 'lpn jobs waldron ar')",jobs waldron ar,lpn jobs waldron ar,6,2,google,2025-10-30 01:23:19.442913,jobs in waldron arkansas jobs in waldron arkansas,jobs hiring in waldron arkansas part time jobs in waldron arkansas
39,jobs in waldron arkansas,"('jobs waldron ar', 'part time jobs waldron ar')",jobs waldron ar,part time jobs waldron ar,7,2,google,2025-10-30 01:23:19.442913,jobs in waldron arkansas jobs in waldron arkansas,jobs hiring in waldron arkansas part time jobs in waldron arkansas
40,jobs in waldron arkansas,"('jobs waldron ar', 'tyson foods jobs waldron ar')",jobs waldron ar,tyson foods jobs waldron ar,8,2,google,2025-10-30 01:23:19.442913,jobs in waldron arkansas jobs in waldron arkansas,jobs hiring in waldron arkansas part time jobs in waldron arkansas
41,jobs in waldron arkansas,"('jobs waldron ar', 'jobs near me waldron ar')",jobs waldron ar,jobs near me waldron ar,9,2,google,2025-10-30 01:23:19.442913,jobs in waldron arkansas jobs in waldron arkansas,jobs hiring in waldron arkansas part time jobs in waldron arkansas
42,jobs in waldron arkansas,"('waldron arkansas jobs', 'waldron ar jobs hiring')",waldron arkansas jobs,waldron ar jobs hiring,1,2,google,2025-10-30 01:23:20.713162,jobs in waldron arkansas,part time jobs in waldron arkansas
43,jobs in waldron arkansas,"('waldron arkansas jobs', 'tyson waldron ar jobs')",waldron arkansas jobs,tyson waldron ar jobs,2,2,google,2025-10-30 01:23:20.713162,jobs in waldron arkansas,part time jobs in waldron arkansas
44,jobs in waldron arkansas,"('waldron arkansas jobs', 'waldron arkansas crime rate')",waldron arkansas jobs,waldron arkansas crime rate,3,2,google,2025-10-30 01:23:20.713162,jobs in waldron arkansas,part time jobs in waldron arkansas
45,jobs in waldron arkansas,"('waldron arkansas jobs', 'waldron ar jobs')",waldron arkansas jobs,waldron ar jobs,4,2,google,2025-10-30 01:23:20.713162,jobs in waldron arkansas,part time jobs in waldron arkansas
46,jobs in waldron arkansas,"('waldron arkansas jobs', 'waldron ar school district jobs')",waldron arkansas jobs,waldron ar school district jobs,5,2,google,2025-10-30 01:23:20.713162,jobs in waldron arkansas,part time jobs in waldron arkansas
47,jobs in waldron arkansas,"('waldron arkansas jobs', 'waldron jobs')",waldron arkansas jobs,waldron jobs,6,2,google,2025-10-30 01:23:20.713162,jobs in waldron arkansas,part time jobs in waldron arkansas
