,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in walnut grove alabama,"('jobs in walnut grove alabama', 'jobs in walnut grove alabama area')",jobs in walnut grove alabama,jobs in walnut grove alabama area,1,0,google,2025-10-29 15:20:53.207902,,
1,jobs in walnut grove alabama,"('jobs in walnut grove alabama', 'jobs in walnut grove alabama hiring')",jobs in walnut grove alabama,jobs in walnut grove alabama hiring,2,0,google,2025-10-29 15:20:53.207902,,
2,jobs in walnut grove alabama,"('jobs in walnut grove alabama', 'jobs in walnut grove alabama hiring now')",jobs in walnut grove alabama,jobs in walnut grove alabama hiring now,3,0,google,2025-10-29 15:20:53.207902,,
3,jobs in walnut grove alabama,"('jobs in walnut grove alabama', 'jobs in walnut grove alabama for 16 year olds')",jobs in walnut grove alabama,jobs in walnut grove alabama for 16 year olds,4,0,google,2025-10-29 15:20:53.207902,,
4,jobs in walnut grove alabama,"('jobs in walnut grove alabama', 'jobs in walnut grove alabama 36277')",jobs in walnut grove alabama,jobs in walnut grove alabama 36277,5,0,google,2025-10-29 15:20:53.207902,,
5,jobs in walnut grove alabama,"('jobs in walnut grove alabama', 'jobs in walnut grove alabama weather')",jobs in walnut grove alabama,jobs in walnut grove alabama weather,6,0,google,2025-10-29 15:20:53.207902,,
6,jobs in walnut grove alabama,"('jobs in walnut grove alabama', 'jobs in walnut grove al')",jobs in walnut grove alabama,jobs in walnut grove al,7,0,google,2025-10-29 15:20:53.207902,,
7,jobs in walnut grove alabama,"('jobs in walnut grove alabama area', 'jobs in walnut grove alabama area hiring')",jobs in walnut grove alabama area,jobs in walnut grove alabama area hiring,1,1,google,2025-10-29 15:20:54.156851,,jobs in walnut grove alabama
8,jobs in walnut grove alabama,"('jobs in walnut grove alabama area', 'jobs in walnut grove alabama area area')",jobs in walnut grove alabama area,jobs in walnut grove alabama area area,2,1,google,2025-10-29 15:20:54.156851,,jobs in walnut grove alabama
9,jobs in walnut grove alabama,"('jobs in walnut grove alabama area', 'jobs in walnut grove alabama area hiring now')",jobs in walnut grove alabama area,jobs in walnut grove alabama area hiring now,3,1,google,2025-10-29 15:20:54.156851,,jobs in walnut grove alabama
10,jobs in walnut grove alabama,"('jobs in walnut grove alabama area', 'jobs in walnut grove alabama areas')",jobs in walnut grove alabama area,jobs in walnut grove alabama areas,4,1,google,2025-10-29 15:20:54.156851,,jobs in walnut grove alabama
11,jobs in walnut grove alabama,"('jobs in walnut grove alabama area', 'jobs in walnut grove alabama area for 16 year olds')",jobs in walnut grove alabama area,jobs in walnut grove alabama area for 16 year olds,5,1,google,2025-10-29 15:20:54.156851,,jobs in walnut grove alabama
12,jobs in walnut grove alabama,"('jobs in walnut grove alabama hiring', 'jobs in walnut grove alabama hiring now')",jobs in walnut grove alabama hiring,jobs in walnut grove alabama hiring now,1,1,google,2025-10-29 15:20:55.378244,,jobs in walnut grove alabama
13,jobs in walnut grove alabama,"('jobs in walnut grove alabama hiring', 'jobs in walnut grove alabama hiring immediately')",jobs in walnut grove alabama hiring,jobs in walnut grove alabama hiring immediately,2,1,google,2025-10-29 15:20:55.378244,,jobs in walnut grove alabama
14,jobs in walnut grove alabama,"('jobs in walnut grove alabama hiring', 'jobs in walnut grove alabama hiring right now')",jobs in walnut grove alabama hiring,jobs in walnut grove alabama hiring right now,3,1,google,2025-10-29 15:20:55.378244,,jobs in walnut grove alabama
15,jobs in walnut grove alabama,"('jobs in walnut grove alabama hiring', 'jobs in walnut grove alabama hiring 16 year olds')",jobs in walnut grove alabama hiring,jobs in walnut grove alabama hiring 16 year olds,4,1,google,2025-10-29 15:20:55.378244,,jobs in walnut grove alabama
16,jobs in walnut grove alabama,"('jobs in walnut grove alabama hiring', 'jobs in walnut grove alabama hiring 15 year olds')",jobs in walnut grove alabama hiring,jobs in walnut grove alabama hiring 15 year olds,5,1,google,2025-10-29 15:20:55.378244,,jobs in walnut grove alabama
17,jobs in walnut grove alabama,"('jobs in walnut grove alabama hiring now', 'jobs in walnut grove alabama hiring now part time')",jobs in walnut grove alabama hiring now,jobs in walnut grove alabama hiring now part time,1,1,google,2025-10-29 15:20:56.349838,,jobs in walnut grove alabama
18,jobs in walnut grove alabama,"('jobs in walnut grove alabama hiring now', 'jobs in walnut grove alabama hiring now 2024')",jobs in walnut grove alabama hiring now,jobs in walnut grove alabama hiring now 2024,2,1,google,2025-10-29 15:20:56.349838,,jobs in walnut grove alabama
19,jobs in walnut grove alabama,"('jobs in walnut grove alabama hiring now', 'jobs in walnut grove alabama hiring now full time')",jobs in walnut grove alabama hiring now,jobs in walnut grove alabama hiring now full time,3,1,google,2025-10-29 15:20:56.349838,,jobs in walnut grove alabama
20,jobs in walnut grove alabama,"('jobs in walnut grove alabama hiring now', 'jobs in walnut grove alabama hiring now no experience')",jobs in walnut grove alabama hiring now,jobs in walnut grove alabama hiring now no experience,4,1,google,2025-10-29 15:20:56.349838,,jobs in walnut grove alabama
