,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in ward arkansas,"('jobs in ward arkansas', 'what jobs are in arkansas')",jobs in ward arkansas,what jobs are in arkansas,1,0,google,2025-10-30 01:27:01.490246,,
1,jobs in ward arkansas,"('jobs in ward arkansas', 'what kind of jobs are in arkansas')",jobs in ward arkansas,what kind of jobs are in arkansas,2,0,google,2025-10-30 01:27:01.490246,,
2,jobs in ward arkansas,"('jobs in ward arkansas', 'jobs in ward ar')",jobs in ward arkansas,jobs in ward ar,3,0,google,2025-10-30 01:27:01.490246,,
3,jobs in ward arkansas,"('what jobs are in arkansas', 'what jobs are hiring in arkansas')",what jobs are in arkansas,what jobs are hiring in arkansas,1,1,google,2025-10-30 01:27:02.448766,,jobs in ward arkansas
4,jobs in ward arkansas,"('what jobs are in arkansas', 'what jobs in arkansas hire at 15')",what jobs are in arkansas,what jobs in arkansas hire at 15,2,1,google,2025-10-30 01:27:02.448766,,jobs in ward arkansas
5,jobs in ward arkansas,"('what jobs are in arkansas', 'what jobs in arkansas hire at 14')",what jobs are in arkansas,what jobs in arkansas hire at 14,3,1,google,2025-10-30 01:27:02.448766,,jobs in ward arkansas
6,jobs in ward arkansas,"('what jobs are in arkansas', 'what jobs are in hot springs arkansas')",what jobs are in arkansas,what jobs are in hot springs arkansas,4,1,google,2025-10-30 01:27:02.448766,,jobs in ward arkansas
7,jobs in ward arkansas,"('what jobs are in arkansas', 'what jobs are in little rock arkansas')",what jobs are in arkansas,what jobs are in little rock arkansas,5,1,google,2025-10-30 01:27:02.448766,,jobs in ward arkansas
8,jobs in ward arkansas,"('what jobs are in arkansas', 'what jobs hire felons in arkansas')",what jobs are in arkansas,what jobs hire felons in arkansas,6,1,google,2025-10-30 01:27:02.448766,,jobs in ward arkansas
9,jobs in ward arkansas,"('what jobs are in arkansas', 'what are the best jobs in arkansas')",what jobs are in arkansas,what are the best jobs in arkansas,7,1,google,2025-10-30 01:27:02.448766,,jobs in ward arkansas
10,jobs in ward arkansas,"('what jobs are in arkansas', 'what are high paying jobs in arkansas')",what jobs are in arkansas,what are high paying jobs in arkansas,8,1,google,2025-10-30 01:27:02.448766,,jobs in ward arkansas
11,jobs in ward arkansas,"('what jobs are in arkansas', 'what are the highest paying jobs in arkansas')",what jobs are in arkansas,what are the highest paying jobs in arkansas,9,1,google,2025-10-30 01:27:02.448766,,jobs in ward arkansas
12,jobs in ward arkansas,"('what kind of jobs are in arkansas', 'what kind of work is in arkansas')",what kind of jobs are in arkansas,what kind of work is in arkansas,1,1,google,2025-10-30 01:27:03.735220,,jobs in ward arkansas
13,jobs in ward arkansas,"('what kind of jobs are in arkansas', 'what jobs are in arkansas')",what kind of jobs are in arkansas,what jobs are in arkansas,2,1,google,2025-10-30 01:27:03.735220,,jobs in ward arkansas
14,jobs in ward arkansas,"('what kind of jobs are in arkansas', 'what jobs are in demand in arkansas')",what kind of jobs are in arkansas,what jobs are in demand in arkansas,3,1,google,2025-10-30 01:27:03.735220,,jobs in ward arkansas
15,jobs in ward arkansas,"('what kind of jobs are in arkansas', 'what kind of jobs are in kansas')",what kind of jobs are in arkansas,what kind of jobs are in kansas,4,1,google,2025-10-30 01:27:03.735220,,jobs in ward arkansas
16,jobs in ward arkansas,"('what kind of jobs are in arkansas', 'what jobs are in high demand in arkansas')",what kind of jobs are in arkansas,what jobs are in high demand in arkansas,5,1,google,2025-10-30 01:27:03.735220,,jobs in ward arkansas
17,jobs in ward arkansas,"('jobs in ward ar', 'jobs near ward arkansas')",jobs in ward ar,jobs near ward arkansas,1,1,google,2025-10-30 01:27:04.737528,,jobs in ward arkansas
18,jobs in ward arkansas,"('jobs in ward ar', 'third ward jobs')",jobs in ward ar,third ward jobs,2,1,google,2025-10-30 01:27:04.737528,,jobs in ward arkansas
19,jobs in ward arkansas,"('jobs in ward ar', 'jobs in ward sc')",jobs in ward ar,jobs in ward sc,3,1,google,2025-10-30 01:27:04.737528,,jobs in ward arkansas
20,jobs in ward arkansas,"('what jobs are hiring in arkansas', 'what jobs hire felons in arkansas')",what jobs are hiring in arkansas,what jobs hire felons in arkansas,1,2,google,2025-10-30 01:27:05.548311,jobs in ward arkansas,what jobs are in arkansas
21,jobs in ward arkansas,"('what jobs are hiring in arkansas', 'what jobs hire at 14 in arkansas')",what jobs are hiring in arkansas,what jobs hire at 14 in arkansas,2,2,google,2025-10-30 01:27:05.548311,jobs in ward arkansas,what jobs are in arkansas
22,jobs in ward arkansas,"('what jobs are hiring in arkansas', 'what jobs hire at 15 in arkansas')",what jobs are hiring in arkansas,what jobs hire at 15 in arkansas,3,2,google,2025-10-30 01:27:05.548311,jobs in ward arkansas,what jobs are in arkansas
23,jobs in ward arkansas,"('what jobs are hiring in arkansas', 'what jobs hire at 14 in arkansas part time')",what jobs are hiring in arkansas,what jobs hire at 14 in arkansas part time,4,2,google,2025-10-30 01:27:05.548311,jobs in ward arkansas,what jobs are in arkansas
24,jobs in ward arkansas,"('what jobs are hiring in arkansas', 'what jobs hire at 13 in arkansas')",what jobs are hiring in arkansas,what jobs hire at 13 in arkansas,5,2,google,2025-10-30 01:27:05.548311,jobs in ward arkansas,what jobs are in arkansas
25,jobs in ward arkansas,"('what jobs are hiring in arkansas', 'what jobs hire at 15 in arkansas part time')",what jobs are hiring in arkansas,what jobs hire at 15 in arkansas part time,6,2,google,2025-10-30 01:27:05.548311,jobs in ward arkansas,what jobs are in arkansas
26,jobs in ward arkansas,"('what jobs are hiring in arkansas', 'what jobs hire at 16 in arkansas')",what jobs are hiring in arkansas,what jobs hire at 16 in arkansas,7,2,google,2025-10-30 01:27:05.548311,jobs in ward arkansas,what jobs are in arkansas
27,jobs in ward arkansas,"('what jobs are hiring in arkansas', 'what jobs hire at 14 in arkansas no experience')",what jobs are hiring in arkansas,what jobs hire at 14 in arkansas no experience,8,2,google,2025-10-30 01:27:05.548311,jobs in ward arkansas,what jobs are in arkansas
28,jobs in ward arkansas,"('what jobs are hiring in arkansas', 'what jobs hire at 15 in arkansas no experience')",what jobs are hiring in arkansas,what jobs hire at 15 in arkansas no experience,9,2,google,2025-10-30 01:27:05.548311,jobs in ward arkansas,what jobs are in arkansas
29,jobs in ward arkansas,"('what jobs in arkansas hire at 15', 'what jobs hire at 15 in arkansas part time')",what jobs in arkansas hire at 15,what jobs hire at 15 in arkansas part time,1,2,google,2025-10-30 01:27:06.985392,jobs in ward arkansas,what jobs are in arkansas
30,jobs in ward arkansas,"('what jobs in arkansas hire at 15', 'what jobs hire at 15 in arkansas no experience')",what jobs in arkansas hire at 15,what jobs hire at 15 in arkansas no experience,2,2,google,2025-10-30 01:27:06.985392,jobs in ward arkansas,what jobs are in arkansas
31,jobs in ward arkansas,"('what jobs in arkansas hire at 15', 'where can i work at 15 in arkansas')",what jobs in arkansas hire at 15,where can i work at 15 in arkansas,3,2,google,2025-10-30 01:27:06.985392,jobs in ward arkansas,what jobs are in arkansas
32,jobs in ward arkansas,"('what jobs in arkansas hire at 15', 'what jobs hire 15 year olds in arkansas')",what jobs in arkansas hire at 15,what jobs hire 15 year olds in arkansas,4,2,google,2025-10-30 01:27:06.985392,jobs in ward arkansas,what jobs are in arkansas
33,jobs in ward arkansas,"('what jobs in arkansas hire at 15', 'what jobs in arkansas hire at 14')",what jobs in arkansas hire at 15,what jobs in arkansas hire at 14,5,2,google,2025-10-30 01:27:06.985392,jobs in ward arkansas,what jobs are in arkansas
34,jobs in ward arkansas,"('what jobs in arkansas hire at 15', 'what jobs hire at 13 in arkansas')",what jobs in arkansas hire at 15,what jobs hire at 13 in arkansas,6,2,google,2025-10-30 01:27:06.985392,jobs in ward arkansas,what jobs are in arkansas
35,jobs in ward arkansas,"('what jobs in arkansas hire at 14', 'what jobs hire at 14 in arkansas part time')",what jobs in arkansas hire at 14,what jobs hire at 14 in arkansas part time,1,2,google,2025-10-30 01:27:08.202643,jobs in ward arkansas,what jobs are in arkansas
36,jobs in ward arkansas,"('what jobs in arkansas hire at 14', 'what jobs hire at 14 in arkansas no experience')",what jobs in arkansas hire at 14,what jobs hire at 14 in arkansas no experience,2,2,google,2025-10-30 01:27:08.202643,jobs in ward arkansas,what jobs are in arkansas
37,jobs in ward arkansas,"('what jobs in arkansas hire at 14', 'what jobs hire at 14 in jonesboro arkansas')",what jobs in arkansas hire at 14,what jobs hire at 14 in jonesboro arkansas,3,2,google,2025-10-30 01:27:08.202643,jobs in ward arkansas,what jobs are in arkansas
38,jobs in ward arkansas,"('what jobs in arkansas hire at 14', 'what jobs hire at 14 in fort smith arkansas')",what jobs in arkansas hire at 14,what jobs hire at 14 in fort smith arkansas,4,2,google,2025-10-30 01:27:08.202643,jobs in ward arkansas,what jobs are in arkansas
39,jobs in ward arkansas,"('what jobs in arkansas hire at 14', 'what jobs hire at 14 in hot springs arkansas')",what jobs in arkansas hire at 14,what jobs hire at 14 in hot springs arkansas,5,2,google,2025-10-30 01:27:08.202643,jobs in ward arkansas,what jobs are in arkansas
40,jobs in ward arkansas,"('what jobs in arkansas hire at 14', 'what jobs hire at 15 in arkansas')",what jobs in arkansas hire at 14,what jobs hire at 15 in arkansas,6,2,google,2025-10-30 01:27:08.202643,jobs in ward arkansas,what jobs are in arkansas
41,jobs in ward arkansas,"('what jobs in arkansas hire at 14', 'can you get a job at 14 in arkansas')",what jobs in arkansas hire at 14,can you get a job at 14 in arkansas,7,2,google,2025-10-30 01:27:08.202643,jobs in ward arkansas,what jobs are in arkansas
42,jobs in ward arkansas,"('what jobs in arkansas hire at 14', 'what jobs hire at 13 in arkansas')",what jobs in arkansas hire at 14,what jobs hire at 13 in arkansas,8,2,google,2025-10-30 01:27:08.202643,jobs in ward arkansas,what jobs are in arkansas
43,jobs in ward arkansas,"('what jobs in arkansas hire at 14', 'what jobs hire at 14 in little rock ar')",what jobs in arkansas hire at 14,what jobs hire at 14 in little rock ar,9,2,google,2025-10-30 01:27:08.202643,jobs in ward arkansas,what jobs are in arkansas
44,jobs in ward arkansas,"('what jobs are in hot springs arkansas', 'what jobs hire at 14 in hot springs arkansas')",what jobs are in hot springs arkansas,what jobs hire at 14 in hot springs arkansas,1,2,google,2025-10-30 01:27:09.237636,jobs in ward arkansas,what jobs are in arkansas
45,jobs in ward arkansas,"('what jobs are in hot springs arkansas', 'how many hot springs are in arkansas')",what jobs are in hot springs arkansas,how many hot springs are in arkansas,2,2,google,2025-10-30 01:27:09.237636,jobs in ward arkansas,what jobs are in arkansas
46,jobs in ward arkansas,"('what jobs are in hot springs arkansas', 'hot springs jobs')",what jobs are in hot springs arkansas,hot springs jobs,3,2,google,2025-10-30 01:27:09.237636,jobs in ward arkansas,what jobs are in arkansas
47,jobs in ward arkansas,"('what jobs are in hot springs arkansas', 'highest paying jobs in hot springs arkansas')",what jobs are in hot springs arkansas,highest paying jobs in hot springs arkansas,4,2,google,2025-10-30 01:27:09.237636,jobs in ward arkansas,what jobs are in arkansas
48,jobs in ward arkansas,"('what jobs are in hot springs arkansas', 'factory jobs in hot springs arkansas')",what jobs are in hot springs arkansas,factory jobs in hot springs arkansas,5,2,google,2025-10-30 01:27:09.237636,jobs in ward arkansas,what jobs are in arkansas
49,jobs in ward arkansas,"('what jobs are in hot springs arkansas', 'jobs in hot springs arkansas full-time')",what jobs are in hot springs arkansas,jobs in hot springs arkansas full-time,6,2,google,2025-10-30 01:27:09.237636,jobs in ward arkansas,what jobs are in arkansas
50,jobs in ward arkansas,"('what jobs are in hot springs arkansas', 'jobs in hot springs arkansas part time')",what jobs are in hot springs arkansas,jobs in hot springs arkansas part time,7,2,google,2025-10-30 01:27:09.237636,jobs in ward arkansas,what jobs are in arkansas
51,jobs in ward arkansas,"('what jobs are in hot springs arkansas', 'hot springs arkansas job openings')",what jobs are in hot springs arkansas,hot springs arkansas job openings,8,2,google,2025-10-30 01:27:09.237636,jobs in ward arkansas,what jobs are in arkansas
52,jobs in ward arkansas,"('what jobs are in little rock arkansas', 'what jobs are in arkansas')",what jobs are in little rock arkansas,what jobs are in arkansas,1,2,google,2025-10-30 01:27:10.149426,jobs in ward arkansas,what jobs are in arkansas
53,jobs in ward arkansas,"('what jobs are in little rock arkansas', 'what kind of jobs are in arkansas')",what jobs are in little rock arkansas,what kind of jobs are in arkansas,2,2,google,2025-10-30 01:27:10.149426,jobs in ward arkansas,what jobs are in arkansas
54,jobs in ward arkansas,"('what jobs are in little rock arkansas', 'is amazon hiring in little rock arkansas')",what jobs are in little rock arkansas,is amazon hiring in little rock arkansas,3,2,google,2025-10-30 01:27:10.149426,jobs in ward arkansas,what jobs are in arkansas
55,jobs in ward arkansas,"('what jobs are in little rock arkansas', 'little rock arkansas average income')",what jobs are in little rock arkansas,little rock arkansas average income,4,2,google,2025-10-30 01:27:10.149426,jobs in ward arkansas,what jobs are in arkansas
56,jobs in ward arkansas,"('what jobs are in little rock arkansas', 'jobs in little rock arkansas hiring')",what jobs are in little rock arkansas,jobs in little rock arkansas hiring,5,2,google,2025-10-30 01:27:10.149426,jobs in ward arkansas,what jobs are in arkansas
57,jobs in ward arkansas,"('what jobs hire felons in arkansas', 'what companies hire felons in arkansas')",what jobs hire felons in arkansas,what companies hire felons in arkansas,1,2,google,2025-10-30 01:27:11.582800,jobs in ward arkansas,what jobs are in arkansas
58,jobs in ward arkansas,"('what jobs hire felons in arkansas', 'jobs for felons in arkansas')",what jobs hire felons in arkansas,jobs for felons in arkansas,2,2,google,2025-10-30 01:27:11.582800,jobs in ward arkansas,what jobs are in arkansas
59,jobs in ward arkansas,"('what jobs hire felons in arkansas', 'what jobs hire felons')",what jobs hire felons in arkansas,what jobs hire felons,3,2,google,2025-10-30 01:27:11.582800,jobs in ward arkansas,what jobs are in arkansas
60,jobs in ward arkansas,"('what jobs hire felons in arkansas', 'what jobs hire felons in arizona')",what jobs hire felons in arkansas,what jobs hire felons in arizona,4,2,google,2025-10-30 01:27:11.582800,jobs in ward arkansas,what jobs are in arkansas
61,jobs in ward arkansas,"('what are the best jobs in arkansas', 'what are the highest paying jobs in arkansas')",what are the best jobs in arkansas,what are the highest paying jobs in arkansas,1,2,google,2025-10-30 01:27:12.670278,jobs in ward arkansas,what jobs are in arkansas
62,jobs in ward arkansas,"('what are the best jobs in arkansas', 'what are the best paying jobs in arkansas')",what are the best jobs in arkansas,what are the best paying jobs in arkansas,2,2,google,2025-10-30 01:27:12.670278,jobs in ward arkansas,what jobs are in arkansas
63,jobs in ward arkansas,"('what are the best jobs in arkansas', 'what are good jobs in arkansas')",what are the best jobs in arkansas,what are good jobs in arkansas,3,2,google,2025-10-30 01:27:12.670278,jobs in ward arkansas,what jobs are in arkansas
64,jobs in ward arkansas,"('what are the best jobs in arkansas', 'what are good paying jobs in arkansas')",what are the best jobs in arkansas,what are good paying jobs in arkansas,4,2,google,2025-10-30 01:27:12.670278,jobs in ward arkansas,what jobs are in arkansas
65,jobs in ward arkansas,"('what are the best jobs in arkansas', 'what jobs are in arkansas')",what are the best jobs in arkansas,what jobs are in arkansas,5,2,google,2025-10-30 01:27:12.670278,jobs in ward arkansas,what jobs are in arkansas
66,jobs in ward arkansas,"('what are the best jobs in arkansas', 'what kind of jobs are in arkansas')",what are the best jobs in arkansas,what kind of jobs are in arkansas,6,2,google,2025-10-30 01:27:12.670278,jobs in ward arkansas,what jobs are in arkansas
67,jobs in ward arkansas,"('what are the best jobs in arkansas', 'what are the most common jobs in arkansas')",what are the best jobs in arkansas,what are the most common jobs in arkansas,7,2,google,2025-10-30 01:27:12.670278,jobs in ward arkansas,what jobs are in arkansas
68,jobs in ward arkansas,"('what are the best jobs in arkansas', 'best job opportunities in arkansas')",what are the best jobs in arkansas,best job opportunities in arkansas,8,2,google,2025-10-30 01:27:12.670278,jobs in ward arkansas,what jobs are in arkansas
69,jobs in ward arkansas,"('what are high paying jobs in arkansas', 'what are the highest paying jobs in arkansas')",what are high paying jobs in arkansas,what are the highest paying jobs in arkansas,1,2,google,2025-10-30 01:27:13.708586,jobs in ward arkansas,what jobs are in arkansas
70,jobs in ward arkansas,"('what are high paying jobs in arkansas', ""what are the 4 highest paying jobs in arkansas with a bachelor's degree"")",what are high paying jobs in arkansas,what are the 4 highest paying jobs in arkansas with a bachelor's degree,2,2,google,2025-10-30 01:27:13.708586,jobs in ward arkansas,what jobs are in arkansas
71,jobs in ward arkansas,"('what are high paying jobs in arkansas', 'what are the best paying jobs in arkansas')",what are high paying jobs in arkansas,what are the best paying jobs in arkansas,3,2,google,2025-10-30 01:27:13.708586,jobs in ward arkansas,what jobs are in arkansas
72,jobs in ward arkansas,"('what are high paying jobs in arkansas', 'high paying jobs in arkansas no experience')",what are high paying jobs in arkansas,high paying jobs in arkansas no experience,4,2,google,2025-10-30 01:27:13.708586,jobs in ward arkansas,what jobs are in arkansas
73,jobs in ward arkansas,"('what are high paying jobs in arkansas', 'high paying jobs in arkansas without a degree')",what are high paying jobs in arkansas,high paying jobs in arkansas without a degree,5,2,google,2025-10-30 01:27:13.708586,jobs in ward arkansas,what jobs are in arkansas
74,jobs in ward arkansas,"('what are high paying jobs in arkansas', 'what is the highest paid job in arkansas')",what are high paying jobs in arkansas,what is the highest paid job in arkansas,6,2,google,2025-10-30 01:27:13.708586,jobs in ward arkansas,what jobs are in arkansas
75,jobs in ward arkansas,"('what are high paying jobs in arkansas', 'highest paying jobs in arkansas without a degree')",what are high paying jobs in arkansas,highest paying jobs in arkansas without a degree,7,2,google,2025-10-30 01:27:13.708586,jobs in ward arkansas,what jobs are in arkansas
76,jobs in ward arkansas,"('what are high paying jobs in arkansas', 'what is a good salary in arkansas')",what are high paying jobs in arkansas,what is a good salary in arkansas,8,2,google,2025-10-30 01:27:13.708586,jobs in ward arkansas,what jobs are in arkansas
77,jobs in ward arkansas,"('what are high paying jobs in arkansas', 'what are the top 5 paying jobs in arkansas')",what are high paying jobs in arkansas,what are the top 5 paying jobs in arkansas,9,2,google,2025-10-30 01:27:13.708586,jobs in ward arkansas,what jobs are in arkansas
78,jobs in ward arkansas,"('what are the highest paying jobs in arkansas', 'what are the best paying jobs in arkansas')",what are the highest paying jobs in arkansas,what are the best paying jobs in arkansas,1,2,google,2025-10-30 01:27:14.877494,jobs in ward arkansas,what jobs are in arkansas
79,jobs in ward arkansas,"('what are the highest paying jobs in arkansas', ""what are the 4 highest paying jobs in arkansas with a bachelor's degree"")",what are the highest paying jobs in arkansas,what are the 4 highest paying jobs in arkansas with a bachelor's degree,2,2,google,2025-10-30 01:27:14.877494,jobs in ward arkansas,what jobs are in arkansas
80,jobs in ward arkansas,"('what are the highest paying jobs in arkansas', 'what are high paying jobs in arkansas')",what are the highest paying jobs in arkansas,what are high paying jobs in arkansas,3,2,google,2025-10-30 01:27:14.877494,jobs in ward arkansas,what jobs are in arkansas
81,jobs in ward arkansas,"('what are the highest paying jobs in arkansas', 'what is the highest paid job in arkansas')",what are the highest paying jobs in arkansas,what is the highest paid job in arkansas,4,2,google,2025-10-30 01:27:14.877494,jobs in ward arkansas,what jobs are in arkansas
82,jobs in ward arkansas,"('what are the highest paying jobs in arkansas', 'highest paying jobs in arkansas without a degree')",what are the highest paying jobs in arkansas,highest paying jobs in arkansas without a degree,5,2,google,2025-10-30 01:27:14.877494,jobs in ward arkansas,what jobs are in arkansas
83,jobs in ward arkansas,"('what are the highest paying jobs in arkansas', 'what is a good salary in arkansas')",what are the highest paying jobs in arkansas,what is a good salary in arkansas,6,2,google,2025-10-30 01:27:14.877494,jobs in ward arkansas,what jobs are in arkansas
84,jobs in ward arkansas,"('what are the highest paying jobs in arkansas', 'what are the top 5 paying jobs in arkansas')",what are the highest paying jobs in arkansas,what are the top 5 paying jobs in arkansas,7,2,google,2025-10-30 01:27:14.877494,jobs in ward arkansas,what jobs are in arkansas
85,jobs in ward arkansas,"('what are the highest paying jobs in arkansas', 'whats the highest paying job in arkansas')",what are the highest paying jobs in arkansas,whats the highest paying job in arkansas,8,2,google,2025-10-30 01:27:14.877494,jobs in ward arkansas,what jobs are in arkansas
86,jobs in ward arkansas,"('what kind of work is in arkansas', 'what kind of jobs are in arkansas')",what kind of work is in arkansas,what kind of jobs are in arkansas,1,2,google,2025-10-30 01:27:15.899309,jobs in ward arkansas,what kind of jobs are in arkansas
87,jobs in ward arkansas,"('what kind of work is in arkansas', 'what jobs are in arkansas')",what kind of work is in arkansas,what jobs are in arkansas,2,2,google,2025-10-30 01:27:15.899309,jobs in ward arkansas,what kind of jobs are in arkansas
88,jobs in ward arkansas,"('what kind of work is in arkansas', 'what jobs are in demand in arkansas')",what kind of work is in arkansas,what jobs are in demand in arkansas,3,2,google,2025-10-30 01:27:15.899309,jobs in ward arkansas,what kind of jobs are in arkansas
89,jobs in ward arkansas,"('what kind of work is in arkansas', 'what kind of work is of')",what kind of work is in arkansas,what kind of work is of,4,2,google,2025-10-30 01:27:15.899309,jobs in ward arkansas,what kind of jobs are in arkansas
90,jobs in ward arkansas,"('what kind of work is in arkansas', 'types of jobs in arkansas')",what kind of work is in arkansas,types of jobs in arkansas,5,2,google,2025-10-30 01:27:15.899309,jobs in ward arkansas,what kind of jobs are in arkansas
91,jobs in ward arkansas,"('what jobs are in demand in arkansas', 'high demand jobs in arkansas')",what jobs are in demand in arkansas,high demand jobs in arkansas,1,2,google,2025-10-30 01:27:16.884095,jobs in ward arkansas,what kind of jobs are in arkansas
92,jobs in ward arkansas,"('what jobs are in demand in arkansas', 'jobs in demand in arkansas 2021')",what jobs are in demand in arkansas,jobs in demand in arkansas 2021,2,2,google,2025-10-30 01:27:16.884095,jobs in ward arkansas,what kind of jobs are in arkansas
93,jobs in ward arkansas,"('what jobs are in demand in arkansas', 'what jobs are in arkansas')",what jobs are in demand in arkansas,what jobs are in arkansas,3,2,google,2025-10-30 01:27:16.884095,jobs in ward arkansas,what kind of jobs are in arkansas
94,jobs in ward arkansas,"('what kind of jobs are in kansas', 'what kind of jobs are in wichita kansas')",what kind of jobs are in kansas,what kind of jobs are in wichita kansas,1,2,google,2025-10-30 01:27:18.200536,jobs in ward arkansas,what kind of jobs are in arkansas
95,jobs in ward arkansas,"('what kind of jobs are in kansas', 'state of kansas job openings')",what kind of jobs are in kansas,state of kansas job openings,2,2,google,2025-10-30 01:27:18.200536,jobs in ward arkansas,what kind of jobs are in arkansas
96,jobs in ward arkansas,"('what kind of jobs are in kansas', 'what jobs are in demand in kansas')",what kind of jobs are in kansas,what jobs are in demand in kansas,3,2,google,2025-10-30 01:27:18.200536,jobs in ward arkansas,what kind of jobs are in arkansas
97,jobs in ward arkansas,"('what kind of jobs are in kansas', 'what jobs are in kansas')",what kind of jobs are in kansas,what jobs are in kansas,4,2,google,2025-10-30 01:27:18.200536,jobs in ward arkansas,what kind of jobs are in arkansas
98,jobs in ward arkansas,"('what kind of jobs are in kansas', 'what jobs are in kansas city')",what kind of jobs are in kansas,what jobs are in kansas city,5,2,google,2025-10-30 01:27:18.200536,jobs in ward arkansas,what kind of jobs are in arkansas
