,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in warrior alabama,"('jobs in warrior alabama', 'jobs hiring in warrior al')",jobs in warrior alabama,jobs hiring in warrior al,1,0,google,2025-10-29 15:25:01.340148,,
1,jobs in warrior alabama,"('jobs in warrior alabama', 'jobs in warrior al')",jobs in warrior alabama,jobs in warrior al,2,0,google,2025-10-29 15:25:01.340148,,
2,jobs in warrior alabama,"('jobs hiring in warrior al', 'jobs hiring in hayden al')",jobs hiring in warrior al,jobs hiring in hayden al,1,1,google,2025-10-29 15:25:02.834579,,jobs in warrior alabama
3,jobs in warrior alabama,"('jobs hiring in warrior al', 'jobs near warrior al')",jobs hiring in warrior al,jobs near warrior al,2,1,google,2025-10-29 15:25:02.834579,,jobs in warrior alabama
4,jobs in warrior alabama,"('jobs hiring in warrior al', 'jobs near hayden al')",jobs hiring in warrior al,jobs near hayden al,3,1,google,2025-10-29 15:25:02.834579,,jobs in warrior alabama
5,jobs in warrior alabama,"('jobs hiring in warrior al', 'jobs in warrior alabama')",jobs hiring in warrior al,jobs in warrior alabama,4,1,google,2025-10-29 15:25:02.834579,,jobs in warrior alabama
6,jobs in warrior alabama,"('jobs in warrior al', 'hiring in warrior al')",jobs in warrior al,hiring in warrior al,1,1,google,2025-10-29 15:25:04.230254,,jobs in warrior alabama
7,jobs in warrior alabama,"('jobs in warrior al', 'jobs hiring in warrior al')",jobs in warrior al,jobs hiring in warrior al,2,1,google,2025-10-29 15:25:04.230254,,jobs in warrior alabama
8,jobs in warrior alabama,"('jobs in warrior al', 'part time jobs in warrior al')",jobs in warrior al,part time jobs in warrior al,3,1,google,2025-10-29 15:25:04.230254,,jobs in warrior alabama
9,jobs in warrior alabama,"('jobs in warrior al', 'jobs at warrior allegiance')",jobs in warrior al,jobs at warrior allegiance,4,1,google,2025-10-29 15:25:04.230254,,jobs in warrior alabama
10,jobs in warrior alabama,"('jobs in warrior al', 'jobs warrior al in the last 3 days')",jobs in warrior al,jobs warrior al in the last 3 days,5,1,google,2025-10-29 15:25:04.230254,,jobs in warrior alabama
11,jobs in warrior alabama,"('jobs in warrior al', 'jobs in warrior alabama')",jobs in warrior al,jobs in warrior alabama,6,1,google,2025-10-29 15:25:04.230254,,jobs in warrior alabama
12,jobs in warrior alabama,"('jobs hiring in hayden al', 'jobs hiring in warrior al')",jobs hiring in hayden al,jobs hiring in warrior al,1,2,google,2025-10-29 15:25:05.662137,jobs in warrior alabama,jobs hiring in warrior al
13,jobs in warrior alabama,"('jobs hiring in hayden al', 'jobs near hayden alabama')",jobs hiring in hayden al,jobs near hayden alabama,2,2,google,2025-10-29 15:25:05.662137,jobs in warrior alabama,jobs hiring in warrior al
14,jobs in warrior alabama,"('jobs hiring in hayden al', 'jobs near warrior al')",jobs hiring in hayden al,jobs near warrior al,3,2,google,2025-10-29 15:25:05.662137,jobs in warrior alabama,jobs hiring in warrior al
15,jobs in warrior alabama,"('jobs hiring in hayden al', 'jobs in hayden al')",jobs hiring in hayden al,jobs in hayden al,4,2,google,2025-10-29 15:25:05.662137,jobs in warrior alabama,jobs hiring in warrior al
16,jobs in warrior alabama,"('jobs near warrior al', 'jobs near hayden alabama')",jobs near warrior al,jobs near hayden alabama,1,2,google,2025-10-29 15:25:06.466308,jobs in warrior alabama,jobs hiring in warrior al
17,jobs in warrior alabama,"('jobs near warrior al', 'jobs hiring near warrior al')",jobs near warrior al,jobs hiring near warrior al,2,2,google,2025-10-29 15:25:06.466308,jobs in warrior alabama,jobs hiring in warrior al
18,jobs in warrior alabama,"('jobs near warrior al', 'part time jobs near warrior al')",jobs near warrior al,part time jobs near warrior al,3,2,google,2025-10-29 15:25:06.466308,jobs in warrior alabama,jobs hiring in warrior al
19,jobs in warrior alabama,"('jobs near warrior al', 'jobs hiring near hayden al')",jobs near warrior al,jobs hiring near hayden al,4,2,google,2025-10-29 15:25:06.466308,jobs in warrior alabama,jobs hiring in warrior al
20,jobs in warrior alabama,"('jobs near warrior al', 'jobs near warrior alabama')",jobs near warrior al,jobs near warrior alabama,5,2,google,2025-10-29 15:25:06.466308,jobs in warrior alabama,jobs hiring in warrior al
21,jobs in warrior alabama,"('jobs near hayden al', 'jobs near hayden alabama')",jobs near hayden al,jobs near hayden alabama,1,2,google,2025-10-29 15:25:07.438979,jobs in warrior alabama,jobs hiring in warrior al
22,jobs in warrior alabama,"('jobs near hayden al', 'jobs near warrior al')",jobs near hayden al,jobs near warrior al,2,2,google,2025-10-29 15:25:07.438979,jobs in warrior alabama,jobs hiring in warrior al
23,jobs in warrior alabama,"('jobs near hayden al', 'jobs hiring near hayden al')",jobs near hayden al,jobs hiring near hayden al,3,2,google,2025-10-29 15:25:07.438979,jobs in warrior alabama,jobs hiring in warrior al
24,jobs in warrior alabama,"('jobs near hayden al', 'jobs hiring near warrior al')",jobs near hayden al,jobs hiring near warrior al,4,2,google,2025-10-29 15:25:07.438979,jobs in warrior alabama,jobs hiring in warrior al
