,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in washington arkansas,"('jobs in washington arkansas', 'jobs in washington county arkansas')",jobs in washington arkansas,jobs in washington county arkansas,1,0,google,2025-10-30 19:59:04.061519,,
1,jobs in washington arkansas,"('jobs in washington arkansas', 'jobs in arkansas work from home')",jobs in washington arkansas,jobs in arkansas work from home,2,0,google,2025-10-30 19:59:04.061519,,
2,jobs in washington arkansas,"('jobs in washington arkansas', 'jobs in washington ok')",jobs in washington arkansas,jobs in washington ok,3,0,google,2025-10-30 19:59:04.061519,,
3,jobs in washington arkansas,"('jobs in washington county arkansas', 'jobs near washington county ar')",jobs in washington county arkansas,jobs near washington county ar,1,1,google,2025-10-30 19:59:05.370172,,jobs in washington arkansas
4,jobs in washington arkansas,"('jobs in washington county arkansas', 'washington county arkansas employment')",jobs in washington county arkansas,washington county arkansas employment,2,1,google,2025-10-30 19:59:05.370172,,jobs in washington arkansas
5,jobs in washington arkansas,"('jobs in arkansas work from home', 'amazon jobs arkansas work from home')",jobs in arkansas work from home,amazon jobs arkansas work from home,1,1,google,2025-10-30 19:59:06.528236,,jobs in washington arkansas
6,jobs in washington arkansas,"('jobs in arkansas work from home', 'entergy jobs arkansas work from home')",jobs in arkansas work from home,entergy jobs arkansas work from home,2,1,google,2025-10-30 19:59:06.528236,,jobs in washington arkansas
7,jobs in washington arkansas,"('jobs in arkansas work from home', 'usda jobs arkansas work from home')",jobs in arkansas work from home,usda jobs arkansas work from home,3,1,google,2025-10-30 19:59:06.528236,,jobs in washington arkansas
8,jobs in washington arkansas,"('jobs in arkansas work from home', 'amazon jobs in little rock arkansas work from home')",jobs in arkansas work from home,amazon jobs in little rock arkansas work from home,4,1,google,2025-10-30 19:59:06.528236,,jobs in washington arkansas
9,jobs in washington arkansas,"('jobs in arkansas work from home', 'arkansas work from home jobs')",jobs in arkansas work from home,arkansas work from home jobs,5,1,google,2025-10-30 19:59:06.528236,,jobs in washington arkansas
10,jobs in washington arkansas,"('jobs in arkansas work from home', 'ar caller jobs in work from home')",jobs in arkansas work from home,ar caller jobs in work from home,6,1,google,2025-10-30 19:59:06.528236,,jobs in washington arkansas
11,jobs in washington arkansas,"('jobs in arkansas work from home', 'arkansas work from home jobs no experience')",jobs in arkansas work from home,arkansas work from home jobs no experience,7,1,google,2025-10-30 19:59:06.528236,,jobs in washington arkansas
12,jobs in washington arkansas,"('jobs in arkansas work from home', 'ar jobs in bangalore work from home')",jobs in arkansas work from home,ar jobs in bangalore work from home,8,1,google,2025-10-30 19:59:06.528236,,jobs in washington arkansas
13,jobs in washington arkansas,"('jobs in arkansas work from home', 'indeed remote jobs arkansas work from home')",jobs in arkansas work from home,indeed remote jobs arkansas work from home,9,1,google,2025-10-30 19:59:06.528236,,jobs in washington arkansas
14,jobs in washington arkansas,"('jobs in arkansas work from home', 'amazon remote jobs arkansas work from home')",jobs in arkansas work from home,amazon remote jobs arkansas work from home,10,1,google,2025-10-30 19:59:06.528236,,jobs in washington arkansas
15,jobs in washington arkansas,"('jobs in washington ok', 'jobs in okanogan washington')",jobs in washington ok,jobs in okanogan washington,1,1,google,2025-10-30 19:59:07.977398,,jobs in washington arkansas
