,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in wasilla alaska,"('jobs in wasilla alaska', 'jobs in wasilla alaska no degree')",jobs in wasilla alaska,jobs in wasilla alaska no degree,1,0,google,2025-10-28 17:15:08.171269,,
1,jobs in wasilla alaska,"('jobs in wasilla alaska', 'jobs in wasilla alaska remote')",jobs in wasilla alaska,jobs in wasilla alaska remote,2,0,google,2025-10-28 17:15:08.171269,,
2,jobs in wasilla alaska,"('jobs in wasilla alaska', 'jobs in wasilla alaska full time')",jobs in wasilla alaska,jobs in wasilla alaska full time,3,0,google,2025-10-28 17:15:08.171269,,
3,jobs in wasilla alaska,"('jobs in wasilla alaska', 'hiring in wasilla alaska')",jobs in wasilla alaska,hiring in wasilla alaska,4,0,google,2025-10-28 17:15:08.171269,,
4,jobs in wasilla alaska,"('jobs in wasilla alaska', 'employment in wasilla alaska')",jobs in wasilla alaska,employment in wasilla alaska,5,0,google,2025-10-28 17:15:08.171269,,
5,jobs in wasilla alaska,"('jobs in wasilla alaska', 'jobs in wasilla ak for 16 year olds')",jobs in wasilla alaska,jobs in wasilla ak for 16 year olds,6,0,google,2025-10-28 17:15:08.171269,,
6,jobs in wasilla alaska,"('jobs in wasilla alaska', 'jobs hiring in wasilla alaska')",jobs in wasilla alaska,jobs hiring in wasilla alaska,7,0,google,2025-10-28 17:15:08.171269,,
7,jobs in wasilla alaska,"('jobs in wasilla alaska', 'nursing jobs in wasilla alaska')",jobs in wasilla alaska,nursing jobs in wasilla alaska,8,0,google,2025-10-28 17:15:08.171269,,
8,jobs in wasilla alaska,"('jobs in wasilla alaska', 'teaching jobs in wasilla alaska')",jobs in wasilla alaska,teaching jobs in wasilla alaska,9,0,google,2025-10-28 17:15:08.171269,,
9,jobs in wasilla alaska,"('jobs in wasilla alaska no degree', 'jobs wasilla ak no degree')",jobs in wasilla alaska no degree,jobs wasilla ak no degree,1,1,google,2025-10-28 17:15:09.304482,,jobs in wasilla alaska
10,jobs in wasilla alaska,"('jobs in wasilla alaska no degree', 'what jobs are available in alaska')",jobs in wasilla alaska no degree,what jobs are available in alaska,2,1,google,2025-10-28 17:15:09.304482,,jobs in wasilla alaska
11,jobs in wasilla alaska,"('jobs in wasilla alaska no degree', 'alaska jobs in demand')",jobs in wasilla alaska no degree,alaska jobs in demand,3,1,google,2025-10-28 17:15:09.304482,,jobs in wasilla alaska
12,jobs in wasilla alaska,"('jobs in wasilla alaska no degree', 'jobs wasilla.alaska')",jobs in wasilla alaska no degree,jobs wasilla.alaska,4,1,google,2025-10-28 17:15:09.304482,,jobs in wasilla alaska
