,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in wedowee alabama,"('jobs in wedowee alabama', 'jobs in roanoke alabama')",jobs in wedowee alabama,jobs in roanoke alabama,1,0,google,2025-10-29 15:28:00.473904,,
1,jobs in wedowee alabama,"('jobs in wedowee alabama', 'jobs hiring in wedowee alabama')",jobs in wedowee alabama,jobs hiring in wedowee alabama,2,0,google,2025-10-29 15:28:00.473904,,
2,jobs in wedowee alabama,"('jobs in wedowee alabama', 'jobs hiring in roanoke alabama')",jobs in wedowee alabama,jobs hiring in roanoke alabama,3,0,google,2025-10-29 15:28:00.473904,,
3,jobs in wedowee alabama,"('jobs in wedowee alabama', 'jobs in wedowee')",jobs in wedowee alabama,jobs in wedowee,4,0,google,2025-10-29 15:28:00.473904,,
4,jobs in wedowee alabama,"('jobs in roanoke alabama', 'jobs hiring in roanoke alabama')",jobs in roanoke alabama,jobs hiring in roanoke alabama,1,1,google,2025-10-29 15:28:01.354111,,jobs in wedowee alabama
5,jobs in wedowee alabama,"('jobs in roanoke alabama', 'job openings in roanoke alabama')",jobs in roanoke alabama,job openings in roanoke alabama,2,1,google,2025-10-29 15:28:01.354111,,jobs in wedowee alabama
6,jobs in wedowee alabama,"('jobs in roanoke alabama', 'part time jobs in roanoke alabama')",jobs in roanoke alabama,part time jobs in roanoke alabama,3,1,google,2025-10-29 15:28:01.354111,,jobs in wedowee alabama
7,jobs in wedowee alabama,"('jobs in roanoke alabama', 'places hiring in roanoke alabama')",jobs in roanoke alabama,places hiring in roanoke alabama,4,1,google,2025-10-29 15:28:01.354111,,jobs in wedowee alabama
8,jobs in wedowee alabama,"('jobs in roanoke alabama', 'jobs in roanoke al')",jobs in roanoke alabama,jobs in roanoke al,5,1,google,2025-10-29 15:28:01.354111,,jobs in wedowee alabama
9,jobs in wedowee alabama,"('jobs in roanoke alabama', 'jobs in roanoke.va')",jobs in roanoke alabama,jobs in roanoke.va,6,1,google,2025-10-29 15:28:01.354111,,jobs in wedowee alabama
10,jobs in wedowee alabama,"('jobs hiring in wedowee alabama', 'jobs hiring in roanoke alabama')",jobs hiring in wedowee alabama,jobs hiring in roanoke alabama,1,1,google,2025-10-29 15:28:02.311541,,jobs in wedowee alabama
11,jobs in wedowee alabama,"('jobs hiring in wedowee alabama', 'jobs near wedowee alabama')",jobs hiring in wedowee alabama,jobs near wedowee alabama,2,1,google,2025-10-29 15:28:02.311541,,jobs in wedowee alabama
12,jobs in wedowee alabama,"('jobs hiring in wedowee alabama', 'jobs hiring near wedowee al')",jobs hiring in wedowee alabama,jobs hiring near wedowee al,3,1,google,2025-10-29 15:28:02.311541,,jobs in wedowee alabama
13,jobs in wedowee alabama,"('jobs hiring in wedowee alabama', 'jobs near roanoke alabama')",jobs hiring in wedowee alabama,jobs near roanoke alabama,4,1,google,2025-10-29 15:28:02.311541,,jobs in wedowee alabama
14,jobs in wedowee alabama,"('jobs hiring in roanoke alabama', 'job openings in roanoke alabama')",jobs hiring in roanoke alabama,job openings in roanoke alabama,1,1,google,2025-10-29 15:28:03.487606,,jobs in wedowee alabama
15,jobs in wedowee alabama,"('jobs hiring in roanoke alabama', 'jobs near roanoke alabama')",jobs hiring in roanoke alabama,jobs near roanoke alabama,2,1,google,2025-10-29 15:28:03.487606,,jobs in wedowee alabama
16,jobs in wedowee alabama,"('jobs hiring in roanoke alabama', 'jobs hiring near roanoke al')",jobs hiring in roanoke alabama,jobs hiring near roanoke al,3,1,google,2025-10-29 15:28:03.487606,,jobs in wedowee alabama
17,jobs in wedowee alabama,"('jobs hiring in roanoke alabama', 'jobs hiring in roanoke rapids')",jobs hiring in roanoke alabama,jobs hiring in roanoke rapids,4,1,google,2025-10-29 15:28:03.487606,,jobs in wedowee alabama
18,jobs in wedowee alabama,"('jobs in wedowee', 'jobs in wedowee al')",jobs in wedowee,jobs in wedowee al,1,1,google,2025-10-29 15:28:04.749092,,jobs in wedowee alabama
19,jobs in wedowee alabama,"('jobs in wedowee', 'jobs hiring in wedowee al')",jobs in wedowee,jobs hiring in wedowee al,2,1,google,2025-10-29 15:28:04.749092,,jobs in wedowee alabama
20,jobs in wedowee alabama,"('jobs in wedowee', 'part time jobs in wedowee al')",jobs in wedowee,part time jobs in wedowee al,3,1,google,2025-10-29 15:28:04.749092,,jobs in wedowee alabama
21,jobs in wedowee alabama,"('jobs in wedowee', 'jobs in wedowee alabama')",jobs in wedowee,jobs in wedowee alabama,4,1,google,2025-10-29 15:28:04.749092,,jobs in wedowee alabama
22,jobs in wedowee alabama,"('job openings in roanoke alabama', 'jobs hiring in roanoke alabama')",job openings in roanoke alabama,jobs hiring in roanoke alabama,1,2,google,2025-10-29 15:28:06.179450,jobs in wedowee alabama jobs in wedowee alabama,jobs in roanoke alabama jobs hiring in roanoke alabama
23,jobs in wedowee alabama,"('job openings in roanoke alabama', 'roanoke alabama jobs')",job openings in roanoke alabama,roanoke alabama jobs,2,2,google,2025-10-29 15:28:06.179450,jobs in wedowee alabama jobs in wedowee alabama,jobs in roanoke alabama jobs hiring in roanoke alabama
24,jobs in wedowee alabama,"('job openings in roanoke alabama', 'job openings in roanoke va')",job openings in roanoke alabama,job openings in roanoke va,3,2,google,2025-10-29 15:28:06.179450,jobs in wedowee alabama jobs in wedowee alabama,jobs in roanoke alabama jobs hiring in roanoke alabama
25,jobs in wedowee alabama,"('job openings in roanoke alabama', 'job openings in roanoke rapids nc')",job openings in roanoke alabama,job openings in roanoke rapids nc,4,2,google,2025-10-29 15:28:06.179450,jobs in wedowee alabama jobs in wedowee alabama,jobs in roanoke alabama jobs hiring in roanoke alabama
26,jobs in wedowee alabama,"('part time jobs in roanoke alabama', 'full time jobs in roanoke al')",part time jobs in roanoke alabama,full time jobs in roanoke al,1,2,google,2025-10-29 15:28:06.936268,jobs in wedowee alabama,jobs in roanoke alabama
