,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in west fork arkansas,"('jobs in west fork arkansas', 'jobs near west fork ar')",jobs in west fork arkansas,jobs near west fork ar,1,0,google,2025-10-30 01:35:10.631411,,
1,jobs in west fork arkansas,"('jobs near west fork ar', 'jobs in west fork arkansas')",jobs near west fork ar,jobs in west fork arkansas,1,1,google,2025-10-30 01:35:11.509483,,jobs in west fork arkansas
2,jobs in west fork arkansas,"('jobs near west fork ar', 'jobs near west frankfort il')",jobs near west fork ar,jobs near west frankfort il,2,1,google,2025-10-30 01:35:11.509483,,jobs in west fork arkansas
3,jobs in west fork arkansas,"('jobs near west fork ar', 'jobs near foreman ar')",jobs near west fork ar,jobs near foreman ar,3,1,google,2025-10-30 01:35:11.509483,,jobs in west fork arkansas
4,jobs in west fork arkansas,"('jobs near west frankfort il', 'jobs hiring near west frankfort il')",jobs near west frankfort il,jobs hiring near west frankfort il,1,2,google,2025-10-30 01:35:12.900548,jobs in west fork arkansas,jobs near west fork ar
5,jobs in west fork arkansas,"('jobs near west frankfort il', 'indeed jobs near west frankfort il')",jobs near west frankfort il,indeed jobs near west frankfort il,2,2,google,2025-10-30 01:35:12.900548,jobs in west fork arkansas,jobs near west fork ar
6,jobs in west fork arkansas,"('jobs near west frankfort il', 'part time jobs near west frankfort il')",jobs near west frankfort il,part time jobs near west frankfort il,3,2,google,2025-10-30 01:35:12.900548,jobs in west fork arkansas,jobs near west fork ar
7,jobs in west fork arkansas,"('jobs near west frankfort il', 'full time jobs near west frankfort il')",jobs near west frankfort il,full time jobs near west frankfort il,4,2,google,2025-10-30 01:35:12.900548,jobs in west fork arkansas,jobs near west fork ar
8,jobs in west fork arkansas,"('jobs near west frankfort il', 'jobs west frankfort illinois')",jobs near west frankfort il,jobs west frankfort illinois,5,2,google,2025-10-30 01:35:12.900548,jobs in west fork arkansas,jobs near west fork ar
9,jobs in west fork arkansas,"('jobs near west frankfort il', 'jobs near frankfort illinois')",jobs near west frankfort il,jobs near frankfort illinois,6,2,google,2025-10-30 01:35:12.900548,jobs in west fork arkansas,jobs near west fork ar
10,jobs in west fork arkansas,"('jobs near foreman ar', 'jobs near ashdown ar')",jobs near foreman ar,jobs near ashdown ar,1,2,google,2025-10-30 01:35:13.958423,jobs in west fork arkansas,jobs near west fork ar
11,jobs in west fork arkansas,"('jobs near foreman ar', 'jobs hiring near ashdown ar')",jobs near foreman ar,jobs hiring near ashdown ar,2,2,google,2025-10-30 01:35:13.958423,jobs in west fork arkansas,jobs near west fork ar
12,jobs in west fork arkansas,"('jobs near foreman ar', 'how to become a general foreman')",jobs near foreman ar,how to become a general foreman,3,2,google,2025-10-30 01:35:13.958423,jobs in west fork arkansas,jobs near west fork ar
13,jobs in west fork arkansas,"('jobs near foreman ar', 'how to become a foreman')",jobs near foreman ar,how to become a foreman,4,2,google,2025-10-30 01:35:13.958423,jobs in west fork arkansas,jobs near west fork ar
14,jobs in west fork arkansas,"('jobs near foreman ar', 'general foreman tree jobs')",jobs near foreman ar,general foreman tree jobs,5,2,google,2025-10-30 01:35:13.958423,jobs in west fork arkansas,jobs near west fork ar
15,jobs in west fork arkansas,"('jobs near foreman ar', 'foreman salary')",jobs near foreman ar,foreman salary,6,2,google,2025-10-30 01:35:13.958423,jobs in west fork arkansas,jobs near west fork ar
16,jobs in west fork arkansas,"('jobs near foreman ar', 'jobs in foreman arkansas')",jobs near foreman ar,jobs in foreman arkansas,7,2,google,2025-10-30 01:35:13.958423,jobs in west fork arkansas,jobs near west fork ar
17,jobs in west fork arkansas,"('jobs near foreman ar', 'jobs near forney tx')",jobs near foreman ar,jobs near forney tx,8,2,google,2025-10-30 01:35:13.958423,jobs in west fork arkansas,jobs near west fork ar
18,jobs in west fork arkansas,"('jobs hiring near west frankfort il', 'jobs in west frankfort il')",jobs hiring near west frankfort il,jobs in west frankfort il,1,3,google,2025-10-30 01:35:15.019748,jobs near west fork ar,jobs near west frankfort il
19,jobs in west fork arkansas,"('jobs hiring near west frankfort il', 'places hiring west frankfort il')",jobs hiring near west frankfort il,places hiring west frankfort il,2,3,google,2025-10-30 01:35:15.019748,jobs near west fork ar,jobs near west frankfort il
20,jobs in west fork arkansas,"('indeed jobs near west frankfort il', 'indeed jobs west frankfort il part time')",indeed jobs near west frankfort il,indeed jobs west frankfort il part time,1,3,google,2025-10-30 01:35:16.216397,jobs near west fork ar,jobs near west frankfort il
21,jobs in west fork arkansas,"('indeed jobs near west frankfort il', 'west frankfort il jobs')",indeed jobs near west frankfort il,west frankfort il jobs,2,3,google,2025-10-30 01:35:16.216397,jobs near west fork ar,jobs near west frankfort il
22,jobs in west fork arkansas,"('indeed jobs near west frankfort il', 'west frankfort jobs')",indeed jobs near west frankfort il,west frankfort jobs,3,3,google,2025-10-30 01:35:16.216397,jobs near west fork ar,jobs near west frankfort il
23,jobs in west fork arkansas,"('indeed jobs near west frankfort il', 'jobs hiring near west frankfort il')",indeed jobs near west frankfort il,jobs hiring near west frankfort il,4,3,google,2025-10-30 01:35:16.216397,jobs near west fork ar,jobs near west frankfort il
24,jobs in west fork arkansas,"('indeed jobs near west frankfort il', 'indeed frankfort il')",indeed jobs near west frankfort il,indeed frankfort il,5,3,google,2025-10-30 01:35:16.216397,jobs near west fork ar,jobs near west frankfort il
25,jobs in west fork arkansas,"('part time jobs near west frankfort il', 'full time jobs near west frankfort il')",part time jobs near west frankfort il,full time jobs near west frankfort il,1,3,google,2025-10-30 01:35:17.354337,jobs near west fork ar,jobs near west frankfort il
26,jobs in west fork arkansas,"('part time jobs near west frankfort il', 'part time jobs near frankfort il')",part time jobs near west frankfort il,part time jobs near frankfort il,2,3,google,2025-10-30 01:35:17.354337,jobs near west fork ar,jobs near west frankfort il
27,jobs in west fork arkansas,"('part time jobs near west frankfort il', 'part time jobs near frankfort')",part time jobs near west frankfort il,part time jobs near frankfort,3,3,google,2025-10-30 01:35:17.354337,jobs near west fork ar,jobs near west frankfort il
28,jobs in west fork arkansas,"('part time jobs near west frankfort il', 'part time jobs in frankfort illinois')",part time jobs near west frankfort il,part time jobs in frankfort illinois,4,3,google,2025-10-30 01:35:17.354337,jobs near west fork ar,jobs near west frankfort il
29,jobs in west fork arkansas,"('full time jobs near west frankfort il', 'part time jobs near west frankfort il')",full time jobs near west frankfort il,part time jobs near west frankfort il,1,3,google,2025-10-30 01:35:18.181708,jobs near west fork ar,jobs near west frankfort il
30,jobs in west fork arkansas,"('full time jobs near west frankfort il', 'jobs hiring near west frankfort il')",full time jobs near west frankfort il,jobs hiring near west frankfort il,2,3,google,2025-10-30 01:35:18.181708,jobs near west fork ar,jobs near west frankfort il
31,jobs in west fork arkansas,"('full time jobs near west frankfort il', 'full time jobs in frankfort ky')",full time jobs near west frankfort il,full time jobs in frankfort ky,3,3,google,2025-10-30 01:35:18.181708,jobs near west fork ar,jobs near west frankfort il
32,jobs in west fork arkansas,"('full time jobs near west frankfort il', 'jobs near west frankfort il')",full time jobs near west frankfort il,jobs near west frankfort il,4,3,google,2025-10-30 01:35:18.181708,jobs near west fork ar,jobs near west frankfort il
33,jobs in west fork arkansas,"('jobs west frankfort illinois', 'jobs west frankfort il')",jobs west frankfort illinois,jobs west frankfort il,1,3,google,2025-10-30 01:35:19.486165,jobs near west fork ar,jobs near west frankfort il
34,jobs in west fork arkansas,"('jobs west frankfort illinois', 'jobs hiring in west frankfort illinois')",jobs west frankfort illinois,jobs hiring in west frankfort illinois,2,3,google,2025-10-30 01:35:19.486165,jobs near west fork ar,jobs near west frankfort il
35,jobs in west fork arkansas,"('jobs west frankfort illinois', 'indeed jobs west frankfort il')",jobs west frankfort illinois,indeed jobs west frankfort il,3,3,google,2025-10-30 01:35:19.486165,jobs near west fork ar,jobs near west frankfort il
36,jobs in west fork arkansas,"('jobs west frankfort illinois', 'kroger jobs west frankfort il')",jobs west frankfort illinois,kroger jobs west frankfort il,4,3,google,2025-10-30 01:35:19.486165,jobs near west fork ar,jobs near west frankfort il
37,jobs in west fork arkansas,"('jobs west frankfort illinois', 'indeed jobs west frankfort il part time')",jobs west frankfort illinois,indeed jobs west frankfort il part time,5,3,google,2025-10-30 01:35:19.486165,jobs near west fork ar,jobs near west frankfort il
38,jobs in west fork arkansas,"('jobs west frankfort illinois', 'west frankfort jobs')",jobs west frankfort illinois,west frankfort jobs,6,3,google,2025-10-30 01:35:19.486165,jobs near west fork ar,jobs near west frankfort il
