,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in west memphis arkansas,"('jobs in west memphis arkansas', 'hiring in west memphis arkansas')",jobs in west memphis arkansas,hiring in west memphis arkansas,1,0,google,2025-10-30 01:38:19.469369,,
1,jobs in west memphis arkansas,"('jobs in west memphis arkansas', 'jobs in west memphis ar no experience')",jobs in west memphis arkansas,jobs in west memphis ar no experience,2,0,google,2025-10-30 01:38:19.469369,,
2,jobs in west memphis arkansas,"('jobs in west memphis arkansas', 'jobs in west memphis ar no degree')",jobs in west memphis arkansas,jobs in west memphis ar no degree,3,0,google,2025-10-30 01:38:19.469369,,
3,jobs in west memphis arkansas,"('jobs in west memphis arkansas', 'jobs hiring in west memphis arkansas')",jobs in west memphis arkansas,jobs hiring in west memphis arkansas,4,0,google,2025-10-30 01:38:19.469369,,
4,jobs in west memphis arkansas,"('jobs in west memphis arkansas', 'indeed jobs in west memphis arkansas')",jobs in west memphis arkansas,indeed jobs in west memphis arkansas,5,0,google,2025-10-30 01:38:19.469369,,
5,jobs in west memphis arkansas,"('jobs in west memphis arkansas', 'office jobs in west memphis arkansas')",jobs in west memphis arkansas,office jobs in west memphis arkansas,6,0,google,2025-10-30 01:38:19.469369,,
6,jobs in west memphis arkansas,"('jobs in west memphis arkansas', 'cna jobs in west memphis arkansas')",jobs in west memphis arkansas,cna jobs in west memphis arkansas,7,0,google,2025-10-30 01:38:19.469369,,
7,jobs in west memphis arkansas,"('jobs in west memphis arkansas', 'warehouse jobs in west memphis arkansas')",jobs in west memphis arkansas,warehouse jobs in west memphis arkansas,8,0,google,2025-10-30 01:38:19.469369,,
8,jobs in west memphis arkansas,"('jobs in west memphis arkansas', 'randstad jobs in west memphis arkansas')",jobs in west memphis arkansas,randstad jobs in west memphis arkansas,9,0,google,2025-10-30 01:38:19.469369,,
9,jobs in west memphis arkansas,"('hiring in west memphis arkansas', 'jobs in west memphis arkansas')",hiring in west memphis arkansas,jobs in west memphis arkansas,1,1,google,2025-10-30 01:38:20.333416,,jobs in west memphis arkansas
10,jobs in west memphis arkansas,"('hiring in west memphis arkansas', 'jobs hiring in west memphis arkansas')",hiring in west memphis arkansas,jobs hiring in west memphis arkansas,2,1,google,2025-10-30 01:38:20.333416,,jobs in west memphis arkansas
11,jobs in west memphis arkansas,"('hiring in west memphis arkansas', 'jobs in west memphis ar no experience')",hiring in west memphis arkansas,jobs in west memphis ar no experience,3,1,google,2025-10-30 01:38:20.333416,,jobs in west memphis arkansas
12,jobs in west memphis arkansas,"('hiring in west memphis arkansas', 'jobs in west memphis ar no degree')",hiring in west memphis arkansas,jobs in west memphis ar no degree,4,1,google,2025-10-30 01:38:20.333416,,jobs in west memphis arkansas
13,jobs in west memphis arkansas,"('hiring in west memphis arkansas', 'indeed jobs in west memphis arkansas')",hiring in west memphis arkansas,indeed jobs in west memphis arkansas,5,1,google,2025-10-30 01:38:20.333416,,jobs in west memphis arkansas
14,jobs in west memphis arkansas,"('hiring in west memphis arkansas', 'office jobs in west memphis arkansas')",hiring in west memphis arkansas,office jobs in west memphis arkansas,6,1,google,2025-10-30 01:38:20.333416,,jobs in west memphis arkansas
15,jobs in west memphis arkansas,"('hiring in west memphis arkansas', 'cna jobs in west memphis arkansas')",hiring in west memphis arkansas,cna jobs in west memphis arkansas,7,1,google,2025-10-30 01:38:20.333416,,jobs in west memphis arkansas
