,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in wetumpka alabama,"('jobs in wetumpka alabama', 'jobs in wetumpka al remote')",jobs in wetumpka alabama,jobs in wetumpka al remote,1,0,google,2025-10-29 15:29:21.516056,,
1,jobs in wetumpka alabama,"('jobs in wetumpka alabama', 'jobs hiring in wetumpka alabama')",jobs in wetumpka alabama,jobs hiring in wetumpka alabama,2,0,google,2025-10-29 15:29:21.516056,,
2,jobs in wetumpka alabama,"('jobs in wetumpka alabama', 'part time jobs in wetumpka alabama')",jobs in wetumpka alabama,part time jobs in wetumpka alabama,3,0,google,2025-10-29 15:29:21.516056,,
3,jobs in wetumpka alabama,"('jobs in wetumpka alabama', 'full time jobs in wetumpka alabama')",jobs in wetumpka alabama,full time jobs in wetumpka alabama,4,0,google,2025-10-29 15:29:21.516056,,
4,jobs in wetumpka alabama,"('jobs in wetumpka alabama', 'jobs available in wetumpka al')",jobs in wetumpka alabama,jobs available in wetumpka al,5,0,google,2025-10-29 15:29:21.516056,,
5,jobs in wetumpka alabama,"('jobs in wetumpka alabama', 'indeed jobs in wetumpka al')",jobs in wetumpka alabama,indeed jobs in wetumpka al,6,0,google,2025-10-29 15:29:21.516056,,
6,jobs in wetumpka alabama,"('jobs in wetumpka alabama', 'cna jobs in wetumpka al')",jobs in wetumpka alabama,cna jobs in wetumpka al,7,0,google,2025-10-29 15:29:21.516056,,
7,jobs in wetumpka alabama,"('jobs in wetumpka alabama', 'bank jobs in wetumpka al')",jobs in wetumpka alabama,bank jobs in wetumpka al,8,0,google,2025-10-29 15:29:21.516056,,
8,jobs in wetumpka alabama,"('jobs in wetumpka alabama', 'admin jobs in wetumpka al')",jobs in wetumpka alabama,admin jobs in wetumpka al,9,0,google,2025-10-29 15:29:21.516056,,
9,jobs in wetumpka alabama,"('jobs in wetumpka al remote', 'jobs in wetumpka alabama')",jobs in wetumpka al remote,jobs in wetumpka alabama,1,1,google,2025-10-29 15:29:22.549443,,jobs in wetumpka alabama
10,jobs in wetumpka alabama,"('jobs in wetumpka al remote', 'jobs in wetumpka al')",jobs in wetumpka al remote,jobs in wetumpka al,2,1,google,2025-10-29 15:29:22.549443,,jobs in wetumpka alabama
