,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in wynne arkansas,"('jobs in wynne arkansas', 'jobs in wynne ar')",jobs in wynne arkansas,jobs in wynne ar,1,0,google,2025-10-31 20:14:35.697872,,
1,jobs in wynne arkansas,"('jobs in wynne arkansas', 'jobs hiring in wynne arkansas')",jobs in wynne arkansas,jobs hiring in wynne arkansas,2,0,google,2025-10-31 20:14:35.697872,,
2,jobs in wynne arkansas,"('jobs in wynne arkansas', 'job openings in wynne arkansas')",jobs in wynne arkansas,job openings in wynne arkansas,3,0,google,2025-10-31 20:14:35.697872,,
3,jobs in wynne arkansas,"('jobs in wynne arkansas', 'part time jobs in wynne arkansas')",jobs in wynne arkansas,part time jobs in wynne arkansas,4,0,google,2025-10-31 20:14:35.697872,,
4,jobs in wynne arkansas,"('jobs in wynne arkansas', 'rn jobs in wynne ar')",jobs in wynne arkansas,rn jobs in wynne ar,5,0,google,2025-10-31 20:14:35.697872,,
5,jobs in wynne arkansas,"('jobs in wynne arkansas', 'factory jobs in wynne ar')",jobs in wynne arkansas,factory jobs in wynne ar,6,0,google,2025-10-31 20:14:35.697872,,
6,jobs in wynne arkansas,"('jobs in wynne arkansas', 'jobs in wynne')",jobs in wynne arkansas,jobs in wynne,7,0,google,2025-10-31 20:14:35.697872,,
7,jobs in wynne arkansas,"('jobs in wynne ar', 'jobs in wynne arkansas')",jobs in wynne ar,jobs in wynne arkansas,1,1,google,2025-10-31 20:14:36.892640,,jobs in wynne arkansas
8,jobs in wynne arkansas,"('jobs in wynne ar', 'jobs hiring in wynne ar')",jobs in wynne ar,jobs hiring in wynne ar,2,1,google,2025-10-31 20:14:36.892640,,jobs in wynne arkansas
9,jobs in wynne arkansas,"('jobs in wynne ar', 'rn jobs in wynne ar')",jobs in wynne ar,rn jobs in wynne ar,3,1,google,2025-10-31 20:14:36.892640,,jobs in wynne arkansas
10,jobs in wynne arkansas,"('jobs in wynne ar', 'factory jobs in wynne ar')",jobs in wynne ar,factory jobs in wynne ar,4,1,google,2025-10-31 20:14:36.892640,,jobs in wynne arkansas
11,jobs in wynne arkansas,"('jobs in wynne ar', 'job openings in wynne arkansas')",jobs in wynne ar,job openings in wynne arkansas,5,1,google,2025-10-31 20:14:36.892640,,jobs in wynne arkansas
12,jobs in wynne arkansas,"('jobs in wynne ar', 'part time jobs in wynne ar')",jobs in wynne ar,part time jobs in wynne ar,6,1,google,2025-10-31 20:14:36.892640,,jobs in wynne arkansas
13,jobs in wynne arkansas,"('jobs in wynne ar', 'full time jobs in wynne ar')",jobs in wynne ar,full time jobs in wynne ar,7,1,google,2025-10-31 20:14:36.892640,,jobs in wynne arkansas
14,jobs in wynne arkansas,"('jobs in wynne ar', 'wynne jobs')",jobs in wynne ar,wynne jobs,8,1,google,2025-10-31 20:14:36.892640,,jobs in wynne arkansas
15,jobs in wynne arkansas,"('jobs in wynne ar', 'jobs in wynnewood ok')",jobs in wynne ar,jobs in wynnewood ok,9,1,google,2025-10-31 20:14:36.892640,,jobs in wynne arkansas
16,jobs in wynne arkansas,"('jobs hiring in wynne arkansas', 'job openings in wynne arkansas')",jobs hiring in wynne arkansas,job openings in wynne arkansas,1,1,google,2025-10-31 20:14:37.972388,,jobs in wynne arkansas
17,jobs in wynne arkansas,"('jobs hiring in wynne arkansas', 'jobs near wynne arkansas')",jobs hiring in wynne arkansas,jobs near wynne arkansas,2,1,google,2025-10-31 20:14:37.972388,,jobs in wynne arkansas
18,jobs in wynne arkansas,"('jobs hiring in wynne arkansas', 'jobs hiring near wynne ar')",jobs hiring in wynne arkansas,jobs hiring near wynne ar,3,1,google,2025-10-31 20:14:37.972388,,jobs in wynne arkansas
19,jobs in wynne arkansas,"('jobs hiring in wynne arkansas', 'jobs hiring in wynne')",jobs hiring in wynne arkansas,jobs hiring in wynne,4,1,google,2025-10-31 20:14:37.972388,,jobs in wynne arkansas
20,jobs in wynne arkansas,"('job openings in wynne arkansas', 'jobs hiring in wynne arkansas')",job openings in wynne arkansas,jobs hiring in wynne arkansas,1,1,google,2025-10-31 20:14:39.301305,,jobs in wynne arkansas
21,jobs in wynne arkansas,"('job openings in wynne arkansas', 'job openings in wynne ar')",job openings in wynne arkansas,job openings in wynne ar,2,1,google,2025-10-31 20:14:39.301305,,jobs in wynne arkansas
22,jobs in wynne arkansas,"('job openings in wynne arkansas', 'wynne arkansas jobs')",job openings in wynne arkansas,wynne arkansas jobs,3,1,google,2025-10-31 20:14:39.301305,,jobs in wynne arkansas
23,jobs in wynne arkansas,"('job openings in wynne arkansas', 'job wynne ar')",job openings in wynne arkansas,job wynne ar,4,1,google,2025-10-31 20:14:39.301305,,jobs in wynne arkansas
24,jobs in wynne arkansas,"('part time jobs in wynne arkansas', 'full time jobs in wynne ar')",part time jobs in wynne arkansas,full time jobs in wynne ar,1,1,google,2025-10-31 20:14:40.279136,,jobs in wynne arkansas
25,jobs in wynne arkansas,"('part time jobs in wynne arkansas', 'part time jobs near wynne ar')",part time jobs in wynne arkansas,part time jobs near wynne ar,2,1,google,2025-10-31 20:14:40.279136,,jobs in wynne arkansas
26,jobs in wynne arkansas,"('part time jobs in wynne arkansas', 'wynne arkansas jobs')",part time jobs in wynne arkansas,wynne arkansas jobs,3,1,google,2025-10-31 20:14:40.279136,,jobs in wynne arkansas
27,jobs in wynne arkansas,"('part time jobs in wynne arkansas', 'part time jobs wynnewood pa')",part time jobs in wynne arkansas,part time jobs wynnewood pa,4,1,google,2025-10-31 20:14:40.279136,,jobs in wynne arkansas
28,jobs in wynne arkansas,"('rn jobs in wynne ar', 'rn jobs in winfield al')",rn jobs in wynne ar,rn jobs in winfield al,1,1,google,2025-10-31 20:14:41.275948,,jobs in wynne arkansas
29,jobs in wynne arkansas,"('rn jobs in wynne ar', 'rn jobs in wyoming')",rn jobs in wynne ar,rn jobs in wyoming,2,1,google,2025-10-31 20:14:41.275948,,jobs in wynne arkansas
30,jobs in wynne arkansas,"('rn jobs in wynne ar', 'rn jobs in nwa')",rn jobs in wynne ar,rn jobs in nwa,3,1,google,2025-10-31 20:14:41.275948,,jobs in wynne arkansas
31,jobs in wynne arkansas,"('rn jobs in wynne ar', 'rn jobs in waycross ga')",rn jobs in wynne ar,rn jobs in waycross ga,4,1,google,2025-10-31 20:14:41.275948,,jobs in wynne arkansas
